Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.01,0.01,1,4,-6.671353786,0.015980385,0.486104078,-0.093574031,0.422596623,789.4636461,5.694133523,0.905775849,1060,Yes,9.800537825
0.1,0.01,0.01,2,4,-6.671463398,0.015788901,0.486169339,-0.110228805,0.410944741,789.5501854,5.695741415,0.894297226,1060,Yes,9.096899509
0.1,0.01,0.01,3,5,-6.670682087,0.016194124,0.48655063,-0.120286122,0.474282106,788.9335422,5.692400893,0.903275994,1060,Yes,9.705595255
0.1,0.01,0.01,4,5,-6.655771727,0.010004178,0.491323096,-0.057703588,0.439637749,777.2575225,5.746492952,0.949140451,1060,Yes,9.859597921
0.1,0.01,0.01,5,4,-6.674841852,0.004749747,0.457053822,-0.100498156,0.406203221,792.2221558,5.696877371,0.902852574,1060,Yes,8.932992935
0.1,0.01,0.05,1,4,-6.619392376,0.015412317,0.485472498,-0.140218946,0.420522617,749.489551,5.697518202,0.894618094,1060,Yes,9.47095418
0.1,0.01,0.05,2,4,-6.619200299,0.020377435,0.485455849,-0.102520294,0.411863669,749.345605,5.698238057,0.895204017,1060,Yes,9.405578375
0.1,0.01,0.05,3,4,-6.619848914,0.015396757,0.486087527,-0.141891804,0.43316463,749.8317994,5.6988474,0.877755214,1060,Yes,9.257099867
0.1,0.01,0.05,4,4,-6.620951826,0.020928732,0.485567612,-0.099512556,0.476605988,750.659254,5.697614892,0.884060411,1060,Yes,9.482642651
0.1,0.01,0.05,5,4,-6.625412137,0.004440702,0.457118755,-0.145527219,0.413481323,754.0149059,5.700648743,0.884393428,1060,Yes,9.464227438
0.1,0.01,0.1,1,4,-6.601133805,0.020162211,0.485265024,-0.135026929,0.421368564,735.9291164,5.703265938,0.892608642,1060,Yes,9.140281677
0.1,0.01,0.1,2,4,-6.601133665,0.020229854,0.486001091,0.010255759,0.415174263,735.9290132,5.703852342,0.835855326,1060,Yes,8.893333673
0.1,0.01,0.1,3,4,-6.600455455,0.019918065,0.485452452,-0.03193972,0.399997194,735.4300682,5.701151855,0.839614341,1060,Yes,8.895070553
0.1,0.01,0.1,4,4,-6.601439117,0.017196443,0.467503307,-0.011812712,0.429177487,736.1538392,5.703196821,0.834016538,1060,Yes,8.85262084
0.1,0.01,0.1,5,5,-6.606042605,0.014114946,0.46843378,0.031103077,0.41504313,739.5505265,5.710415503,0.875390613,1060,Yes,9.595407724
0.1,0.01,0.5,1,3,-6.573532746,0.021337693,0.486006661,-0.189935983,0.477787319,715.8944544,5.720556219,0.804095667,1060,Yes,9.352822065
0.1,0.01,0.5,2,2,-6.574001509,0.021126805,0.486414894,-0.264272336,0.519903653,716.230118,5.725194417,0.721737792,1060,Yes,8.883092642
0.1,0.01,0.5,3,3,-6.573156481,0.020050016,0.484997466,-0.163533742,0.460140825,715.6251387,5.729644706,0.850353171,1060,Yes,8.749797106
0.1,0.01,0.5,4,3,-6.574861006,0.0213905,0.48506982,-0.140814454,0.447417831,716.8459802,5.724292013,0.840862801,1060,Yes,8.883567333
0.1,0.01,0.5,5,3,-6.580566908,0.008102903,0.461379549,-0.153137444,0.438986526,720.9479244,5.733548822,0.851919324,1060,Yes,8.711046696
0.1,0.01,1,1,3,-6.572700795,0.018824712,0.481588827,-0.139033838,0.441986273,715.2991126,5.751250321,0.85475224,1060,Yes,8.537657738
0.1,0.01,1,2,2,-6.573356363,0.021410454,0.486044323,-0.264272336,0.519903653,715.7681939,5.746398555,0.726175998,1060,Yes,8.534859419
0.1,0.01,1,3,2,-6.57375871,0.021342378,0.48613326,-0.264272336,0.519903653,716.0562387,5.753600797,0.721701857,1060,Yes,8.91131711
0.1,0.01,1,4,2,-6.57382663,0.021138151,0.486400071,-0.1689691,0.508518391,716.1048755,5.754414731,0.783872021,1060,Yes,9.099089146
0.1,0.01,1,5,2,-6.579049627,0.009366019,0.463259137,-0.270691643,0.508415145,719.8548736,5.763524346,0.725036187,1060,Yes,8.343101501
0.1,0.01,2,1,2,-6.58492465,0.01916181,0.482792187,-0.170533165,0.506502141,724.0964851,5.799669089,0.78586783,1060,Yes,9.161702156
0.1,0.01,2,2,2,-6.585010809,0.013183499,0.478483765,-0.174528906,0.503676066,724.1588748,5.799402641,0.778751878,1060,Yes,9.210912943
0.1,0.01,2,3,2,-6.585066815,0.013326205,0.478484532,-0.174528906,0.503676066,724.1994334,5.80153562,0.785619258,1060,Yes,9.203552961
0.1,0.01,2,4,2,-6.591373289,0.007714752,0.460506321,-0.271375883,0.507150697,728.7810096,5.81978911,0.724688658,1060,Yes,9.128323555
0.1,0.01,2,5,2,-6.590587185,0.009555106,0.4634219,-0.177528176,0.49320038,728.2083371,5.815550858,0.791481332,1060,Yes,8.978854418
0.1,0.01,5,1,2,-6.630064274,0.021114359,0.484745708,-0.169342779,0.507875957,757.5308585,5.946577459,0.785621351,1060,Yes,9.060763121
0.1,0.01,5,2,2,-6.630014311,0.02112686,0.484732872,-0.169342779,0.507875957,757.493011,5.945374996,0.785979945,1060,Yes,9.004462242
0.1,0.01,5,3,2,-6.63005223,0.019323642,0.482706317,-0.170533165,0.506502141,757.5217349,5.94672754,0.785561574,1060,Yes,9.279948711
0.1,0.01,5,4,2,-6.630137203,0.012921883,0.474946859,-0.17489816,0.501287557,757.5861067,5.947088719,0.785590572,1060,Yes,8.919074535
0.1,0.01,5,5,2,-6.630038346,0.013010932,0.474969481,-0.17489816,0.501287557,757.5112174,5.945312207,0.786038873,1060,Yes,8.126726151
0.1,0.05,0.01,1,3,-6.673513354,0.01534389,0.486695947,-0.226096719,0.468443626,791.1703891,5.699699472,0.816365679,1060,Yes,9.014923096
0.1,0.05,0.01,2,4,-6.676768352,0.01753903,0.467305614,-0.177506529,0.431386119,793.7498427,5.693345435,0.859282781,1060,Yes,8.564957619
0.1,0.05,0.01,3,4,-6.674270487,0.018028083,0.46851716,-0.142005278,0.492259882,791.7696371,5.693007158,0.864053936,1060,Yes,9.452151299
0.1,0.05,0.01,4,3,-6.676140318,0.015733725,0.485683242,-0.255046387,0.457026254,793.2514972,5.694881298,0.831344586,1060,Yes,9.327426672
0.1,0.05,0.01,5,5,-6.648759275,0.011097942,0.495948493,-0.059792139,0.485349379,771.8261071,5.744369539,0.949648624,1060,Yes,9.276058674
0.1,0.05,0.05,1,6,-6.621885459,0.015729699,0.48557496,-0.122466206,0.451078309,751.3604218,5.689556401,0.928766128,1060,Yes,9.508849382
0.1,0.05,0.05,2,6,-6.624866136,0.020433547,0.484796768,-0.078717508,0.388098489,753.6033252,5.687137242,0.936831337,1190,Yes,11.09378839
0.1,0.05,0.05,3,4,-6.621180138,0.018238434,0.468217643,-0.137325665,0.475138038,750.830658,5.698298383,0.852322598,1060,Yes,9.260917664
0.1,0.05,0.05,4,3,-6.621666228,0.021597731,0.486114071,-0.192235492,0.508961644,751.1957184,5.698226718,0.79173001,1060,Yes,9.522083759
0.1,0.05,0.05,5,4,-6.630916324,0.009311691,0.46385562,-0.102593559,0.458239893,758.1765879,5.714270254,0.850301453,1060,Yes,9.591086388
0.1,0.05,0.1,1,4,-6.604959532,0.014690227,0.484946799,-0.179888147,0.42569117,738.749973,5.69913561,0.878938581,1060,Yes,9.185671329
0.1,0.05,0.1,2,4,-6.603904436,0.021650231,0.465795455,-0.13762247,0.410260267,737.9709319,5.698827725,0.889794607,1060,Yes,9.254425287
0.1,0.05,0.1,3,6,-6.602240354,0.021056991,0.48610512,-0.052735803,0.454380115,736.7439091,5.693456647,0.902714045,1060,Yes,9.685406685
0.1,0.05,0.1,4,4,-6.60374267,0.020617145,0.484602826,-0.020113741,0.389605375,737.8515632,5.703699626,0.808023564,1060,Yes,8.724187374
0.1,0.05,0.1,5,4,-6.616564658,0.020816208,0.465209602,0.005585864,0.524909096,747.3731993,5.745062459,0.792398204,1060,Yes,8.618481159
