Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.01,0.01,3,5,-6.670682086877783,0.0161941236477658,0.4865506304201564,-0.1202861216726054,0.4742821062736498,788.9335421982178,5.69240089309964,0.9032759938925964,1060,Yes,9.705595254898071
0.1,0.01,0.01,1,4,-6.671353785894127,0.0159803853848291,0.4861040783534274,-0.0935740310399776,0.4225966231570414,789.4636460976753,5.694133522658012,0.905775849039306,1060,Yes,9.800537824630736
0.1,0.01,0.01,2,4,-6.671463397683786,0.0157889011060594,0.486169339493942,-0.1102288046150569,0.4109447412971709,789.5501853635701,5.695741414651424,0.8942972260546718,1060,Yes,9.096899509429932
0.1,0.01,0.05,4,4,-6.620951825758261,0.0209287318562846,0.4855676115438956,-0.09951255590694,0.4766059876240798,750.659253995136,5.697614892287199,0.8840604113076196,1060,Yes,9.482642650604248
0.1,0.01,0.05,2,4,-6.619200298990428,0.0203774353561965,0.4854558486054517,-0.1025202938151309,0.4118636691561271,749.3456049997712,5.698238056716324,0.8952040174018265,1060,Yes,9.405578374862673
0.1,0.01,0.05,1,4,-6.619392376106028,0.0154123166236918,0.4854724983881457,-0.1402189457327757,0.420522616797054,749.4895509660871,5.697518201873643,0.8946180942470671,1060,Yes,9.470954179763794
0.1,0.01,0.1,2,4,-6.601133664656545,0.0202298536298366,0.4860010905195768,0.0102557585254938,0.4151742633844187,735.9290132263009,5.70385234167075,0.8358553256488251,1060,Yes,8.893333673477173
0.1,0.01,0.1,1,4,-6.601133804884955,0.0201622107740803,0.4852650237874305,-0.1350269290122658,0.4213685642377724,735.9291164244636,5.70326593817846,0.8926086421925291,1060,Yes,9.140281677246094
0.1,0.01,0.1,3,4,-6.600455454874847,0.0199180652178935,0.4854524520276564,-0.0319397197486781,0.3999971943210235,735.4300681847245,5.701151855125967,0.8396143406234722,1060,Yes,8.895070552825928
0.1,0.01,0.5,4,3,-6.574861006143229,0.0213905002487021,0.4850698195385532,-0.1408144540018109,0.4474178307300989,716.8459802397357,5.724292013472733,0.8408628007992084,1060,Yes,8.883567333221436
0.1,0.01,0.5,1,3,-6.573532746002547,0.0213376925707416,0.48600666062125,-0.1899359830798474,0.4777873186360679,715.8944543740112,5.720556219162823,0.8040956672998684,1060,Yes,9.352822065353394
0.1,0.01,0.5,2,2,-6.574001509200644,0.0211268051182291,0.4864148937861773,-0.2642723362694149,0.5199036533419998,716.2301180151782,5.725194416734432,0.7217377924132672,1060,Yes,8.883092641830444
0.1,0.01,1.0,2,2,-6.573356362986128,0.0214104538754697,0.4860443233780951,-0.2642723362694149,0.5199036533419998,715.7681938861411,5.746398555491807,0.7261759978337605,1060,Yes,8.534859418869019
0.1,0.01,1.0,3,2,-6.573758709597616,0.021342378173732,0.4861332602760346,-0.2642723362694149,0.5199036533419997,716.0562387366112,5.753600796741509,0.7217018573369253,1060,Yes,8.911317110061646
0.1,0.01,1.0,4,2,-6.573826630350519,0.0211381510685187,0.4864000709698538,-0.1689690998858558,0.5085183912452096,716.10487546717,5.754414731347208,0.7838720210228319,1060,Yes,9.0990891456604
0.1,0.01,2.0,1,2,-6.584924650200326,0.0191618097979997,0.4827921869810166,-0.1705331645352927,0.5065021405872225,724.0964850863302,5.799669089481898,0.78586782984359,1060,Yes,9.161702156066896
0.1,0.01,2.0,3,2,-6.58506681492377,0.0133262050879416,0.4784845320955101,-0.1745289058991491,0.5036760656421779,724.1994333805138,5.801535619839888,0.7856192575309766,1060,Yes,9.203552961349487
0.1,0.01,2.0,2,2,-6.585010808580698,0.0131834989548446,0.4784837648533683,-0.1745289058991491,0.5036760656421779,724.1588747543764,5.799402640765069,0.7787518780022259,1060,Yes,9.210912942886353
0.1,0.01,5.0,2,2,-6.63001431099377,0.0211268604062373,0.4847328719486886,-0.1693427792953485,0.5078759569260703,757.493011042003,5.945374995622724,0.7859799446057792,1060,Yes,9.004462242126465
0.1,0.01,5.0,1,2,-6.630064273859977,0.0211143587464338,0.4847457078547464,-0.1693427792953485,0.5078759569260702,757.5308585094424,5.946577458722946,0.7856213509530536,1060,Yes,9.060763120651243
0.1,0.01,5.0,3,2,-6.630052229970215,0.0193236424343836,0.4827063170855566,-0.1705331645352927,0.5065021405872225,757.5217349462323,5.946727540468874,0.7855615736631368,1060,Yes,9.279948711395264
