K,Alpha,Eta,Run_Index,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
10,0.1,0.01,1,-6.916121055,0.026349627,0.475015604,0.032639042,0.486156254,1008.400867,4.427095158,0.901187142,1260,Yes,5.594884396
10,0.1,0.01,2,-6.93795659,0.028328557,0.493778427,0.033303383,0.503858943,1030.661997,4.469890676,0.893540894,1300,Yes,5.560611248
10,0.1,0.01,3,-6.89699699,0.034200875,0.49788587,0.043094531,0.512358103,989.2993745,4.436845317,0.89203702,1500,Yes,6.352429628
10,0.1,0.01,4,-6.925807877,0.019484991,0.511006016,0.023838616,0.526775927,1018.216531,4.459294831,0.90095406,1190,Yes,5.289489269
10,0.1,0.01,5,-6.909348406,0.038256914,0.526368184,0.049606182,0.540856277,1001.594397,4.482467901,0.880406045,1120,Yes,4.949090958
20,0.1,0.01,1,-6.946591592,0.039285075,0.516530614,0.048161647,0.534032786,1039.6003,4.035090721,0.927396642,1120,Yes,5.860364437
20,0.1,0.01,2,-6.923641145,0.037767792,0.521623871,0.048295457,0.545271307,1016.012717,4.061464382,0.938900204,1320,Yes,6.745973825
20,0.1,0.01,3,-6.938474191,0.041265209,0.520202822,0.050744225,0.532428055,1031.195606,4.052355146,0.926918685,1470,Yes,7.28750968
20,0.1,0.01,4,-6.924553031,0.029658657,0.476514312,0.03739069,0.500827869,1016.939628,4.079400682,0.924456856,1270,Yes,6.391960382
20,0.1,0.01,5,-6.950270137,0.030690052,0.502232292,0.037246681,0.52462143,1043.431559,3.939464278,0.931223976,1120,Yes,5.780095816
40,0.1,0.01,1,-6.980478265,0.042255431,0.50023543,0.052143994,0.529817488,1075.432586,3.606371311,0.953654968,1540,Yes,9.943891287
40,0.1,0.01,2,-6.964860642,0.036039336,0.497716782,0.05339284,0.535187103,1058.767359,3.576858549,0.953489734,1690,Yes,10.54607964
40,0.1,0.01,3,-6.955328927,0.040428806,0.490215675,0.054964453,0.524555536,1048.723435,3.555354956,0.956960331,1110,Yes,7.511117458
40,0.1,0.01,4,-6.954618413,0.052175459,0.50467985,0.05645784,0.519870814,1047.978566,3.573231351,0.956866358,1450,Yes,9.361843586
40,0.1,0.01,5,-6.9893382,0.04066765,0.507992597,0.053072551,0.548300776,1085.003183,3.633704412,0.954341609,1210,Yes,8.111025333
60,0.1,0.01,1,-7.02499059,0.041588354,0.497734119,0.0493481,0.529279507,1124.383978,3.340598403,0.964432374,1220,Yes,10.4762578
60,0.1,0.01,2,-7.013759508,0.042789488,0.509885956,0.062394099,0.556504254,1111.826578,3.398768782,0.966464095,1230,Yes,10.41352987
60,0.1,0.01,3,-7.006532637,0.041436363,0.50830535,0.058712178,0.552805491,1103.820516,3.366810199,0.966524605,1150,Yes,9.870356083
60,0.1,0.01,4,-6.984328418,0.040363127,0.509122161,0.047360444,0.530715094,1079.581147,3.37164619,0.967125057,1560,Yes,12.6072917
60,0.1,0.01,5,-6.980267446,0.042126258,0.508607338,0.057005849,0.543392229,1075.205888,3.38213457,0.967493987,2200,Yes,16.6361661
80,0.1,0.01,1,-7.019830347,0.036038892,0.507719551,0.046630493,0.549387325,1118.596829,3.195595988,0.971762458,1120,Yes,11.48377681
80,0.1,0.01,2,-7.004335864,0.033953724,0.499418063,0.039549837,0.537185635,1101.398334,3.171140825,0.973949381,1440,Yes,14.13285613
80,0.1,0.01,3,-7.010222933,0.035260404,0.500132506,0.046180746,0.534327558,1107.901465,3.160216832,0.971434818,1260,Yes,12.64688849
80,0.1,0.01,4,-6.989008567,0.041753886,0.512266672,0.046026904,0.533331209,1084.64559,3.177848804,0.974308686,2360,Yes,20.86495805
80,0.1,0.01,5,-6.991422942,0.043472788,0.500414615,0.050773168,0.537258814,1087.267495,3.214244499,0.971771476,1780,Yes,16.36432886
100,0.1,0.01,1,-7.066226717,0.031583577,0.493455545,0.030630243,0.517753389,1171.718457,3.107597247,0.97279137,1370,Yes,16.06464553
100,0.1,0.01,2,-7.021079073,0.026853465,0.5066126,0.019628482,0.523297899,1119.994522,3.079751536,0.975236684,1810,Yes,19.78720713
100,0.1,0.01,3,-7.0480943,0.028521245,0.493604322,0.027495001,0.520090632,1150.663832,3.064000871,0.975124117,1230,Yes,14.8539207
