Converged,Yes,,,,,,,
Unweighted_NPMI,(全部),,,,,,,
,,,,,,,,
K,Alpha,Eta,平均值项:Weighted_NPMI,平均值项:Weighted_Cv,平均值项:Unweighted_NPMI,平均值项:Perplexity,平均值项:JSD_Diversity,平均值项:Weighted_Renyi_Entropy
40,,,0.030434669,0.513254131,-0.125137266,1125.464194,0.819612251,4.84243255
,0.05,,0.039199685,0.521345988,-0.112747379,1134.417883,0.815391828,4.806966378
,,0.01,0.041932266,0.502811927,0.053419972,1059.878119,0.953639838,3.62707062
,,0.1,0.052173202,0.531800262,0.061634721,1213.925694,0.934258116,4.292175533
,,0.5,0.04913675,0.535312539,-0.032906245,1169.591234,0.955604753,5.091897797
,,1,0.035325002,0.527971054,-0.255203914,1175.818314,0.754116631,5.419007581
,,2,0.015232468,0.50831977,-0.416569416,1052.36755,0.425043366,5.675411141
,0.1,,0.038148422,0.51814683,-0.112353235,1141.696069,0.810095947,4.821669116
,,0.01,0.042313336,0.500168067,0.054006335,1063.181026,0.9550626,3.589104116
,,0.1,0.050307641,0.527686407,0.0628603,1201.943489,0.936958786,4.280937902
,,0.5,0.048888411,0.543952197,0.000139643,1181.780637,0.959991897,5.069324944
,,1,0.033611704,0.520987619,-0.227830234,1197.73671,0.801075006,5.401123047
,,2,0.018052864,0.499847777,-0.415899514,1075.887967,0.422764011,5.65970933
,0.5,,0.03967718,0.521958959,-0.125465306,1135.832371,0.797697289,4.837759074
,,0.01,0.041805712,0.504452759,0.055210727,1069.440256,0.956451987,3.589448492
,,0.1,0.054021771,0.524500683,0.062655409,1209.839618,0.93869245,4.272258252
,,0.5,0.049467138,0.547141137,-0.016602514,1180.897282,0.960308182,5.057565614
,,1,0.041333378,0.536263783,-0.238276439,1176.291889,0.768714392,5.393606741
,,2,0.017495735,0.498453124,-0.415065429,1072.295708,0.420717501,5.649715942
,1,,0.036981677,0.516007292,-0.124249798,1133.656457,0.802951011,4.808950505
,,0.01,0.04020363,0.50319945,0.051189814,1052.618883,0.957041409,3.588311553
,,0.1,0.052636812,0.531533389,0.064549846,1213.890456,0.935733621,4.265816265
,,0.5,0.04441991,0.532732798,-0.020262293,1183.921833,0.958517994,5.055514703
,,1,0.035605137,0.532925334,-0.251084562,1183.588631,0.774227462,5.417601906
,,2,0.01666157,0.486095812,-0.407084367,1060.362356,0.446904485,5.658194088
,5,,0.031784918,0.516903958,-0.113421211,1130.447309,0.842647943,4.8085169
