gamma,experiment_type,run_id,parent_id,parent_layer,child_id,child_layer,layer_transition,js_distance,parent_doc_count,child_doc_count
0.05,single,1,0.0,0.0,1.0,1.0,0->1,0.4449067995661374,970.0,484.0
0.05,single,1,1.0,1.0,2.0,2.0,1->2,0.6108706977215091,484.0,148.0
0.05,single,1,0.0,0.0,6.0,1.0,0->1,0.6270739157679351,970.0,13.0
0.05,single,1,0.0,0.0,36.0,1.0,0->1,0.6115444179304756,970.0,6.0
0.05,single,1,0.0,0.0,43.0,1.0,0->1,0.6317520475179362,970.0,11.0
0.05,single,1,0.0,0.0,53.0,1.0,0->1,0.611058199760014,970.0,25.0
0.05,single,1,0.0,0.0,61.0,1.0,0->1,0.6176788557210837,970.0,4.0
0.05,single,1,1.0,1.0,63.0,2.0,1->2,0.6168782230954034,484.0,9.0
0.05,single,1,1.0,1.0,65.0,2.0,1->2,0.5971148567833587,484.0,7.0
0.05,single,1,0.0,0.0,81.0,1.0,0->1,0.6200428761535831,970.0,22.0
0.05,single,1,1.0,1.0,119.0,2.0,1->2,0.6355040796839497,484.0,10.0
0.05,single,1,0.0,0.0,126.0,1.0,0->1,0.6298381837771577,970.0,20.0
0.05,single,1,0.0,0.0,130.0,1.0,0->1,0.6362277374117249,970.0,20.0
0.05,single,1,130.0,1.0,140.0,2.0,1->2,0.5662583769891322,20.0,13.0
0.05,single,1,0.0,0.0,141.0,1.0,0->1,0.6336844176207312,970.0,20.0
0.05,single,1,1.0,1.0,189.0,2.0,1->2,0.6359591472329708,484.0,4.0
0.05,single,1,1.0,1.0,222.0,2.0,1->2,0.6432146811005219,484.0,4.0
0.05,single,1,1.0,1.0,231.0,2.0,1->2,0.6613647516815427,484.0,16.0
0.05,single,1,1.0,1.0,244.0,2.0,1->2,0.667287645231542,484.0,16.0
0.05,single,1,1.0,1.0,295.0,2.0,1->2,0.6258864282525785,484.0,9.0
0.05,single,1,0.0,0.0,298.0,1.0,0->1,0.6371233673851788,970.0,17.0
0.05,single,1,0.0,0.0,335.0,1.0,0->1,0.5849301654897556,970.0,11.0
0.05,single,1,1.0,1.0,393.0,2.0,1->2,0.6696275144171951,484.0,16.0
0.05,single,1,0.0,0.0,399.0,1.0,0->1,0.6193803774467778,970.0,24.0
0.05,single,1,1.0,1.0,445.0,2.0,1->2,0.6650894063341247,484.0,10.0
0.05,single,1,1.0,1.0,447.0,2.0,1->2,0.6299125287917016,484.0,9.0
0.05,single,1,126.0,1.0,500.0,2.0,1->2,0.514960522169339,20.0,5.0
0.05,single,1,1.0,1.0,501.0,2.0,1->2,0.6524133737499332,484.0,14.0
0.05,single,1,399.0,1.0,574.0,2.0,1->2,0.5661171365744534,24.0,15.0
0.05,single,1,141.0,1.0,660.0,2.0,1->2,0.557741154130304,20.0,7.0
0.05,single,1,0.0,0.0,670.0,1.0,0->1,0.6024435169442893,970.0,6.0
0.05,single,1,298.0,1.0,744.0,2.0,1->2,0.4914680502635148,17.0,2.0
0.05,single,1,298.0,1.0,785.0,2.0,1->2,0.5440669767991141,17.0,14.0
0.05,single,1,0.0,0.0,798.0,1.0,0->1,0.6350903453743266,970.0,12.0
0.05,single,1,0.0,0.0,806.0,1.0,0->1,0.6499447457000581,970.0,19.0
0.05,single,1,0.0,0.0,859.0,1.0,0->1,0.6177150237883104,970.0,7.0
0.05,single,1,0.0,0.0,902.0,1.0,0->1,0.6009790911142302,970.0,12.0
0.05,single,1,1.0,1.0,951.0,2.0,1->2,0.6022005999766927,484.0,3.0
0.05,single,1,1.0,1.0,1038.0,2.0,1->2,0.6564808166432795,484.0,12.0
0.05,single,1,0.0,0.0,1075.0,1.0,0->1,0.6128463723780438,970.0,6.0
0.05,single,1,1.0,1.0,1117.0,2.0,1->2,0.628927947317328,484.0,16.0
0.05,single,1,0.0,0.0,1138.0,1.0,0->1,0.6374913677490834,970.0,13.0
0.05,single,1,1.0,1.0,1233.0,2.0,1->2,0.6510220890069923,484.0,8.0
0.05,single,1,0.0,0.0,1257.0,1.0,0->1,0.6376030149469718,970.0,14.0
0.05,single,1,0.0,0.0,1382.0,1.0,0->1,0.6165139703540576,970.0,23.0
0.05,single,1,1382.0,1.0,1383.0,2.0,1->2,0.5433918326712605,23.0,5.0
0.05,single,1,1.0,1.0,1431.0,2.0,1->2,0.6527946201369931,484.0,12.0
0.05,single,1,670.0,1.0,1488.0,2.0,1->2,0.5058766338020511,6.0,5.0
0.05,single,1,1075.0,1.0,1578.0,2.0,1->2,0.4976599668461877,6.0,6.0
0.05,single,1,1138.0,1.0,1587.0,2.0,1->2,0.5429040943099741,13.0,4.0
0.05,single,1,0.0,0.0,1664.0,1.0,0->1,0.6102485348538647,970.0,10.0
0.05,single,1,399.0,1.0,1684.0,2.0,1->2,0.5730995408741338,24.0,5.0
0.05,single,1,1.0,1.0,1719.0,2.0,1->2,0.6060012956607753,484.0,5.0
0.05,single,1,53.0,1.0,1760.0,2.0,1->2,0.5757886726100431,25.0,9.0
0.05,single,1,1.0,1.0,1858.0,2.0,1->2,0.6277238068476622,484.0,7.0
0.05,single,1,1.0,1.0,1890.0,2.0,1->2,0.6448214373650821,484.0,9.0
0.05,single,1,0.0,0.0,1962.0,1.0,0->1,0.6208859748258831,970.0,15.0
0.05,single,1,1.0,1.0,2037.0,2.0,1->2,0.6263173662157239,484.0,9.0
0.05,single,1,0.0,0.0,2066.0,1.0,0->1,0.5895380238735306,970.0,10.0
0.05,single,1,0.0,0.0,2071.0,1.0,0->1,0.62076556895551,970.0,18.0
0.05,single,1,2071.0,1.0,2136.0,2.0,1->2,0.591077520634631,18.0,17.0
0.05,single,1,126.0,1.0,2232.0,2.0,1->2,0.512611012921295,20.0,11.0
0.05,single,1,53.0,1.0,2314.0,2.0,1->2,0.5352740497295317,25.0,4.0
0.05,single,1,0.0,0.0,2463.0,1.0,0->1,0.612598365747536,970.0,7.0
0.05,single,1,859.0,1.0,2466.0,2.0,1->2,0.5241652199686714,7.0,7.0
0.05,single,1,1.0,1.0,2500.0,2.0,1->2,0.6295435066523624,484.0,11.0
0.05,single,1,1.0,1.0,2520.0,2.0,1->2,0.6024592712205786,484.0,3.0
0.05,single,1,0.0,0.0,2572.0,1.0,0->1,0.6389783875002145,970.0,13.0
0.05,single,1,0.0,0.0,2732.0,1.0,0->1,0.6461113451464947,970.0,17.0
0.05,single,1,2463.0,1.0,2774.0,2.0,1->2,0.4717100273477676,7.0,4.0
0.05,single,1,1.0,1.0,2805.0,2.0,1->2,0.641318077139515,484.0,7.0
0.05,single,1,1.0,1.0,2817.0,2.0,1->2,0.6328182805167253,484.0,13.0
0.05,single,1,1.0,1.0,2901.0,2.0,1->2,0.621213580842807,484.0,7.0
0.05,single,1,1.0,1.0,2903.0,2.0,1->2,0.6460375367253607,484.0,18.0
0.05,single,1,1664.0,1.0,3121.0,2.0,1->2,0.5030163630873892,10.0,6.0
0.05,single,1,0.0,0.0,3153.0,1.0,0->1,0.622271412289102,970.0,18.0
0.05,single,1,2066.0,1.0,3274.0,2.0,1->2,0.488443969604993,10.0,10.0
0.05,single,1,1382.0,1.0,3333.0,2.0,1->2,0.5820805508792457,23.0,6.0
0.05,single,1,1382.0,1.0,3444.0,2.0,1->2,0.5222532609203301,23.0,5.0
0.05,single,1,3153.0,1.0,3489.0,2.0,1->2,0.5411962741447147,18.0,5.0
0.05,single,1,1.0,1.0,3500.0,2.0,1->2,0.6336650209879128,484.0,7.0
0.05,single,1,0.0,0.0,3512.0,1.0,0->1,0.6020381554358009,970.0,7.0
0.05,single,1,1.0,1.0,3624.0,2.0,1->2,0.6356066445340702,484.0,6.0
0.05,single,1,2572.0,1.0,3625.0,2.0,1->2,0.5618455839756651,13.0,8.0
0.05,single,1,2732.0,1.0,3689.0,2.0,1->2,0.5355693774425848,17.0,11.0
0.05,single,1,1257.0,1.0,3734.0,2.0,1->2,0.5390112024786325,14.0,2.0
0.05,single,1,1.0,1.0,3768.0,2.0,1->2,0.6277985915015859,484.0,8.0
0.05,single,1,902.0,1.0,3793.0,2.0,1->2,0.4858383102644221,12.0,7.0
0.05,single,1,36.0,1.0,3799.0,2.0,1->2,0.4561483797874271,6.0,6.0
0.05,single,1,806.0,1.0,3804.0,2.0,1->2,0.5382686197676025,19.0,13.0
0.05,single,1,81.0,1.0,3805.0,2.0,1->2,0.5951723597268938,22.0,11.0
0.05,single,1,141.0,1.0,3931.0,2.0,1->2,0.5927481969576388,20.0,13.0
0.05,single,1,335.0,1.0,3937.0,2.0,1->2,0.4717132057770858,11.0,6.0
0.05,single,1,1962.0,1.0,3938.0,2.0,1->2,0.4157450878719246,15.0,5.0
0.05,single,1,335.0,1.0,4012.0,2.0,1->2,0.4186647322764698,11.0,5.0
0.05,single,1,1.0,1.0,4014.0,2.0,1->2,0.622063303755002,484.0,6.0
0.05,single,1,43.0,1.0,4197.0,2.0,1->2,0.5164854951462795,11.0,7.0
0.05,single,1,1.0,1.0,4273.0,2.0,1->2,0.5983278442059454,484.0,2.0
0.05,single,1,0.0,0.0,4293.0,1.0,0->1,0.5962999053810426,970.0,9.0
0.05,single,1,4293.0,1.0,4294.0,2.0,1->2,0.5164029186077268,9.0,7.0
0.05,single,1,1.0,1.0,4336.0,2.0,1->2,0.5963133392368946,484.0,5.0
0.05,single,1,0.0,0.0,4388.0,1.0,0->1,0.6304753286030149,970.0,11.0
0.05,single,1,4388.0,1.0,4389.0,2.0,1->2,0.4408377372673976,11.0,3.0
0.05,single,1,6.0,1.0,4402.0,2.0,1->2,0.5475265871783469,13.0,5.0
0.05,single,1,399.0,1.0,4422.0,2.0,1->2,0.5274800490882628,24.0,4.0
0.05,single,1,798.0,1.0,4448.0,2.0,1->2,0.4911606470752125,12.0,3.0
0.05,single,1,3153.0,1.0,4454.0,2.0,1->2,0.49093223121018,18.0,4.0
0.05,single,1,2572.0,1.0,4535.0,2.0,1->2,0.4921964842194534,13.0,4.0
0.05,single,1,0.0,0.0,4574.0,1.0,0->1,0.5976316557118597,970.0,8.0
0.05,single,1,1.0,1.0,4577.0,2.0,1->2,0.6302999744998853,484.0,5.0
0.05,single,1,902.0,1.0,4578.0,2.0,1->2,0.4312087974483319,12.0,1.0
0.05,single,1,1.0,1.0,4580.0,2.0,1->2,0.6291309227611455,484.0,5.0
0.05,single,1,6.0,1.0,4586.0,2.0,1->2,0.6025596257520625,13.0,5.0
0.05,single,1,1.0,1.0,4599.0,2.0,1->2,0.6291266672829117,484.0,6.0
0.05,single,1,1382.0,1.0,4605.0,2.0,1->2,0.5093519933612661,23.0,4.0
0.05,single,1,1.0,1.0,4608.0,2.0,1->2,0.6431567753971126,484.0,5.0
0.05,single,1,1257.0,1.0,4632.0,2.0,1->2,0.5177684270586289,14.0,8.0
0.05,single,1,0.0,0.0,4659.0,1.0,0->1,0.6110942864312218,970.0,11.0
0.05,single,1,4659.0,1.0,4660.0,2.0,1->2,0.4644669672737957,11.0,5.0
0.05,single,1,0.0,0.0,4667.0,1.0,0->1,0.6066212815534936,970.0,7.0
0.05,single,1,43.0,1.0,4669.0,2.0,1->2,0.4438905913236298,11.0,2.0
0.05,single,1,1962.0,1.0,4689.0,2.0,1->2,0.4571276278990444,15.0,4.0
0.05,single,1,4574.0,1.0,4702.0,2.0,1->2,0.407033866582238,8.0,4.0
0.05,single,1,1.0,1.0,4708.0,2.0,1->2,0.6162969742006078,484.0,3.0
0.05,single,1,1.0,1.0,4709.0,2.0,1->2,0.6306422762473815,484.0,8.0
0.05,single,1,53.0,1.0,4712.0,2.0,1->2,0.4967194140653992,25.0,4.0
0.05,single,1,3153.0,1.0,4729.0,2.0,1->2,0.5396592321507759,18.0,6.0
0.05,single,1,4388.0,1.0,4740.0,2.0,1->2,0.4451935668639279,11.0,4.0
0.05,single,1,2732.0,1.0,4745.0,2.0,1->2,0.5123918908543565,17.0,3.0
0.05,single,1,53.0,1.0,4746.0,2.0,1->2,0.469368089598871,25.0,2.0
0.05,single,1,81.0,1.0,4751.0,2.0,1->2,0.5376429301977537,22.0,3.0
0.05,single,1,902.0,1.0,4752.0,2.0,1->2,0.4524517232457542,12.0,2.0
0.05,single,1,81.0,1.0,4754.0,2.0,1->2,0.566034725997446,22.0,5.0
0.05,single,1,1664.0,1.0,4759.0,2.0,1->2,0.4323781175915343,10.0,3.0
0.05,single,1,61.0,1.0,4760.0,2.0,1->2,0.5206015153738609,4.0,2.0
