node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.895857578578628,733,1490,0.4919463087248322,0.1,2.0,500,970,0,,"[1,8,56,358,433,278,496,41,403,163,63,1347,531,49,3344,1153,51,23,5590,5326,125,5634,303,588,2550,228,8744,198,4412,7594,6687,9250,7828,9322,17,8814,5812,72,9474,6669,8614,8741,7305,9645,9218,9604,110]",47
1,4.716429096076056,580,1490,0.3892617449664429,0.1,2.0,500,390,1,0.0,"[2,5,27,58,151,178,190,191,235,268,344,669,832,1125,1145,1423,2001,2081,2713,2792,3847,4046,4099,5363,5511,6430,6988,7439,8575,8671,8812,8813,9133,9378,9519,9702,9776]",37
2,4.841279023478841,222,1490,0.148993288590604,0.1,2.0,500,18,2,1.0,,0
5,4.892762295020099,210,1490,0.1409395973154362,0.1,2.0,500,9,2,1.0,,0
8,5.299596889034274,82,1490,0.0550335570469798,0.1,2.0,500,19,1,0.0,"[14,9687,9700,9787]",4
14,4.6102747014519165,135,1490,0.0906040268456375,0.1,2.0,500,8,2,8.0,,0
17,4.9745450264024464,66,1490,0.0442953020134228,0.1,2.0,500,10,1,0.0,"[9418,9752,9781]",3
23,5.331174890475884,64,1490,0.0429530201342281,0.1,2.0,500,16,1,0.0,"[5001,9785]",2
27,4.75821448167975,152,1490,0.1020134228187919,0.1,2.0,500,12,2,1.0,,0
41,5.205561466548808,74,1490,0.0496644295302013,0.1,2.0,500,16,1,0.0,"[670,9574,9709,9731]",4
49,5.349597811511563,75,1490,0.0503355704697986,0.1,2.0,500,13,1,0.0,"[2876,9791]",2
51,5.086480929406382,89,1490,0.059731543624161,0.1,2.0,500,12,1,0.0,"[4395,9665]",2
56,5.022401352197915,89,1490,0.059731543624161,0.1,2.0,500,15,1,0.0,"[102,7475]",2
58,4.412107329354147,130,1490,0.087248322147651,0.1,2.0,500,8,2,1.0,,0
63,5.265118355585792,61,1490,0.0409395973154362,0.1,2.0,500,12,1,0.0,"[1697,3994]",2
72,4.848312383808991,49,1490,0.0328859060402684,0.1,2.0,500,19,1,0.0,"[9503,9609,9615,9667,9790]",5
102,4.903710592161979,129,1490,0.0865771812080536,0.1,2.0,500,9,2,56.0,,0
110,5.574759584760946,39,1490,0.0261744966442953,0.1,2.0,500,3,1,0.0,[9740],1
125,5.005301342846959,100,1490,0.0671140939597315,0.1,2.0,500,20,1,0.0,"[7108,9525,9748,9800]",4
151,4.948538364285127,284,1490,0.1906040268456376,0.1,2.0,500,22,2,1.0,,0
163,4.384247266015354,215,1490,0.1442953020134228,0.1,2.0,500,46,1,0.0,"[1436,3590,9334,9417,9562]",5
178,4.945497777303228,102,1490,0.0684563758389261,0.1,2.0,500,7,2,1.0,,0
190,3.8031177949666097,258,1490,0.1731543624161073,0.1,2.0,500,22,2,1.0,,0
191,4.815527577856318,102,1490,0.0684563758389261,0.1,2.0,500,6,2,1.0,,0
198,5.036214384597594,115,1490,0.0771812080536912,0.1,2.0,500,10,1,0.0,"[9086,9690]",2
228,5.244505357855798,136,1490,0.0912751677852349,0.1,2.0,500,17,1,0.0,"[8776,9486,9728,9736,9795]",5
235,4.8897349306382365,258,1490,0.1731543624161073,0.1,2.0,500,17,2,1.0,,0
