iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,1,970,-546088.4713910297,0,0,970.0,970,970
1,54,970,-518234.1585679174,159,53,17.962962962962962,811,1
2,79,970,-509648.08888799325,167,38,12.278481012658228,788,1
3,87,970,-502971.3823173628,171,30,11.149425287356323,759,1
4,93,970,-498270.573299431,160,32,10.43010752688172,736,1
5,94,970,-495048.5911631563,173,31,10.319148936170214,722,1
6,98,970,-492914.38933512865,168,31,9.89795918367347,709,1
7,95,970,-493009.14171350206,158,26,10.210526315789474,710,1
8,98,970,-490851.71655004495,174,31,9.89795918367347,696,1
9,97,970,-489274.6328417378,181,23,10.0,675,1
10,101,970,-487331.12357823283,187,25,9.603960396039604,674,1
11,99,970,-487855.70445159235,194,26,9.797979797979798,662,1
12,98,970,-486647.8894357622,196,22,9.89795918367347,642,1
13,104,970,-485515.2301479219,210,27,9.326923076923077,632,1
14,101,970,-484929.13945840835,211,21,9.603960396039604,622,1
15,108,970,-482972.3680501625,228,29,8.981481481481481,609,1
16,107,970,-482788.32757626596,228,16,9.065420560747663,603,1
17,107,970,-483176.15163698484,224,22,9.065420560747663,596,1
18,115,970,-482426.790610305,226,29,8.434782608695652,588,1
19,117,970,-480899.5100376572,230,24,8.290598290598291,579,1
20,114,970,-480671.1282185218,241,20,8.508771929824562,558,1
21,107,970,-479939.79523324757,224,18,9.065420560747663,556,1
22,108,970,-480479.2396906382,249,19,8.981481481481481,539,1
23,113,970,-478997.65827245516,250,20,8.584070796460177,532,1
24,109,970,-477683.7208468609,239,19,8.899082568807339,516,1
25,121,970,-477809.99793941964,255,29,8.016528925619834,510,1
26,118,970,-476666.1997178248,283,23,8.220338983050848,484,1
27,117,970,-476857.3394526717,263,26,8.290598290598291,491,1
28,117,970,-476228.86610057205,257,24,8.290598290598291,485,1
29,110,970,-476070.7873255667,245,16,8.818181818181818,479,1
30,112,970,-475017.7858369286,249,21,8.660714285714286,475,1
31,122,970,-473948.19378289755,265,28,7.950819672131147,459,1
32,123,970,-473438.2556959552,272,21,7.8861788617886175,445,1
33,120,970,-472692.8083967987,268,19,8.083333333333334,429,1
34,114,970,-472003.96261157136,283,13,8.508771929824562,425,1
35,114,970,-472723.380614533,261,18,8.508771929824562,415,1
36,117,970,-471589.80167607,252,22,8.290598290598291,417,1
37,124,970,-470001.9793258372,257,18,7.82258064516129,389,1
38,119,970,-470890.8254841248,280,19,8.15126050420168,394,1
39,121,970,-470084.8623924897,275,22,8.016528925619834,370,1
40,121,970,-469383.01865717163,269,19,8.016528925619834,370,1
41,121,970,-469054.76793235063,278,17,8.016528925619834,354,1
42,121,970,-468008.4093848303,267,20,8.016528925619834,351,1
43,122,970,-468206.06180181116,267,18,7.950819672131147,339,1
44,120,970,-468891.6267528301,252,15,8.083333333333334,341,1
45,118,970,-468192.41083930124,257,16,8.220338983050848,335,1
46,123,970,-466855.97828018287,264,18,7.8861788617886175,317,1
47,127,970,-466204.3809533733,271,21,7.637795275590551,315,1
48,122,970,-466016.56606797205,268,19,7.950819672131147,311,1
49,120,970,-465519.53202733025,250,21,8.083333333333334,316,1
50,115,970,-465396.23097990255,259,16,8.434782608695652,304,1
51,118,970,-465118.18013788946,255,15,8.220338983050848,306,1
52,120,970,-466558.2942587062,256,16,8.083333333333334,308,1
53,121,970,-464218.30312724377,249,17,8.016528925619834,304,1
54,134,970,-464579.9026834026,240,25,7.2388059701492535,289,1
55,126,970,-462152.11367998965,248,20,7.698412698412699,278,1
56,130,970,-462242.06373895385,252,22,7.461538461538462,278,1
57,133,970,-462042.6095079677,255,18,7.293233082706767,278,1
58,127,970,-462874.2600961105,259,18,7.637795275590551,274,1
59,128,970,-461638.6583674894,250,17,7.578125,271,1
60,128,970,-462235.41446518636,253,24,7.578125,272,1
61,133,970,-460658.3594666758,245,20,7.293233082706767,256,1
62,132,970,-460043.6119429906,256,14,7.348484848484849,261,1
63,130,970,-459907.0102856744,238,21,7.461538461538462,258,1
64,132,970,-459714.55616026255,231,18,7.348484848484849,248,1
65,136,970,-458837.92168414994,251,23,7.132352941176471,232,1
66,135,970,-459870.93141086464,252,18,7.185185185185185,231,1
67,126,970,-459837.07226385147,250,16,7.698412698412699,234,1
68,131,970,-458625.37380786653,227,25,7.404580152671755,232,1
69,129,970,-458411.82330678083,221,18,7.51937984496124,228,1
70,131,970,-458046.92900143797,233,15,7.404580152671755,222,1
71,124,970,-459010.6532780533,230,12,7.82258064516129,225,1
72,132,970,-458968.3850152221,254,20,7.348484848484849,223,1
73,124,970,-458588.7374465908,239,12,7.82258064516129,218,1
74,132,970,-457864.7268835391,232,25,7.348484848484849,218,1
75,130,970,-458074.7855935677,226,20,7.461538461538462,208,1
76,127,970,-457842.65642483765,214,13,7.637795275590551,208,1
77,135,970,-457088.64070882334,227,23,7.185185185185185,211,1
