depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.001,0.1,0.1,0,0,,4.930046563546751,970,1490,35278,
3,0.001,0.1,0.1,1,1,,4.762905457364403,507,1467,10558,
3,0.001,0.1,0.1,1,3757,,4.346954817964721,14,512,439,
3,0.001,0.1,0.1,1,242,,4.213719276604061,30,776,347,
3,0.001,0.1,0.1,1,204,,3.6923456620904243,17,539,170,
3,0.001,0.1,0.1,1,7233,,4.257323156172925,12,509,128,
3,0.001,0.1,0.1,1,135,,3.8234686204318926,11,478,131,
3,0.001,0.1,0.1,1,21,,4.262198239464273,25,646,437,
3,0.001,0.1,0.1,1,48,,4.133277982054489,27,719,230,
3,0.001,0.1,0.1,1,14,,4.346052613810587,33,744,198,
3,0.001,0.1,0.1,1,8556,,3.694814189633749,6,279,130,
3,0.001,0.1,0.1,1,4460,,3.7666571551566226,6,278,105,
3,0.001,0.1,0.1,1,30,,3.784189633918262,11,465,88,
3,0.001,0.1,0.1,1,1292,,3.758639919232659,18,526,128,
3,0.001,0.1,0.1,1,58,,3.5382456181657167,14,469,92,
3,0.001,0.1,0.1,1,5831,,3.664242149728554,13,484,210,
3,0.001,0.1,0.1,1,3811,,3.7156999534525257,4,140,97,
3,0.001,0.1,0.1,1,7678,,3.750946289321974,16,521,107,
3,0.001,0.1,0.1,1,458,,3.9422185598691852,15,478,161,
3,0.001,0.1,0.1,1,7594,,3.89852573226508,8,321,134,
3,0.001,0.1,0.1,1,2214,,3.363686648445555,11,343,88,
3,0.001,0.1,0.1,1,6073,,3.4740850974106485,16,560,63,
3,0.001,0.1,0.1,1,7945,,3.242592351485517,10,393,32,
3,0.001,0.1,0.1,1,27,,3.593569274309611,17,605,80,
3,0.001,0.1,0.1,1,9226,,4.057768236915244,5,234,111,
3,0.001,0.1,0.1,1,7583,,3.938485897463694,5,231,107,
3,0.001,0.1,0.1,1,6311,,3.322865538392248,14,506,45,
3,0.001,0.1,0.1,1,37,,3.1080614585279123,8,297,80,
3,0.001,0.1,0.1,1,8950,,3.455785571946558,9,343,80,
3,0.001,0.1,0.1,1,8332,,3.1790949548563567,5,233,62,
3,0.001,0.1,0.1,1,9544,,4.113555048749932,5,248,157,
3,0.001,0.1,0.1,1,9711,,0.0,2,162,0,
3,0.001,0.1,0.1,1,77,,3.1873562230102586,7,267,72,
3,0.001,0.1,0.1,1,9410,,2.7523860149222616,4,216,28,
3,0.001,0.1,0.1,1,8789,,3.098011122674409,3,155,24,
3,0.001,0.1,0.1,1,9704,,3.361939109118083,4,263,64,
3,0.001,0.1,0.1,1,561,,3.732010918482855,15,469,170,
3,0.001,0.1,0.1,1,6510,,2.659848099284333,5,260,27,
