iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,3,970,-544871.8456490954,0,0,323.3333333333333,670,7
1,58,970,-515653.01579178293,424,55,16.724137931034484,605,1
2,92,970,-504638.56428180326,239,49,10.543478260869565,587,1
3,97,970,-500272.79257684207,190,38,10.0,569,1
4,109,970,-494367.16474541265,198,47,8.899082568807339,546,1
5,117,970,-492545.85093234736,200,38,8.290598290598291,531,1
6,105,970,-490495.2640702918,214,28,9.238095238095237,517,1
7,115,970,-488370.11026690697,221,38,8.434782608695652,505,1
8,108,970,-486982.9953520831,212,24,8.981481481481481,501,1
9,107,970,-484983.27516570553,224,28,9.065420560747663,470,1
10,114,970,-485843.19867159706,234,26,8.508771929824562,464,1
11,107,970,-483277.91468125256,219,33,9.065420560747663,453,1
12,109,970,-481507.5886500455,219,25,8.899082568807339,441,1
13,110,970,-480500.17440783576,221,26,8.818181818181818,438,1
14,115,970,-479019.36694158433,225,26,8.434782608695652,433,1
15,122,970,-477932.62377145136,248,28,7.950819672131147,417,1
16,126,970,-476408.5723671579,255,33,7.698412698412699,410,1
17,125,970,-475483.02849977085,270,26,7.76,396,1
18,128,970,-474516.70104605186,273,33,7.578125,384,1
19,123,970,-474939.2508845744,272,21,7.8861788617886175,381,1
20,129,970,-472372.84230943175,267,24,7.51937984496124,367,1
21,121,970,-472173.6414730304,288,20,8.016528925619834,342,1
22,135,970,-470201.96051743213,284,31,7.185185185185185,334,1
23,134,970,-470558.4248425316,274,25,7.2388059701492535,324,1
24,128,970,-470312.98492192576,282,22,7.578125,327,1
25,132,970,-469003.6597642341,256,24,7.348484848484849,326,1
26,132,970,-468788.121624353,276,22,7.348484848484849,314,1
27,137,970,-468400.4882558957,271,27,7.08029197080292,317,1
28,136,970,-466847.246735706,281,19,7.132352941176471,298,1
29,135,970,-467619.2115073186,289,22,7.185185185185185,300,1
30,131,970,-467902.39917062176,272,22,7.404580152671755,303,1
31,145,970,-465221.8332102579,270,28,6.689655172413793,302,1
32,149,970,-465495.7311119088,265,28,6.510067114093959,309,1
33,138,970,-464980.9993051418,263,19,7.028985507246377,290,1
34,146,970,-465325.9155600548,267,33,6.6438356164383565,290,1
35,144,970,-462864.8763607144,278,30,6.736111111111111,280,1
36,139,970,-462179.4091423209,271,20,6.9784172661870505,281,1
37,142,970,-463212.47722997,273,22,6.830985915492958,277,1
38,151,970,-462565.66184640373,285,28,6.423841059602649,275,1
39,155,970,-461956.75767369504,269,36,6.258064516129032,266,1
40,151,970,-460666.5136750458,267,23,6.423841059602649,262,1
41,150,970,-462051.1235023207,278,31,6.466666666666667,260,1
42,153,970,-459768.9436287402,282,34,6.339869281045751,263,1
43,153,970,-460499.1955976792,265,23,6.339869281045751,265,1
44,152,970,-459288.57170938264,253,20,6.381578947368421,260,1
45,141,970,-460773.39433088154,261,21,6.879432624113475,263,1
46,147,970,-459907.94496077317,270,27,6.598639455782313,254,1
47,148,970,-458440.31184006383,283,23,6.554054054054054,239,1
48,154,970,-458066.02330806083,266,29,6.298701298701299,246,1
49,153,970,-458406.5966203534,258,25,6.339869281045751,243,1
50,156,970,-456638.72298687446,260,27,6.217948717948718,236,1
51,159,970,-457756.5779575419,249,27,6.10062893081761,241,1
52,159,970,-458111.6081198138,261,21,6.10062893081761,240,1
53,155,970,-457697.9125982362,273,27,6.258064516129032,239,1
54,158,970,-455913.57554729073,277,23,6.139240506329114,225,1
55,169,970,-455859.46970074694,263,39,5.739644970414201,230,1
56,166,970,-455420.0378700585,273,22,5.843373493975903,227,1
57,162,970,-456193.26116932515,266,23,5.987654320987654,230,1
58,152,970,-455269.24629949866,272,24,6.381578947368421,224,1
59,150,970,-456181.2821250256,255,18,6.466666666666667,222,1
60,162,970,-454410.8638776987,263,31,5.987654320987654,217,1
61,161,970,-454684.46309786424,259,28,6.024844720496894,215,1
62,157,970,-454770.8471093901,251,26,6.178343949044586,217,1
63,154,970,-455290.6385657526,245,26,6.298701298701299,218,1
64,152,970,-454783.5513664089,256,25,6.381578947368421,211,1
65,155,970,-453365.6658342618,239,28,6.258064516129032,203,1
66,157,970,-454617.0342429857,240,28,6.178343949044586,202,1
67,166,970,-453030.76886961376,247,30,5.843373493975903,198,1
68,166,970,-452541.510466487,254,28,5.843373493975903,198,1
69,164,970,-452310.7895321347,245,29,5.914634146341464,197,1
70,162,970,-452827.60948167817,262,26,5.987654320987654,206,1
71,159,970,-453400.78708154365,250,30,6.10062893081761,203,1
72,166,970,-452507.94502075796,251,31,5.843373493975903,192,1
73,168,970,-452467.485254414,272,32,5.773809523809524,189,1
74,167,970,-452801.2849175104,265,23,5.808383233532934,192,1
75,173,970,-451946.1281593413,256,30,5.606936416184971,189,1
76,171,970,-452584.5852869291,268,29,5.6725146198830405,188,1
77,167,970,-452837.29668383556,259,31,5.808383233532934,188,1
78,171,970,-450843.04762621276,234,26,5.6725146198830405,188,1
79,179,970,-450658.87610876805,254,32,5.418994413407821,189,1
