gamma,layer,avg_js_distance_mean,avg_js_distance_std,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,node_count_mean,node_count_std,run_id_count
0.001,0.0,0.0,0.0,4.949,0.0399,1.0,0.0,5
0.001,1.0,0.487,0.0201,5.072,0.1288,42.2,3.4205,5
0.001,2.0,0.5069,0.0121,5.0823,0.1317,145.8,10.5214,5
0.005,0.0,0.0,0.0,4.9424,0.0206,1.0,0.0,3
0.005,1.0,0.4915,0.0111,5.1457,0.0513,44.0,3.4641,3
0.005,2.0,0.4944,0.0076,5.1035,0.0213,153.3333,12.0968,3
0.01,0.0,0.0,0.0,4.9376,0.0301,1.0,0.0,3
0.01,1.0,0.4784,0.024,5.1824,0.1588,41.3333,3.7859,3
0.01,2.0,0.5006,0.0078,5.0835,0.067,152.6667,4.1633,3
0.05,0.0,0.0,0.0,4.9197,0.0219,1.0,0.0,3
0.05,1.0,0.4579,0.0178,5.2068,0.1233,41.6667,2.0817,3
0.05,2.0,0.4982,0.0058,5.0438,0.016,174.3333,11.0604,3
0.1,0.0,0.0,0.0,4.8972,0.0389,1.0,0.0,3
0.1,1.0,0.47,0.0183,5.0821,0.0651,42.6667,2.5166,3
0.1,2.0,0.4913,0.0041,5.0317,0.0376,183.3333,6.1101,3
