gamma,experiment_type,layer_transition,parent_layer,child_layer,weighted_avg_jsd,simple_avg_jsd,total_child_docs,weight_proportion_of_970,total_pairs,run_count,runs_included,jsd_std,child_doc_count_mean,child_doc_count_std
0.001,single,0->1,0.0,1.0,0.5491126877891536,0.6158341628396939,4850.0,5.0,211,3,"1, 2, 3",0.029293634668901756,22.98578199052133,72.83186630360731
0.001,single,1->2,1.0,2.0,0.5716659250651929,0.5231338704101882,4850.0,5.0,729,3,"1, 2, 3",0.08487121052740564,6.652949245541838,18.373086958766574
0.005,single,0->1,0.0,1.0,0.562361419616485,0.6211325488389144,2910.0,3.0,132,3,"1, 2, 3",0.02417885198790101,22.045454545454547,71.31789532033024
0.005,single,1->2,1.0,2.0,0.5773870703127454,0.5183655187693662,2910.0,3.0,460,3,"1, 2, 3",0.0837832989742104,6.326086956521739,15.800160430263112
0.01,single,0->1,0.0,1.0,0.5365036829644118,0.6155218317759672,2910.0,3.0,124,3,"1, 2, 3",0.027428092396202423,23.467741935483872,84.17311193068406
0.01,single,1->2,1.0,2.0,0.5730046388640951,0.517726930030275,2910.0,3.0,458,3,"1, 2, 3",0.08966340169773543,6.353711790393013,17.62946476124438
0.05,single,0->1,0.0,1.0,0.5436968583074023,0.6171185789828847,2910.0,3.0,125,3,"1, 2, 3",0.028206689524426693,23.28,76.59840813641144
0.05,single,1->2,1.0,2.0,0.5719280889351765,0.51398712861028,2910.0,3.0,523,3,"1, 2, 3",0.0947419321202472,5.564053537284895,9.611675152967406
0.1,single,0->1,0.0,1.0,0.5371458248282512,0.6210446412561768,2910.0,3.0,128,3,"1, 2, 3",0.03055532187073129,22.734375,75.92469169548941
0.1,single,1->2,1.0,2.0,0.5778956930015374,0.5190896678013672,2910.0,3.0,550,3,"1, 2, 3",0.09437720844734912,5.290909090909091,8.943198058959421
