gamma,experiment_type,run_id,parent_id,parent_layer,child_id,child_layer,layer_transition,js_distance,parent_doc_count,child_doc_count
0.005,single,1,0.0,0.0,1.0,1.0,0->1,0.4406162661141982,970.0,782.0
0.005,single,1,1.0,1.0,2.0,2.0,1->2,0.6353018259338067,782.0,502.0
0.005,single,1,2.0,2.0,3.0,3.0,2->3,0.6501576458985903,502.0,347.0
0.005,single,1,1.0,1.0,4.0,2.0,1->2,0.6563637258561219,782.0,34.0
0.005,single,1,4.0,2.0,5.0,3.0,2->3,0.5651294196016784,34.0,7.0
0.005,single,1,2.0,2.0,18.0,3.0,2->3,0.6347026048025358,502.0,8.0
0.005,single,1,0.0,0.0,24.0,1.0,0->1,0.5976563135889144,970.0,26.0
0.005,single,1,24.0,1.0,25.0,2.0,1->2,0.552395640047134,26.0,4.0
0.005,single,1,1.0,1.0,69.0,2.0,1->2,0.620387964658509,782.0,9.0
0.005,single,1,0.0,0.0,90.0,1.0,0->1,0.6349114594856049,970.0,27.0
0.005,single,1,1.0,1.0,100.0,2.0,1->2,0.6104047281363273,782.0,15.0
0.005,single,1,1.0,1.0,104.0,2.0,1->2,0.6121953494624279,782.0,20.0
0.005,single,1,0.0,0.0,107.0,1.0,0->1,0.6197304330456359,970.0,17.0
0.005,single,1,2.0,2.0,177.0,3.0,2->3,0.6312086925234376,502.0,21.0
0.005,single,1,1.0,1.0,188.0,2.0,1->2,0.6336637977035212,782.0,10.0
0.005,single,1,2.0,2.0,228.0,3.0,2->3,0.6566547302111649,502.0,12.0
0.005,single,1,1.0,1.0,243.0,2.0,1->2,0.6092379607875221,782.0,5.0
0.005,single,1,0.0,0.0,317.0,1.0,0->1,0.6230989763399435,970.0,15.0
0.005,single,1,2.0,2.0,601.0,3.0,2->3,0.6006071924957994,502.0,7.0
0.005,single,1,1.0,1.0,660.0,2.0,1->2,0.6188749793233469,782.0,33.0
0.005,single,1,1.0,1.0,872.0,2.0,1->2,0.6168041263101328,782.0,13.0
0.005,single,1,243.0,2.0,888.0,3.0,2->3,0.4945078299204063,5.0,5.0
0.005,single,1,0.0,0.0,894.0,1.0,0->1,0.619407493246337,970.0,12.0
0.005,single,1,1.0,1.0,955.0,2.0,1->2,0.6164114177335318,782.0,24.0
0.005,single,1,2.0,2.0,999.0,3.0,2->3,0.6144941095021507,502.0,7.0
