layer,node1_id,node2_id,js_distance,node1_doc_count,node2_doc_count
1,1,24,0.5400628249523649,782,26
1,1,90,0.6243985544505142,782,27
1,1,107,0.5913532471160189,782,17
1,1,317,0.5895498492621133,782,15
1,1,894,0.5676419338037063,782,12
1,1,1070,0.6079744869555833,782,12
1,1,1612,0.5867602864099312,782,6
1,1,2086,0.5683903337839266,782,21
1,1,3028,0.5893743429296714,782,11
1,1,3450,0.5912561065819656,782,6
1,1,3572,0.5714206683981888,782,5
1,1,3996,0.5714206683981888,782,2
1,1,4222,0.6377655000722162,782,8
1,1,4309,0.6102760909535149,782,10
1,1,4391,0.5896680239616071,782,1
1,1,4402,0.5714206683981888,782,4
1,1,4518,0.5757692680790013,782,1
1,1,4537,0.5775995870440976,782,4
1,24,90,0.5287815775249484,26,27
1,24,107,0.5011486792262857,26,17
1,24,317,0.4854330679269593,26,15
1,24,894,0.5307346324863933,26,12
1,24,1070,0.5083102791808255,26,12
1,24,1612,0.4971896336840998,26,6
1,24,2086,0.4591177623627054,26,21
1,24,3028,0.5001554035809612,26,11
1,24,3450,0.473938882529438,26,6
1,24,3572,0.44612087505393133,26,5
1,24,3996,0.44612087505393133,26,2
1,24,4222,0.5332373619010339,26,8
1,24,4309,0.5123976718746736,26,10
1,24,4391,0.4728009385539907,26,1
1,24,4402,0.44612087505393133,26,4
1,24,4518,0.46085058505979165,26,1
1,24,4537,0.4579222789778826,26,4
1,90,107,0.4747716066019588,27,17
1,90,317,0.4822386093870459,27,15
1,90,894,0.5379091661381943,27,12
1,90,1070,0.5032474074581007,27,12
1,90,1612,0.4982804151232043,27,6
1,90,2086,0.46294553949933354,27,21
1,90,3028,0.49559326586236446,27,11
1,90,3450,0.45254781546134815,27,6
1,90,3572,0.42156640293524705,27,5
1,90,3996,0.42156640293524705,27,2
1,90,4222,0.5143888411921824,27,8
1,90,4309,0.48657425809187754,27,10
1,90,4391,0.45483430073654446,27,1
1,90,4402,0.42156640293524705,27,4
1,90,4518,0.4362600413910334,27,1
1,90,4537,0.440555471466048,27,4
1,107,317,0.40222652418130606,17,15
1,107,894,0.4512227272582027,17,12
1,107,1070,0.40444623117420764,17,12
1,107,1612,0.39397424714889295,17,6
1,107,2086,0.3800766025716959,17,21
1,107,3028,0.40294244752238356,17,11
1,107,3450,0.3362702453239996,17,6
1,107,3572,0.2727533035304297,17,5
1,107,3996,0.2727533035304297,17,2
1,107,4222,0.4366808206788439,17,8
1,107,4309,0.39838143881909216,17,10
1,107,4391,0.3285009128965756,17,1
1,107,4402,0.2727533035304297,17,4
1,107,4518,0.30407616777719576,17,1
1,107,4537,0.30864969280495613,17,4
1,317,894,0.4675234389617675,15,12
1,317,1070,0.4283539682873039,15,12
1,317,1612,0.41737850746208094,15,6
1,317,2086,0.3891447012533984,15,21
1,317,3028,0.41877540943341807,15,11
1,317,3450,0.3724821335069869,15,6
1,317,3572,0.319187391173175,15,5
1,317,3996,0.319187391173175,15,2
1,317,4222,0.45922646493354663,15,8
1,317,4309,0.4196379329718411,15,10
1,317,4391,0.36585042008089563,15,1
1,317,4402,0.319187391173175,15,4
1,317,4518,0.34516068428721053,15,1
1,317,4537,0.34227264762053944,15,4
1,894,1070,0.4744827543679261,12,12
1,894,1612,0.4646791923710671,12,6
1,894,2086,0.46332091913919465,12,21
1,894,3028,0.47919612534784695,12,11
1,894,3450,0.43319122939818494,12,6
1,894,3572,0.39706722051097826,12,5
1,894,3996,0.39706722051097826,12,2
1,894,4222,0.5083450090114697,12,8
1,894,4309,0.47589328175833073,12,10
1,894,4391,0.43518158304866655,12,1
1,894,4402,0.39706722051097826,12,4
