depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
4,0.005,0.1,0.1,0,0,,4.882072216155122,970,1490,24305,
4,0.005,0.1,0.1,1,1,,4.961074871561987,782,1483,16015,
4,0.005,0.1,0.1,1,4222,,3.605450857477824,8,330,113,
4,0.005,0.1,0.1,1,107,,3.550893711140033,17,550,56,
4,0.005,0.1,0.1,1,4309,,3.085344432243677,10,459,70,
4,0.005,0.1,0.1,1,90,,4.509744057432984,27,756,224,
4,0.005,0.1,0.1,1,317,,3.497148689874401,15,561,79,
4,0.005,0.1,0.1,1,3028,,3.8258707634085862,11,401,87,
4,0.005,0.1,0.1,1,1070,,4.0884652438859375,12,460,93,
4,0.005,0.1,0.1,1,24,,3.7342677228149594,26,692,233,
4,0.005,0.1,0.1,1,1612,,2.845495493047869,6,254,64,
4,0.005,0.1,0.1,1,3450,,2.8357676238613125,6,279,28,
4,0.005,0.1,0.1,1,894,,3.828427826234349,12,458,153,
4,0.005,0.1,0.1,1,4402,,0.0,4,235,0,
4,0.005,0.1,0.1,1,2086,,3.0688226988541776,21,623,57,
4,0.005,0.1,0.1,1,4537,,2.721987708945992,4,257,17,
4,0.005,0.1,0.1,1,3996,,0.0,2,79,0,
4,0.005,0.1,0.1,1,3572,,0.0,5,215,0,
4,0.005,0.1,0.1,1,4391,,2.7785234577595954,1,42,26,
4,0.005,0.1,0.1,1,4518,,2.5649493574615363,1,96,13,
4,0.005,0.1,0.1,2,2,,5.084724702577563,502,1464,9321,
4,0.005,0.1,0.1,2,2255,,3.342562680416236,8,360,95,
4,0.005,0.1,0.1,2,4355,,3.434673310858545,5,251,54,
4,0.005,0.1,0.1,2,2733,,4.113073547328377,10,362,128,
4,0.005,0.1,0.1,2,4,,4.242136066663458,34,716,208,
4,0.005,0.1,0.1,2,1339,,3.081102883951801,8,317,139,
4,0.005,0.1,0.1,2,4524,,3.4257305681860273,4,259,56,
4,0.005,0.1,0.1,2,4022,,3.8178357903684446,8,390,90,
4,0.005,0.1,0.1,2,1409,,2.988033094272332,16,484,116,
4,0.005,0.1,0.1,2,4215,,3.7219212613152286,11,388,126,
4,0.005,0.1,0.1,2,4485,,3.4339872044851467,4,239,93,
4,0.005,0.1,0.1,2,3302,,4.0405461220312535,11,431,183,
4,0.005,0.1,0.1,2,104,,3.8784087687953828,20,518,118,
4,0.005,0.1,0.1,2,2774,,4.119021569928144,7,281,179,
4,0.005,0.1,0.1,2,100,,3.698433048505682,15,396,197,
4,0.005,0.1,0.1,2,2753,,3.8670942289552364,9,347,108,
4,0.005,0.1,0.1,2,1030,,3.636880853699186,23,598,229,
4,0.005,0.1,0.1,2,3367,,0.0,5,184,0,
4,0.005,0.1,0.1,2,4369,,3.552747279789357,3,131,48,
4,0.005,0.1,0.1,2,955,,3.7434002929923547,24,521,105,
4,0.005,0.1,0.1,2,3451,,3.315635037975169,5,251,67,
4,0.005,0.1,0.1,2,2357,,2.8596000992294117,3,137,48,
4,0.005,0.1,0.1,2,3164,,2.6897010624340134,5,266,18,
4,0.005,0.1,0.1,2,4425,,3.3532176997740204,3,147,46,
4,0.005,0.1,0.1,2,4212,,3.4781584227982827,7,328,72,
4,0.005,0.1,0.1,2,4399,,3.4957681898986026,5,274,52,
4,0.005,0.1,0.1,2,4403,,0.0,1,53,0,
4,0.005,0.1,0.1,2,660,,4.261661201231664,33,706,406,
4,0.005,0.1,0.1,2,2464,,4.155011350554113,11,424,154,
4,0.005,0.1,0.1,2,872,,3.6141605327408133,13,388,93,
4,0.005,0.1,0.1,2,4361,,3.829422138233374,11,370,124,
4,0.005,0.1,0.1,2,3778,,0.6931471805599453,2,100,2,
4,0.005,0.1,0.1,2,1553,,3.0037644452512557,5,249,25,
4,0.005,0.1,0.1,2,4506,,3.1135153092103742,1,82,30,
4,0.005,0.1,0.1,2,3740,,3.2706621483818474,9,328,62,
4,0.005,0.1,0.1,2,1993,,2.5649493574615363,11,375,13,
4,0.005,0.1,0.1,2,2805,,3.1135153092103742,8,291,30,
4,0.005,0.1,0.1,2,188,,4.054798892061452,10,405,224,
4,0.005,0.1,0.1,2,4530,,3.0984663924295974,3,193,52,
4,0.005,0.1,0.1,2,4418,,3.7040759009952198,5,256,114,
4,0.005,0.1,0.1,2,4477,,2.716246968306389,3,144,35,
4,0.005,0.1,0.1,2,4444,,3.445221898132739,6,308,181,
4,0.005,0.1,0.1,2,3874,,3.8814375539135613,4,222,109,
4,0.005,0.1,0.1,2,243,,3.6664877637990347,5,181,74,
4,0.005,0.1,0.1,2,4170,,3.8334606829250437,4,252,104,
4,0.005,0.1,0.1,2,2448,,3.7035189626885487,8,303,170,
4,0.005,0.1,0.1,2,3406,,3.802515973808472,5,201,114,
4,0.005,0.1,0.1,2,69,,3.673329490163016,9,348,142,
4,0.005,0.1,0.1,2,4275,,3.437575499175754,4,212,103,
4,0.005,0.1,0.1,2,4438,,0.0,1,77,0,
4,0.005,0.1,0.1,2,4499,,0.0,2,124,0,
4,0.005,0.1,0.1,2,4374,,3.211979245809142,4,209,85,
4,0.005,0.1,0.1,2,4338,,3.0757749812275277,2,170,65,
4,0.005,0.1,0.1,2,3928,,3.0061098939735516,3,148,53,
4,0.005,0.1,0.1,2,25,,3.508518879056573,4,184,147,
4,0.005,0.1,0.1,2,3124,,2.886248040712303,4,174,44,
4,0.005,0.1,0.1,2,4538,,3.3022574338072492,3,176,100,
4,0.005,0.1,0.1,2,3997,,3.2162494280859812,2,110,78,
4,0.005,0.1,0.1,2,3905,,2.716349003916905,4,171,22,
4,0.005,0.1,0.1,2,4392,,0.0,1,34,0,
4,0.005,0.1,0.1,2,4541,,0.0,1,54,0,
4,0.005,0.1,0.1,2,4544,,4.031121128801822,4,238,142,
4,0.005,0.1,0.1,2,3300,,0.0,2,128,0,
4,0.005,0.1,0.1,2,4555,,0.0,1,64,0,
4,0.005,0.1,0.1,2,4397,,3.866667303707348,2,164,125,
4,0.005,0.1,0.1,2,4519,,0.0,1,64,0,
4,0.005,0.1,0.1,2,4558,,2.335108284699606,3,184,50,
4,0.005,0.1,0.1,3,3,,5.509056113530952,347,1406,8811,
4,0.005,0.1,0.1,3,2632,,3.9628872978549086,7,313,298,
4,0.005,0.1,0.1,3,4440,,3.949517209855724,5,241,125,
4,0.005,0.1,0.1,3,4396,,2.822136580381682,1,63,67,
4,0.005,0.1,0.1,3,2567,,3.7946245112108397,3,122,102,
4,0.005,0.1,0.1,3,228,,3.712079847284372,12,399,375,
4,0.005,0.1,0.1,3,3955,,3.1411118036225076,8,282,236,
