depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
4,0.005,0.1,0.1,0,0,,4.942505011970596,970,1488,35010,
4,0.005,0.1,0.1,1,1,,4.735500834899646,522,1475,5653,
4,0.005,0.1,0.1,1,4,,4.5591548031696245,242,1372,1913,
4,0.005,0.1,0.1,1,2052,,2.9291773323179604,13,487,51,
4,0.005,0.1,0.1,1,64,,3.998585964944028,49,919,247,
4,0.005,0.1,0.1,1,1467,,3.8712010109078903,9,385,120,
4,0.005,0.1,0.1,1,218,,3.5487582518103586,21,628,55,
4,0.005,0.1,0.1,1,732,,3.8261979240405277,23,663,163,
4,0.005,0.1,0.1,1,208,,1.8787708462176846,12,436,12,
4,0.005,0.1,0.1,1,3155,,4.068520728526235,6,302,137,
4,0.005,0.1,0.1,1,2464,,2.8971587101849976,18,528,53,
4,0.005,0.1,0.1,1,3088,,3.583518938456111,9,308,48,
4,0.005,0.1,0.1,1,2799,,3.7805598658676836,17,536,55,
4,0.005,0.1,0.1,1,438,,3.708457783541608,11,387,79,
4,0.005,0.1,0.1,1,1847,,3.2315425152989303,18,549,96,
4,0.005,0.1,0.1,2,2,,4.974513027110553,235,1362,3572,
4,0.005,0.1,0.1,2,3576,,0.0,2,105,0,
4,0.005,0.1,0.1,2,78,,3.605991794308169,24,599,135,
4,0.005,0.1,0.1,2,941,,3.934779992550761,13,393,200,
4,0.005,0.1,0.1,2,2917,,3.8730931590599265,7,286,115,
4,0.005,0.1,0.1,2,4114,,3.1243172422431886,4,252,55,
4,0.005,0.1,0.1,2,106,,3.970661804438527,28,686,208,
4,0.005,0.1,0.1,2,5,,4.4751290881780985,183,1300,2097,
4,0.005,0.1,0.1,2,3970,,0.0,8,312,0,
4,0.005,0.1,0.1,2,3691,,3.3079193237330355,8,328,73,
4,0.005,0.1,0.1,2,4086,,3.040068087374043,3,143,56,
4,0.005,0.1,0.1,2,1994,,3.663287582349374,19,578,226,
4,0.005,0.1,0.1,2,13,,3.5275079477343243,19,503,219,
4,0.005,0.1,0.1,2,1145,,3.7204372945216475,11,395,104,
