parent_id,parent_layer,child_id,child_layer,js_distance,parent_doc_count,child_doc_count
0,0,1,1,0.4424392883659843,970,735
1,1,2,2,0.6595952730423639,735,319
2,2,3,3,0.7177700313639023,319,74
2,2,7,3,0.6570525356184856,319,17
1,1,20,2,0.636974516010753,735,8
0,0,23,1,0.6372559846731042,970,40
1,1,33,2,0.6184727845044584,735,11
2,2,42,3,0.6159038501755756,319,6
1,1,43,2,0.6505625591664209,735,18
43,2,48,3,0.6003030051351226,18,11
0,0,74,1,0.6237320123647985,970,7
1,1,79,2,0.6541548275480182,735,12
1,1,82,2,0.656813112508799,735,18
2,2,87,3,0.6535745565878878,319,9
2,2,91,3,0.6621256277125547,319,5
1,1,157,2,0.647835960891159,735,18
2,2,169,3,0.6692283033480222,319,13
0,0,185,1,0.6349684397603814,970,19
0,0,221,1,0.63119376329101,970,10
1,1,233,2,0.6644806585433006,735,33
1,1,260,2,0.6531201063620291,735,24
20,2,295,3,0.5212838647061677,8,6
2,2,313,3,0.6732398598178042,319,20
0,0,372,1,0.6208559772201547,970,35
1,1,390,2,0.6457990723313425,735,19
2,2,399,3,0.6857736212553736,319,14
390,2,402,3,0.5400100772417015,19,5
2,2,507,3,0.6642303711550189,319,8
2,2,510,3,0.6729615178312496,319,13
1,1,519,2,0.6674282539355274,735,25
372,1,527,2,0.5688757541806977,35,28
233,2,567,3,0.6272568600144536,33,11
2,2,583,3,0.6668209988887733,319,19
0,0,670,1,0.6067079354910596,970,33
1,1,713,2,0.6332485971727657,735,14
2,2,726,3,0.65347894798301,319,12
713,2,764,3,0.522479914270713,14,5
157,2,771,3,0.5740720377647425,18,10
1,1,874,2,0.6517362131776507,735,25
2,2,878,3,0.6456213527453525,319,9
0,0,882,1,0.6331599349863368,970,39
882,1,883,2,0.5504932639480464,39,15
1,1,993,2,0.6128336607204983,735,4
2,2,1101,3,0.6699704053477763,319,6
1,1,1281,2,0.6211850859168773,735,19
1,1,1359,2,0.6119202053511237,735,10
2,2,1372,3,0.6604375439019113,319,12
1,1,1641,2,0.634079804251437,735,10
670,1,1644,2,0.47285719763609135,33,6
874,2,1647,3,0.6008980762160893,25,18
1,1,1742,2,0.6407786760823813,735,8
1644,2,1805,3,0.4953066185807127,6,6
185,1,1811,2,0.5108704924161221,19,11
2,2,1870,3,0.6820949094852402,319,14
23,1,2030,2,0.5851516005729375,40,11
2030,2,2031,3,0.5332926546016713,11,11
1,1,2158,2,0.6484908759588786,735,9
882,1,2234,2,0.5544901975818858,39,20
2234,2,2303,3,0.5696007036753591,20,19
1,1,2437,2,0.6218447515590074,735,7
527,2,2451,3,0.6289831962014939,28,23
883,2,2469,3,0.5207169726281962,15,15
2158,2,2526,3,0.4777137500506155,9,4
1,1,2581,2,0.6303530368694632,735,25
185,1,2641,2,0.4795491273951286,19,8
33,2,2655,3,0.5342269895274423,11,6
1359,2,2672,3,0.46694290395921245,10,6
0,0,2680,1,0.6303190137266327,970,15
1281,2,2686,3,0.4619708713715392,19,6
233,2,2712,3,0.6050819208262529,33,11
1281,2,2843,3,0.4469073613687127,19,3
2581,2,2913,3,0.5593727475620709,25,13
2,2,2955,3,0.632415967419051,319,13
2,2,3022,3,0.628866419270961,319,3
1281,2,3173,3,0.49951499392354826,19,7
670,1,3258,2,0.49276093220777323,33,4
519,2,3422,3,0.5929119478738192,25,13
79,2,3450,3,0.4809025268023749,12,3
1,1,3563,2,0.6096143095536951,735,6
1,1,3597,2,0.6147224549538929,735,15
3597,2,3598,3,0.46991784712670587,15,5
1641,2,3674,3,0.5078501535716189,10,10
2,2,3755,3,0.6311294731687423,319,7
23,1,3820,2,0.6105564504884616,40,11
3820,2,3877,3,0.5389880690050478,11,8
221,1,4012,2,0.48884450986852773,10,10
3258,2,4206,3,0.4210406920240744,4,3
1,1,4239,2,0.6386092877744463,735,12
157,2,4298,3,0.5082488536243545,18,6
0,0,4402,1,0.6026980808296949,970,19
1,1,4450,2,0.6224351932912857,735,13
2,2,4465,3,0.6361346772230674,319,7
2,2,4508,3,0.6235037883702735,319,3
2,2,4520,3,0.6528002150594969,319,10
670,1,4669,2,0.4697028061349776,33,9
2437,2,4872,3,0.3603556275023735,7,2
4402,1,4873,2,0.3624865582298923,19,6
23,1,4887,2,0.56513330841612,40,8
670,1,4897,2,0.5170629698472428,33,6
4669,2,4955,3,0.450499303213664,9,5
2,2,4956,3,0.6374896709211572,319,8
4873,2,4968,3,0.5123668537901929,6,6
3597,2,5122,3,0.4927154707096823,15,6
4239,2,5223,3,0.4646586128869023,12,3
82,2,5240,3,0.5877351720513508,18,9
1,1,5398,2,0.6153319527172021,735,5
1742,2,5405,3,0.45177738468460854,8,6
23,1,5514,2,0.5855555081610974,40,6
233,2,5523,3,0.5793086534882878,33,5
3563,2,5537,3,0.42795206153957704,6,4
4450,2,5545,3,0.4519846795267125,13,5
519,2,5549,3,0.5086181993033547,25,8
1,1,5551,2,0.6128323050058527,735,10
1811,2,5597,3,0.481586064029491,11,4
2680,1,5640,2,0.3312040271269717,15,8
5640,2,5646,3,0.4619871693301437,8,8
390,2,5713,3,0.5159861396840398,19,3
23,1,5734,2,0.5565009462311857,40,1
2581,2,5872,3,0.52673994761048,25,9
4239,2,5892,3,0.4740031993423765,12,4
260,2,5896,3,0.5274027214763009,24,8
2641,2,5915,3,0.44762329512657206,8,2
3597,2,5959,3,0.47503974860727616,15,4
0,0,5966,1,0.6078092247662732,970,9
1,1,5970,2,0.6197175602823932,735,7
713,2,5972,3,0.4579680758217105,14,6
1,1,5974,2,0.6317074971389931,735,7
5966,1,5987,2,0.3581335146972585,9,5
5398,2,5996,3,0.4492521212559111,5,5
1,1,6014,2,0.6337004386872742,735,3
4450,2,6091,3,0.5214263844836343,13,8
260,2,6099,3,0.5667901108718073,24,11
4887,2,6116,3,0.4911722201686354,8,4
5987,2,6124,3,0.3382152058856898,5,3
2,2,6147,3,0.6264604051959066,319,6
2,2,6193,3,0.6414347974678893,319,9
372,1,6214,2,0.37321306438791074,35,4
6214,2,6215,3,0.4085616434939761,4,4
5966,1,6223,2,0.29762379934832395,9,2
6223,2,6224,3,0.3038553437768839,2,2
1,1,6241,2,0.609366815103506,735,5
4897,2,6253,3,0.379696381921744,6,2
5974,2,6270,3,0.45819853121907134,7,6
993,2,6271,3,0.36330815649767223,4,4
1742,2,6274,3,0.4755502326869909,8,2
4012,2,6278,3,0.5630750146589434,10,10
2581,2,6280,3,0.4632188894697335,25,2
4402,1,6283,2,0.17066485266947654,19,3
