iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,1,970,-545226.3770077549,0,0,970.0,970,970
1,61,970,-513004.6894251197,162,60,15.901639344262295,808,1
2,95,970,-503539.0509285921,157,51,10.210526315789474,785,1
3,103,970,-497203.4041172895,165,53,9.41747572815534,772,1
4,103,970,-494912.40816397197,163,47,9.41747572815534,767,1
5,109,970,-491690.71974891436,156,51,8.899082568807339,761,1
6,115,970,-489054.52762318554,166,51,8.434782608695652,744,1
7,117,970,-488454.9254214038,177,48,8.290598290598291,741,1
8,109,970,-487291.17624027585,176,41,8.899082568807339,739,1
9,112,970,-485410.1852291138,177,48,8.660714285714286,733,1
10,116,970,-483741.08625840547,184,46,8.362068965517242,724,1
11,110,970,-482563.4296572251,181,40,8.818181818181818,713,1
12,117,970,-481590.119586059,189,40,8.290598290598291,712,1
13,118,970,-480938.90061015025,201,44,8.220338983050848,699,1
14,113,970,-478927.3663303544,206,37,8.584070796460177,680,1
15,117,970,-479046.01917953894,219,44,8.290598290598291,672,1
16,118,970,-478573.622396911,219,39,8.220338983050848,660,1
17,117,970,-476863.1112077001,227,40,8.290598290598291,641,1
18,123,970,-476101.1317354592,218,47,7.8861788617886175,634,1
19,121,970,-475418.0241951591,234,35,8.016528925619834,625,1
20,125,970,-476002.1336469472,234,35,7.76,618,1
21,125,970,-475442.0952024179,251,36,7.76,590,1
22,124,970,-473922.0761397422,267,40,7.82258064516129,584,1
23,129,970,-472607.8114631544,259,36,7.51937984496124,573,1
24,129,970,-473120.1809477557,265,32,7.51937984496124,584,1
25,127,970,-473992.08323266014,262,33,7.637795275590551,569,1
26,118,970,-472561.7469835659,266,29,8.220338983050848,552,1
27,121,970,-471966.9357427607,258,38,8.016528925619834,564,1
28,123,970,-470910.4697281778,269,41,7.8861788617886175,541,1
29,137,970,-470408.32689733483,277,45,7.08029197080292,538,1
30,129,970,-470781.9892445215,264,32,7.51937984496124,541,1
31,131,970,-470051.3284619836,261,41,7.404580152671755,530,1
