node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.843623126843035,729,1490,0.489261744966443,0.1,2.0,195,970,0,,"[1,5,1069,155,1205,10,555,2749,2944,374,3436,2042,620,995,7114,7450,6641]",17
1,4.980738618812734,659,1490,0.4422818791946308,0.1,2.0,195,709,1,0.0,"[2,104,171,1208,158,3960,8,1921,852,5743,5295,6119,5624,5576,6114,4414,3344,4662,6444,7416,7557,7641,7661,5964,5064,5115,7793,7814]",28
2,4.926324308465891,612,1490,0.410738255033557,0.1,2.0,195,385,2,1.0,"[3,4,31,37,107,117,137,185,220,328,404,443,1603,2353,3532,4185,4206,4586,4786,5412,5433,5861,7278,7324,7510,7522,7585]",27
3,5.422720031794189,598,1490,0.4013422818791946,0.1,2.0,195,115,3,2.0,,0
4,4.895536693962848,266,1490,0.1785234899328859,0.1,2.0,195,22,3,2.0,,0
5,5.160243545863183,110,1490,0.0738255033557047,0.1,2.0,195,25,1,0.0,"[92,2391,7484]",3
8,4.448178246272611,137,1490,0.0919463087248322,0.1,2.0,195,28,2,1.0,"[5269,5451,7489,7545,7690,7790]",6
10,5.515971539721319,51,1490,0.034228187919463,0.1,2.0,195,23,1,0.0,"[903,2494]",2
31,4.963180719985428,117,1490,0.0785234899328859,0.1,2.0,195,9,3,2.0,,0
37,4.687165941389156,199,1490,0.1335570469798657,0.1,2.0,195,15,3,2.0,,0
92,5.185204949014652,49,1490,0.0328859060402684,0.1,2.0,195,10,2,5.0,[165],1
104,4.998187214542829,138,1490,0.0926174496644295,0.1,2.0,195,38,2,1.0,"[120,889,6489,7395]",4
107,4.886545535900066,128,1490,0.0859060402684563,0.1,2.0,195,9,3,2.0,,0
117,5.216213136409909,208,1490,0.1395973154362416,0.1,2.0,195,13,3,2.0,,0
120,4.781065457446794,140,1490,0.0939597315436241,0.1,2.0,195,11,3,104.0,,0
137,4.609016004838085,94,1490,0.0630872483221476,0.1,2.0,195,11,3,2.0,,0
155,4.997942467297837,72,1490,0.0483221476510067,0.1,2.0,195,20,1,0.0,"[1669,7725,7609]",3
158,4.895636760657637,175,1490,0.1174496644295302,0.1,2.0,195,30,2,1.0,"[1782,5571,6083]",3
165,4.97223188213189,151,1490,0.1013422818791946,0.1,2.0,195,10,3,92.0,,0
171,4.734635418039487,85,1490,0.0570469798657718,0.1,2.0,195,26,2,1.0,"[222,3926,5852,7491,7601,7774]",6
185,4.810265116115591,171,1490,0.1147651006711409,0.1,2.0,195,20,3,2.0,,0
220,5.125987729387135,143,1490,0.0959731543624161,0.1,2.0,195,14,3,2.0,,0
222,4.73380522998021,89,1490,0.059731543624161,0.1,2.0,195,6,3,171.0,,0
328,4.913776781698191,118,1490,0.0791946308724832,0.1,2.0,195,8,3,2.0,,0
374,5.892674225364233,27,1490,0.0181208053691275,0.1,2.0,195,14,1,0.0,"[3855,7327]",2
404,4.839113558126471,121,1490,0.0812080536912751,0.1,2.0,195,11,3,2.0,,0
443,4.989595780732363,233,1490,0.1563758389261745,0.1,2.0,195,18,3,2.0,,0
555,5.8918672990897365,68,1490,0.0456375838926174,0.1,2.0,195,35,1,0.0,"[1697,5696,2846,7693,7760,7762]",6
620,4.753283571452309,71,1490,0.0476510067114094,0.1,2.0,195,28,1,0.0,"[1699,7321,7697]",3
852,4.691071066093833,150,1490,0.1006711409395973,0.1,2.0,195,29,2,1.0,"[5733,6577,6703,6955,7809]",5
889,4.407849183628617,152,1490,0.1020134228187919,0.1,2.0,195,17,3,104.0,,0
903,4.8183688649269465,86,1490,0.0577181208053691,0.1,2.0,195,8,2,10.0,[1777],1
995,7.034156045856492,5,1490,0.0033557046979865,0.1,2.0,195,6,1,0.0,[6809],1
1069,5.411484162767756,62,1490,0.0416107382550335,0.1,2.0,195,17,1,0.0,"[1070,7582]",2
1070,4.478657999358717,74,1490,0.0496644295302013,0.1,2.0,195,12,2,1069.0,"[1571,7717]",2
1205,6.281214219589486,28,1490,0.0187919463087248,0.1,2.0,195,19,1,0.0,"[1392,5792,7722]",3
1208,5.357833580059821,70,1490,0.046979865771812,0.1,2.0,195,11,2,1.0,[1250],1
1250,4.839730040755596,126,1490,0.0845637583892617,0.1,2.0,195,11,3,1208.0,,0
1392,5.317424346164949,63,1490,0.0422818791946308,0.1,2.0,195,8,2,1205.0,[1727],1
1571,4.901021031298907,143,1490,0.0959731543624161,0.1,2.0,195,8,3,1070.0,,0
1603,4.780581636176397,119,1490,0.0798657718120805,0.1,2.0,195,10,3,2.0,,0
1669,5.2720818050332285,79,1490,0.0530201342281879,0.1,2.0,195,15,2,155.0,"[1670,6442,7737]",3
1670,4.888882233292656,158,1490,0.1060402684563758,0.1,2.0,195,10,3,1669.0,,0
1697,5.039315898369885,68,1490,0.0456375838926174,0.1,2.0,195,19,2,555.0,"[2127,4650,7807]",3
1699,4.5136402605246895,131,1490,0.0879194630872483,0.1,2.0,195,18,2,620.0,"[5935,7562]",2
1727,4.780653360707248,99,1490,0.0664429530201342,0.1,2.0,195,8,3,1392.0,,0
1777,4.886028905838405,115,1490,0.0771812080536912,0.1,2.0,195,8,3,903.0,,0
1782,4.038491452269286,141,1490,0.0946308724832214,0.1,2.0,195,14,3,158.0,,0
1921,5.182397112778149,146,1490,0.097986577181208,0.1,2.0,195,16,2,1.0,"[5536,6485,7549]",3
2042,5.228500975291247,52,1490,0.0348993288590604,0.1,2.0,195,13,1,0.0,[2288],1
2127,4.624727966933268,148,1490,0.0993288590604026,0.1,2.0,195,12,3,1697.0,,0
2288,4.732989509989302,68,1490,0.0456375838926174,0.1,2.0,195,13,2,2042.0,"[5797,7667,7816]",3
2353,4.86966356405104,125,1490,0.0838926174496644,0.1,2.0,195,8,3,2.0,,0
2391,5.092425821273852,44,1490,0.0295302013422818,0.1,2.0,195,7,2,5.0,[5550],1
2494,5.812279032783708,29,1490,0.0194630872483221,0.1,2.0,195,15,2,10.0,"[2495,7440,7749]",3
2495,4.251048233547842,115,1490,0.0771812080536912,0.1,2.0,195,9,3,2494.0,,0
2749,4.817139966285181,59,1490,0.0395973154362416,0.1,2.0,195,9,1,0.0,[2750],1
2750,5.129398875976336,112,1490,0.0751677852348993,0.1,2.0,195,9,2,2749.0,"[2819,7442,7705]",3
2819,5.38260981882147,44,1490,0.0295302013422818,0.1,2.0,195,5,3,2750.0,,0
2846,5.225352905096393,100,1490,0.0671140939597315,0.1,2.0,195,5,2,555.0,"[7626,7806]",2
2944,5.873787833600029,43,1490,0.0288590604026845,0.1,2.0,195,18,1,0.0,"[3000,5275,7775,7784]",4
3000,5.6813935642396585,43,1490,0.0288590604026845,0.1,2.0,195,8,2,2944.0,"[3301,7732]",2
3301,4.747017613269687,76,1490,0.0510067114093959,0.1,2.0,195,4,3,3000.0,,0
3344,5.306021815704819,108,1490,0.07248322147651,0.1,2.0,195,13,2,1.0,"[6857,7703,7751,7758]",4
3436,5.945050406304705,25,1490,0.0167785234899328,0.1,2.0,195,15,1,0.0,[5086],1
3532,4.853080655351015,123,1490,0.0825503355704698,0.1,2.0,195,9,3,2.0,,0
3855,6.913818493145935,8,1490,0.0053691275167785,0.1,2.0,195,10,2,374.0,"[3856,7589,7778]",3
3856,5.016520837970383,104,1490,0.0697986577181208,0.1,2.0,195,6,3,3855.0,,0
3926,4.893409450679679,99,1490,0.0664429530201342,0.1,2.0,195,9,3,171.0,,0
3960,5.853347776375276,24,1490,0.0161073825503355,0.1,2.0,195,6,2,1.0,[3961],1
3961,4.927651266783763,84,1490,0.0563758389261744,0.1,2.0,195,6,3,3960.0,,0
4185,4.814902137924512,149,1490,0.1,0.1,2.0,195,10,3,2.0,,0
4206,4.493227300107855,95,1490,0.0637583892617449,0.1,2.0,195,10,3,2.0,,0
4414,6.814578054127954,11,1490,0.0073825503355704,0.1,2.0,195,4,2,1.0,"[6696,7768,7802]",3
4586,4.79587586534246,151,1490,0.1013422818791946,0.1,2.0,195,14,3,2.0,,0
4650,4.658318124950102,81,1490,0.0543624161073825,0.1,2.0,195,5,3,1697.0,,0
4662,5.393595546864351,67,1490,0.0449664429530201,0.1,2.0,195,9,2,1.0,"[6914,7739,7779]",3
4786,5.51605991962375,51,1490,0.034228187919463,0.1,2.0,195,6,3,2.0,,0
5064,5.484741310260154,42,1490,0.0281879194630872,0.1,2.0,195,4,2,1.0,"[7757,7803]",2
5086,4.84063860581892,116,1490,0.0778523489932885,0.1,2.0,195,15,2,3436.0,"[5133,7771]",2
5115,5.492116710157386,34,1490,0.0228187919463087,0.1,2.0,195,7,2,1.0,"[7773,7797,7804]",3
5133,4.97104079336439,119,1490,0.0798657718120805,0.1,2.0,195,12,3,5086.0,,0
5269,4.925168206058441,108,1490,0.07248322147651,0.1,2.0,195,4,3,8.0,,0
5275,6.983563582238457,3,1490,0.0020134228187919,0.1,2.0,195,4,2,2944.0,[7447],1
5295,5.41921944822637,72,1490,0.0483221476510067,0.1,2.0,195,10,2,1.0,"[5999,7695]",2
5412,5.23451422751003,86,1490,0.0577181208053691,0.1,2.0,195,5,3,2.0,,0
5433,5.040845282233716,171,1490,0.1147651006711409,0.1,2.0,195,15,3,2.0,,0
5451,4.8015534822392345,60,1490,0.0402684563758389,0.1,2.0,195,5,3,8.0,,0
5536,4.671730457815216,98,1490,0.0657718120805369,0.1,2.0,195,11,3,1921.0,,0
5550,4.624494185996063,83,1490,0.0557046979865771,0.1,2.0,195,7,3,2391.0,,0
5571,4.999176211829036,139,1490,0.0932885906040268,0.1,2.0,195,8,3,158.0,,0
5576,5.193643293672743,85,1490,0.0570469798657718,0.1,2.0,195,16,2,1.0,[6208],1
5624,6.209382538006053,25,1490,0.0167785234899328,0.1,2.0,195,6,2,1.0,[6170],1
5696,7.306531398939504,0,1490,0.0,0.1,2.0,195,4,2,555.0,"[5697,7782]",2
5697,4.963260422187277,32,1490,0.021476510067114,0.1,2.0,195,2,3,5696.0,,0
5733,5.221304393483623,125,1490,0.0838926174496644,0.1,2.0,195,7,3,852.0,,0
5743,5.546258771325823,50,1490,0.0335570469798657,0.1,2.0,195,22,2,1.0,"[5744,7520,7746,7813]",4
5744,4.676504089469465,134,1490,0.0899328859060402,0.1,2.0,195,10,3,5743.0,,0
5792,5.141587141628387,60,1490,0.0402684563758389,0.1,2.0,195,9,2,1205.0,[6012],1
5797,5.638688552226929,53,1490,0.0355704697986577,0.1,2.0,195,5,3,2288.0,,0
5852,4.906175389628284,74,1490,0.0496644295302013,0.1,2.0,195,3,3,171.0,,0
5861,5.063823166622626,101,1490,0.0677852348993288,0.1,2.0,195,9,3,2.0,,0
5935,4.335071568818197,89,1490,0.059731543624161,0.1,2.0,195,11,3,1699.0,,0
5964,5.77437974361014,31,1490,0.0208053691275167,0.1,2.0,195,4,2,1.0,[7727],1
5999,4.596063323161062,87,1490,0.0583892617449664,0.1,2.0,195,3,3,5295.0,,0
6012,4.385980056473812,89,1490,0.059731543624161,0.1,2.0,195,9,3,5792.0,,0
6083,5.076215404495469,103,1490,0.0691275167785235,0.1,2.0,195,8,3,158.0,,0
