depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
4,0.01,0.1,0.1,0,0,,4.835377276095668,970,1490,32999,
4,0.01,0.1,0.1,1,1,,4.955049662650769,709,1484,10407,
4,0.01,0.1,0.1,1,555,,4.043966180981629,35,779,81,
4,0.01,0.1,0.1,1,620,,3.4401462138800705,28,717,151,
4,0.01,0.1,0.1,1,3436,,2.8630663072058975,15,446,34,
4,0.01,0.1,0.1,1,2042,,3.3751539185845796,13,404,89,
4,0.01,0.1,0.1,1,155,,3.5102982169357038,20,619,125,
4,0.01,0.1,0.1,1,10,,3.3971240562745195,23,582,70,
4,0.01,0.1,0.1,1,2749,,2.9907650021077816,9,369,94,
4,0.01,0.1,0.1,1,1069,,3.744614090636178,17,453,102,
4,0.01,0.1,0.1,1,374,,2.9711072262486016,14,437,38,
4,0.01,0.1,0.1,1,1205,,3.242592351485517,19,569,32,
4,0.01,0.1,0.1,1,2944,,3.5775912388228353,18,571,58,
4,0.01,0.1,0.1,1,6641,,1.3862943611198906,8,277,4,
4,0.01,0.1,0.1,1,5,,4.164047376370926,25,676,209,
4,0.01,0.1,0.1,1,995,,1.6094379124341003,6,242,5,
4,0.01,0.1,0.1,1,7450,,2.932674137586854,5,243,26,
4,0.01,0.1,0.1,1,7114,,2.6713181918334805,6,285,42,
4,0.01,0.1,0.1,2,2,,4.878559550885235,385,1447,5601,
4,0.01,0.1,0.1,2,5295,,3.7974491007127105,10,363,106,
4,0.01,0.1,0.1,2,2846,,4.09099274781682,5,270,176,
4,0.01,0.1,0.1,2,171,,3.5157674696982153,26,659,167,
4,0.01,0.1,0.1,2,1699,,3.8172121073727046,18,506,339,
4,0.01,0.1,0.1,2,158,,4.274143429293457,30,695,377,
4,0.01,0.1,0.1,2,6444,,3.6839121826677284,7,290,94,
4,0.01,0.1,0.1,2,5086,,3.829517771498839,15,450,211,
4,0.01,0.1,0.1,2,852,,4.142817420418913,29,711,442,
4,0.01,0.1,0.1,2,2288,,3.425024717742713,13,408,152,
4,0.01,0.1,0.1,2,7661,,4.094761142107318,5,241,196,
4,0.01,0.1,0.1,2,7557,,3.564175975612979,7,358,64,
4,0.01,0.1,0.1,2,1208,,3.8645564681892224,11,381,120,
4,0.01,0.1,0.1,2,104,,4.22661973725395,38,760,290,
4,0.01,0.1,0.1,2,5696,,0.0,4,192,0,
4,0.01,0.1,0.1,2,8,,3.7443885685321106,28,659,336,
4,0.01,0.1,0.1,2,1669,,3.868449977536002,15,485,132,
4,0.01,0.1,0.1,2,5964,,3.046590690787483,4,195,44,
4,0.01,0.1,0.1,2,903,,3.7496715768810067,8,309,197,
4,0.01,0.1,0.1,2,2750,,4.11121032984497,9,363,204,
4,0.01,0.1,0.1,2,1070,,3.2685127617297756,12,404,171,
4,0.01,0.1,0.1,2,1921,,4.41622169436065,16,521,287,
4,0.01,0.1,0.1,2,1697,,3.4355828646290396,19,499,112,
4,0.01,0.1,0.1,2,3855,,2.0794415416798357,10,331,8,
4,0.01,0.1,0.1,2,7762,,0.0,2,108,0,
4,0.01,0.1,0.1,2,5792,,3.406414517939442,9,332,99,
4,0.01,0.1,0.1,2,5624,,2.973391544279386,6,260,29,
4,0.01,0.1,0.1,2,4662,,3.7127881372178115,9,343,101,
4,0.01,0.1,0.1,2,7327,,1.791759469228055,4,177,6,
4,0.01,0.1,0.1,2,3000,,3.3846680797109454,8,330,60,
