record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[521, 520, 515, 522, 526, 531, 528, 526, 523, 521, 513, 508, 502, 500, 517, 521, 515, 517, 518, 526, 523]",0.9249032806302955,0.011594256533342218,0.20000000000000004,2.7755575615628914e-17,"[0.9206642066420664, 0.9345794392523364, 0.9239332096474954, 0.9371534195933456, 0.9288321167883211, 0.9360146252285192, 0.926873857404022, 0.9247706422018349, 0.9226519337016574, 0.911275415896488, 0.9155722326454033, 0.9274809160305344, 0.9418604651162791, 0.9116541353383458, 0.9116022099447514, 0.9044117647058824, 0.9471698113207547, 0.9382022471910112, 0.9085923217550275, 0.9247706422018349]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[523, 529, 516, 512, 514, 530, 535, 538, 521, 524, 529, 522, 531, 532, 530, 524, 518, 519, 513, 531, 532]",0.9235865014509654,0.009626378013863032,0.20000000000000004,2.7755575615628914e-17,"[0.9338235294117647, 0.9387755102040817, 0.9323308270676691, 0.9213483146067416, 0.9297597042513863, 0.9154676258992805, 0.9126559714795008, 0.9289617486338798, 0.9174311926605505, 0.9250457038391224, 0.9284403669724771, 0.9145454545454546, 0.9327272727272727, 0.9032258064516129, 0.9233576642335767, 0.922509225092251, 0.9383177570093458, 0.9289719626168225, 0.9155963302752294, 0.9084380610412927]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[532, 539, 547, 556, 553, 549, 545, 552, 563, 578, 561, 558, 562, 564, 565, 568, 566, 564, 559, 568, 567]",0.9330413691079562,0.011689347594180832,0.20000000000000004,2.7755575615628914e-17,"[0.9437386569872959, 0.925531914893617, 0.9316987740805605, 0.9253472222222222, 0.9198606271777003, 0.9431616341030196, 0.9415929203539823, 0.9458987783595113, 0.9144295302013423, 0.9239864864864865, 0.9259896729776248, 0.9512195121951219, 0.9480968858131488, 0.9432013769363167, 0.9074074074074074, 0.9451114922813036, 0.9316239316239316, 0.9328743545611016, 0.9264957264957265, 0.9335604770017035]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[567, 572, 580, 586, 589, 605, 598, 600, 612, 597, 594, 589, 587, 590, 585, 595, 592, 580, 586, 583, 597]",0.9365120472453817,0.010219424068015985,0.20000000000000004,2.7755575615628914e-17,"[0.9175084175084175, 0.9296482412060302, 0.9336650082918739, 0.9168026101141925, 0.9383116883116883, 0.9466019417475728, 0.9448051948051948, 0.9423076923076923, 0.9220985691573926, 0.946078431372549, 0.9361702127659575, 0.943801652892562, 0.9263502454991817, 0.9485903814262023, 0.9407894736842105, 0.9300813008130081, 0.9403973509933775, 0.9563758389261745, 0.9354304635761589, 0.9344262295081968]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[597, 600, 586, 592, 593, 592, 593, 599, 600, 601, 605, 605, 607, 599, 590, 586, 592, 587, 587, 591, 590]",0.9414171503938095,0.009225089823303386,0.20000000000000004,2.7755575615628914e-17,"[0.9244372990353698, 0.9410801963993454, 0.947107438016529, 0.9522240527182867, 0.9362745098039216, 0.9490131578947368, 0.9382113821138212, 0.9369951534733441, 0.9370967741935484, 0.9514563106796117, 0.9484702093397746, 0.9392, 0.9203821656050956, 0.9428104575163399, 0.9405940594059405, 0.9311475409836065, 0.9455445544554455, 0.9566666666666667, 0.9535655058043118, 0.9360655737704918]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,"[590, 595, 595, 605, 602, 592, 591, 590, 588, 591, 596, 594, 605, 609, 604, 597, 593, 592, 583, 586, 590]",0.946393555537435,0.0091644998403294,0.20000000000000004,2.7755575615628914e-17,"[0.9586776859504132, 0.9476268412438625, 0.941747572815534, 0.9312, 0.9383116883116883, 0.9489291598023064, 0.9520661157024793, 0.9406919275123559, 0.9391447368421053, 0.9490968801313628, 0.9636963696369637, 0.9401294498381877, 0.9300476947535771, 0.9627831715210357, 0.9528455284552846, 0.9508196721311475, 0.9490131578947368, 0.945364238410596, 0.9354304635761589, 0.9502487562189055]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,"[590, 593, 597, 588, 582, 593, 592, 595, 600, 602, 604, 614, 614, 608, 602, 595, 595, 595, 594, 588, 595]",0.9368815948206475,0.010814272359082406,0.20000000000000004,2.7755575615628914e-17,"[0.9361702127659575, 0.9381107491856677, 0.926829268292683, 0.9370860927152318, 0.9293924466338259, 0.933115823817292, 0.9300813008130081, 0.9274193548387096, 0.9576547231270358, 0.9326923076923077, 0.9425837320574163, 0.9127725856697819, 0.945859872611465, 0.9484702093397746, 0.9590834697217676, 0.9444444444444444, 0.9412724306688418, 0.9364820846905537, 0.9345335515548282, 0.9235772357723577]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
7,"[595, 592, 601, 606, 616, 612, 615, 620, 627, 629, 625, 621, 622, 607, 610, 624, 622, 625, 624, 630, 621]",0.9442806396287059,0.0092107436252606,0.20000000000000004,2.7755575615628914e-17,"[0.9395424836601307, 0.9525368248772504, 0.9467741935483871, 0.936608557844691, 0.9492063492063492, 0.9600638977635783, 0.9541139240506329, 0.9453978159126365, 0.9503105590062112, 0.9411764705882353, 0.931782945736434, 0.9482758620689655, 0.9415481832543444, 0.9534510433386838, 0.9311424100156495, 0.9438377535101404, 0.9545454545454546, 0.9364341085271318, 0.9472049689440993, 0.9216589861751152]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,"[621, 613, 621, 624, 629, 632, 638, 636, 625, 617, 606, 605, 602, 611, 613, 614, 611, 610, 607, 595, 599]",0.9404721981781228,0.010139162315216632,0.20000000000000004,2.7755575615628914e-17,"[0.9494470774091627, 0.9463722397476341, 0.9362363919129082, 0.9547581903276131, 0.9340490797546013, 0.9629057187017002, 0.9480122324159022, 0.9370199692780338, 0.9285714285714286, 0.9320695102685624, 0.9469453376205788, 0.9530744336569579, 0.9315286624203821, 0.9245283018867925, 0.9383886255924171, 0.9230769230769231, 0.9350237717908082, 0.9409888357256778, 0.9449838187702265, 0.9414634146341463]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
9,"[599, 605, 609, 609, 600, 593, 583, 589, 590, 593, 604, 604, 603, 593, 601, 601, 599, 610, 609, 613, 612]",0.9405151071468781,0.00853771068232793,0.20000000000000004,2.7755575615628914e-17,"[0.9577235772357724, 0.9455128205128205, 0.93026941362916, 0.9406099518459069, 0.9429967426710097, 0.9342105263157895, 0.9371900826446281, 0.942339373970346, 0.9521452145214522, 0.927536231884058, 0.9266347687400319, 0.9342948717948718, 0.9415584415584416, 0.9509803921568627, 0.932475884244373, 0.9354838709677419, 0.9468599033816425, 0.9504, 0.9335443037974683, 0.9475357710651828]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
