gamma,layer,avg_js_distance_mean,avg_js_distance_std,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,node_count_mean,node_count_std,run_id_count
0.001,0.0,0.0,0.0,4.8664,0.0196,1.0,0.0,3
0.001,1.0,0.4364,0.0271,4.9479,0.2117,17.0,3.0,3
0.001,2.0,0.413,0.0092,5.2607,0.1046,68.0,4.5826,3
0.001,3.0,0.4722,0.0105,5.1362,0.1101,157.6667,13.0512,3
0.005,0.0,0.0,0.0,4.9239,0.0287,1.0,0.0,3
0.005,1.0,0.4444,0.0457,4.9833,0.0941,16.6667,2.5166,3
0.005,2.0,0.4044,0.0198,5.2672,0.1132,65.0,2.6458,3
0.005,3.0,0.4646,0.0087,5.1899,0.0809,153.6667,12.0554,3
0.01,0.0,0.0,0.0,4.8072,0.0332,1.0,0.0,3
0.01,1.0,0.4323,0.0188,5.0018,0.1268,16.6667,3.5119,3
0.01,2.0,0.4119,0.0041,5.098,0.1098,71.3333,4.7258,3
0.01,3.0,0.475,0.0056,5.1256,0.0162,172.6667,9.0738,3
0.05,0.0,0.0,0.0,4.7957,0.0363,1.0,0.0,3
0.05,1.0,0.4669,0.014,4.8704,0.0298,16.3333,2.5166,3
0.05,2.0,0.3824,0.0318,5.2475,0.1059,68.3333,7.0238,3
0.05,3.0,0.4863,0.0073,5.0339,0.0098,179.0,9.1652,3
0.1,0.0,0.0,0.0,4.8553,0.0533,1.0,0.0,3
0.1,1.0,0.4465,0.0277,4.9117,0.055,16.6667,5.6862,3
0.1,2.0,0.402,0.0196,5.2111,0.0376,70.3333,5.1316,3
0.1,3.0,0.4631,0.0046,5.1226,0.0789,188.3333,17.5024,3
