gamma,experiment_type,layer_transition,parent_layer,child_layer,weighted_avg_jsd,simple_avg_jsd,total_child_docs,weight_proportion_of_970,total_pairs,run_count,runs_included,jsd_std,child_doc_count_mean,child_doc_count_std
0.001,single,0->1,0.0,1.0,0.4797706784483488,0.610535651683306,2910.0,3.0,51,3,"1, 2, 3",0.04574059388087085,57.05882352941177,181.7857433095022
0.001,single,1->2,1.0,2.0,0.6074376238623596,0.4998264657560265,2910.0,3.0,204,3,"1, 2, 3",0.13163842507646709,14.264705882352942,52.55097013828234
0.001,single,2->3,2.0,3.0,0.5523033529204777,0.4772277750116402,2910.0,3.0,473,3,"1, 2, 3",0.10642273389905804,6.152219873150106,19.054284638112158
0.005,single,0->1,0.0,1.0,0.5121276470143858,0.6059059350173733,2910.0,3.0,50,3,"1, 2, 3",0.03690976615848607,58.2,167.67875019007656
0.005,single,1->2,1.0,2.0,0.583342201650326,0.4842376507563583,2910.0,3.0,195,3,"1, 2, 3",0.14359775749361942,14.923076923076923,56.898075183224826
0.005,single,2->3,2.0,3.0,0.5565860795938726,0.47424408116289013,2910.0,3.0,461,3,"1, 2, 3",0.10540520958348208,6.31236442516269,22.51950939319914
0.01,single,0->1,0.0,1.0,0.4986282115955438,0.6115140430128385,2910.0,3.0,50,3,"1, 2, 3",0.041934251928710295,58.2,169.73256274840975
0.01,single,1->2,1.0,2.0,0.5841421112898522,0.4963646128177829,2910.0,3.0,214,3,"1, 2, 3",0.15012250903338306,13.598130841121495,40.57228171348266
0.01,single,2->3,2.0,3.0,0.5530983496705215,0.4780503231283474,2910.0,3.0,518,3,"1, 2, 3",0.11165079778187341,5.617760617760617,7.978733411493075
0.05,single,0->1,0.0,1.0,0.48031917747877784,0.6176293318040557,2910.0,3.0,49,3,"1, 2, 3",0.04857791728119833,59.38775510204081,183.87369037903557
0.05,single,1->2,1.0,2.0,0.5639430007435703,0.4991770072120456,2910.0,3.0,205,3,"1, 2, 3",0.1468383931868881,14.195121951219512,49.82224260750351
0.05,single,2->3,2.0,3.0,0.5589095457477481,0.4858994018145207,2910.0,3.0,537,3,"1, 2, 3",0.12145996852154733,5.418994413407821,6.396233479029068
0.1,single,0->1,0.0,1.0,0.4627987197115654,0.6058157002964731,2910.0,3.0,50,3,"1, 2, 3",0.04840841757450707,58.2,185.1848497351459
0.1,single,1->2,1.0,2.0,0.5834329956479032,0.49688758947128614,2910.0,3.0,211,3,"1, 2, 3",0.14549260227419225,13.791469194312796,49.85697757178126
0.1,single,2->3,2.0,3.0,0.5535854777764115,0.47683713311956333,2910.0,3.0,565,3,"1, 2, 3",0.11300256945439578,5.150442477876106,11.303533966110509
