gamma,layer,avg_js_distance_mean,avg_js_distance_std,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,node_count_mean,node_count_std,run_id_count
0.001,0.0,0.0,0.0,7.0208,0.0282,1.0,0.0,3
0.001,1.0,0.4364,0.0271,7.1383,0.3054,17.0,3.0,3
0.001,2.0,0.413,0.0092,7.5895,0.151,68.0,4.5826,3
0.001,3.0,0.4722,0.0105,7.41,0.1589,157.6667,13.0512,3
0.005,0.0,0.0,0.0,7.1037,0.0415,1.0,0.0,3
0.005,1.0,0.4444,0.0457,7.1893,0.1358,16.6667,2.5166,3
0.005,2.0,0.4044,0.0198,7.5989,0.1633,65.0,2.6458,3
0.005,3.0,0.4646,0.0087,7.4875,0.1168,153.6667,12.0554,3
0.01,0.0,0.0,0.0,6.9353,0.0479,1.0,0.0,3
0.01,1.0,0.4323,0.0188,7.216,0.183,16.6667,3.5119,3
0.01,2.0,0.4119,0.0041,7.3548,0.1584,71.3333,4.7258,3
0.01,3.0,0.475,0.0056,7.3947,0.0233,172.6667,9.0738,3
0.05,0.0,0.0,0.0,6.9188,0.0524,1.0,0.0,3
0.05,1.0,0.4669,0.014,7.0265,0.043,16.3333,2.5166,3
0.05,2.0,0.3824,0.0318,7.5705,0.1527,68.3333,7.0238,3
0.05,3.0,0.4863,0.0073,7.2624,0.0142,179.0,9.1652,3
0.1,0.0,0.0,0.0,7.0047,0.077,1.0,0.0,3
0.1,1.0,0.4465,0.0277,7.0861,0.0793,16.6667,5.6862,3
0.1,2.0,0.402,0.0196,7.518,0.0542,70.3333,5.1316,3
0.1,3.0,0.4631,0.0046,7.3903,0.1138,188.3333,17.5024,3
