eta,layer,avg_js_distance_mean,avg_js_distance_std,weighted_avg_renyi_entropy_mean,trend,weighted_avg_renyi_entropy_std,node_count_mean,node_count_std,run_id_count
0.005,0,0,0,5.4077,,0.0307,1,0,3
0.005,1,0.737,0.0077,3.5804,,0.0238,85,5,3
0.005,2,0.7486,0.0018,3.0128,,0.0564,346.3333,8.9629,3
0.01,0,0,0,5.3045,,0.0209,1,0,3
0.01,1,0.6998,0.0031,3.7481,,0.0531,79,2.6458,3
0.01,2,0.707,0.0031,3.3435,,0.0365,340.3333,12.897,3
0.02,0,0,0,5.1693,,0.0377,1,0,3
0.02,1,0.6402,0.0077,4.1862,,0.0911,73.3333,1.1547,3
0.02,2,0.654,0.0029,3.8342,,0.0188,310.6667,2.5166,3
0.05,0,0,0,4.9562,,0.0303,1,0,3
0.05,1,0.5663,0.002,4.6121,,0.0769,58.6667,3.5119,3
0.05,2,0.5739,0.0017,4.4826,,0.0247,252.3333,9.5044,3
0.1,0,0,0,4.9197,,0.0219,1,0,3
0.1,1,0.4579,0.0178,5.2068,up,0.1233,41.6667,2.0817,3
0.1,2,0.4982,0.0058,5.0438,,0.016,174.3333,11.0604,3
0.2,0,0,0,4.8739,,0.0166,1,0,3
0.2,1,0.4058,0.0258,5.4354,up,0.1712,29.3333,1.5275,3
0.2,2,0.4039,0.0011,5.4501,,0.026,124.6667,2.5166,3
