eta,layer,top_k,weighted_avg_npmi_mean,weighted_avg_npmi_std,weighted_avg_c_v_mean,weighted_avg_c_v_std,weighted_avg_u_mass_mean,weighted_avg_u_mass_std,simple_avg_npmi_mean,simple_avg_npmi_std,simple_avg_c_v_mean,simple_avg_c_v_std,simple_avg_u_mass_mean,simple_avg_u_mass_std,node_count_mean,total_documents_mean,run_id_count
0.005,0,5,0.011,0.0051,0.4963,0.0183,-0.593,0.0198,0.011,0.0051,0.4963,0.0183,-0.593,0.0198,1,970,3
0.005,1,5,0.0424,0.0182,0.5791,0.0473,-2.1461,0.1941,0.0089,0.0234,0.5468,0.0065,-2.8665,0.0666,85,970,3
0.005,2,5,0.0795,0.0129,0.5768,0.0056,-2.5227,0.0112,0.0576,0.006,0.5615,0.0101,-2.661,0.0393,346.3333,970,3
0.01,0,5,0.0059,0.0076,0.4993,0.0163,-0.5853,0.0179,0.0059,0.0076,0.4993,0.0163,-0.5853,0.0179,1,970,3
0.01,1,5,0.0576,0.0234,0.5779,0.0384,-2.2116,0.236,0.0313,0.0228,0.5317,0.0064,-2.8094,0.2006,79,970,3
0.01,2,5,0.0779,0.0036,0.572,0.0057,-2.6294,0.139,0.063,0.0054,0.5591,0.0037,-2.6955,0.0356,340.3333,970,3
0.02,0,5,0.0139,0,0.4857,0,-0.6004,0.007,0.0139,0,0.4857,0,-0.6004,0.007,1,970,3
0.02,1,5,0.0322,0.0069,0.5691,0.032,-2.0884,0.0716,0.0359,0.0061,0.5481,0.0171,-2.7756,0.1781,73.3333,970,3
0.02,2,5,0.0739,0.0041,0.568,0.0068,-2.5244,0.1469,0.0582,0.0017,0.554,0.0076,-2.6368,0.0883,310.6667,970,3
0.05,0,5,0.011,0.0051,0.4963,0.0183,-0.5897,0.0179,0.011,0.0051,0.4963,0.0183,-0.5897,0.0179,1,970,3
0.05,1,5,0.0573,0.0239,0.5571,0.0147,-2.1607,0.1884,0.0332,0.0064,0.5269,0.0078,-2.7229,0.0449,58.6667,970,3
0.05,2,5,0.0766,0.0201,0.5701,0.0115,-2.7923,0.2685,0.064,0.0101,0.5545,0.0007,-2.8429,0.1445,252.3333,970,3
0.1,0,5,-0.0037,0.0055,0.4884,0.0152,-0.6533,0.0929,-0.0037,0.0055,0.4884,0.0152,-0.6533,0.0929,1,970,3
0.1,1,5,0.0369,0.054,0.5714,0.0404,-1.8148,0.426,0.0291,0.0401,0.5667,0.0175,-2.5884,0.3933,41.6667,970,3
0.1,2,5,0.0781,0.0062,0.5648,0.011,-2.7286,0.1891,0.0675,0.0114,0.5653,0.0072,-2.9589,0.1513,174.3333,970,3
0.2,0,5,0.0088,0.0088,0.4888,0.0052,-0.5856,0.0136,0.0088,0.0088,0.4888,0.0052,-0.5856,0.0136,1,970,3
0.2,1,5,0.0131,0.0299,0.5253,0.0299,-2.1338,0.0946,0.021,0.019,0.5177,0.0119,-3.403,0.2564,29.3333,970,3
0.2,2,5,0.0717,0.0078,0.5869,0.0056,-2.7292,0.2271,0.0417,0.0022,0.5728,0.0085,-3.2173,0.0318,124.6667,970,3
