eta,layer,avg_branching_factor_mean,avg_branching_factor_std,gini_doc_distribution_mean,gini_doc_distribution_std,gini_branch_distribution_mean,gini_branch_distribution_std,node_count_mean,node_count_std,run_id_count
0.005,0,85,5,0,0,0,0,1,0,3
0.005,1,4.0873,0.3304,0.6052,0.0402,0.4391,0.0459,85,5,3
0.005,2,0,0,0.4484,0.0198,0,0,346.3333,8.9629,3
0.01,0,79,2.6458,0,0,0,0,1,0,3
0.01,1,4.3076,0.0229,0.5664,0.0113,0.4184,0.0409,79,2.6458,3
0.01,2,0,0,0.4233,0.0182,0,0,340.3333,12.897,3
0.02,0,73.3333,1.1547,0,0,0,0,1,0,3
0.02,1,4.2371,0.0789,0.5716,0.0264,0.4285,0.0307,73.3333,1.1547,3
0.02,2,0,0,0.4216,0.0197,0,0,310.6667,2.5166,3
0.05,0,58.6667,3.5119,0,0,0,0,1,0,3
0.05,1,4.3078,0.211,0.5321,0.0113,0.4328,0.0121,58.6667,3.5119,3
0.05,2,0,0,0.3857,0.0219,0,0,252.3333,9.5044,3
0.1,0,41.6667,2.0817,0,0,0,0,1,0,3
0.1,1,4.1823,0.0713,0.6376,0.0306,0.4325,0.0507,41.6667,2.0817,3
0.1,2,0,0,0.4807,0.0178,0,0,174.3333,11.0604,3
0.2,0,29.3333,1.5275,0,0,0,0,1,0,3
0.2,1,4.2562,0.1943,0.6467,0.0201,0.4084,0.0061,29.3333,1.5275,3
0.2,2,0,0,0.5406,0.0159,0,0,124.6667,2.5166,3
