eta,layer,entropy_wavg_mean,entropy_wavg_std,distinctiveness_wavg_jsd_mean,distinctiveness_wavg_jsd_std,nodes_in_layer_mean,nodes_in_layer_std,depth_first,gamma_first,alpha_first
0.005,0,5.407500134414547,0.03069673490710909,0.0,0.0,1.0,0.0,3,0.05,0.1
0.005,1,3.3378350208166836,0.02368578203708566,0.6684187481175091,0.01029173250843675,85.0,5.0,3,0.05,0.1
0.005,2,2.7360668686129372,0.05627607976095795,0.6740274316115528,0.0014723103762159183,346.3333333333333,8.962886439832506,3,0.05,0.1
0.01,0,5.3040043704087445,0.020916884655791952,0.0,0.0,1.0,0.0,3,0.05,0.1
0.01,1,3.3986206714303875,0.038640898043245754,0.6635821380857626,0.005502961420609027,79.0,2.6457513110645907,3,0.05,0.1
0.01,2,2.911854947631614,0.07483901448086532,0.6724319565659043,0.004753595658182558,340.3333333333333,12.897028081435408,3,0.05,0.1
0.02,0,5.1682109640056835,0.03768059379187481,0.0,0.0,1.0,0.0,3,0.05,0.1
0.02,1,3.651247249797619,0.03852398216523743,0.6593345994821272,0.004875354176122369,73.33333333333333,1.1547005383792526,3,0.05,0.1
0.02,2,3.233570936736847,0.013443955633106911,0.6653912450808057,0.001830249690292516,310.6666666666667,2.5166114784235907,3,0.05,0.1
0.05,0,4.952972955197059,0.030430728373826894,0.0,0.0,1.0,0.0,3,0.05,0.1
0.05,1,3.9027420757459317,0.05467534423300328,0.6414693469597365,0.003919508720511203,58.666666666666664,3.511884584284245,3,0.05,0.1
0.05,2,3.584004118210835,0.05826398765679817,0.6557650564800075,0.003675346967623124,252.33333333333334,9.504384952922171,3,0.05,0.1
0.1,0,4.912304683727759,0.021687915661075537,0.0,0.0,1.0,0.0,3,0.05,0.1
0.1,1,4.362622746810291,0.042141783092206606,0.6204764359101627,0.01445256125946164,41.666666666666664,2.081665999466132,3,0.05,0.1
0.1,2,4.049701259532754,0.03419105137665374,0.6295586849421486,0.0036420327440231104,174.33333333333334,11.060440015358042,3,0.05,0.1
0.2,0,4.858528975222352,0.01646697954253901,0.0,0.0,1.0,0.0,3,0.05,0.1
0.2,1,4.551456484002615,0.05312473981758086,0.5920745213913283,0.009037288740244023,29.333333333333332,1.5275252316519472,3,0.05,0.1
0.2,2,4.257577649853179,0.021252411093487508,0.6097798400382599,0.004004502042850872,124.66666666666667,2.516611478423583,3,0.05,0.1
