node_id,eta,gamma,depth,alpha,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.1,0.05,3,0.1,0,970,5,"model, method, use, propose, numerical",5,0.005133950278135126,0.5174253898850809,-0.57009880163444,115
1,0.1,0.05,3,0.1,1,390,5,"element, method, formulation, finite, problem",5,0.11766988573955459,0.6247970341532054,-0.669988221186411,115
2,0.1,0.05,3,0.1,2,90,5,"method, scheme, time, contact, problem",5,0.016427727286654408,0.4248982779871495,-1.4123711584709058,115
3624,0.1,0.05,3,0.1,2,4,5,"mass, matrix, order, dimensional, three",5,0.1755888511748682,0.6689269303359348,-2.1385335843567495,115
126,0.1,0.05,3,0.1,1,15,5,"equation, differential, system, scheme, partial",5,0.2501588647220242,0.735857099451055,-1.700769512572633,115
65,0.1,0.05,3,0.1,2,6,5,"matrix, system, linear, bem, solve",5,0.03185395662727074,0.6724516351247202,-2.066789953977554,115
1431,0.1,0.05,3,0.1,2,8,5,"contact, formulation, mortar, mesh, small",5,0.04245285575300575,0.3935885919867058,-1.9982362646178484,115
3153,0.1,0.05,3,0.1,1,4,5,"growth, diffusion, system, know, viscous",5,-0.20786662381485263,0.4317757678334101,-2.7799751019265515,115
130,0.1,0.05,3,0.1,1,14,5,"manufacturing, process, additive, simulation, phase",5,0.20255832008473057,0.7208072456863756,-1.146892030764074,115
3274,0.1,0.05,3,0.1,2,7,5,"microscopic, macroscopic, scale, fe, twoscale",5,0.1563771722644013,0.871755057333935,-1.4752883175727267,115
141,0.1,0.05,3,0.1,1,12,5,"material, release, model, need, provide",5,-0.10267279726165975,0.46619532515949214,-1.7209031848255756,115
3805,0.1,0.05,3,0.1,2,7,5,"basis, reduction, pod, error, proper",5,0.12628539123940866,0.6075160871717158,-1.9019818478120836,115
2901,0.1,0.05,3,0.1,2,5,5,"fracture, pressure, fluid, medium, porous",5,0.21963048165468577,0.6235440725163006,-2.081438525426289,115
1038,0.1,0.05,3,0.1,2,9,5,"crack, damage, failure, multiscale, microstructure",5,0.07263085142379898,0.5798054945354333,-2.0507030328753273,115
1117,0.1,0.05,3,0.1,2,7,5,"meshfree, kernel, galerkin, plate, shape",5,0.15719090082937398,0.8489569133640261,-1.562922296296562,115
2136,0.1,0.05,3,0.1,2,11,5,"stochastic, microstructure, random, parameter, probabilistic",5,0.10230776029661899,0.7394846159751995,-1.9425903475080972,115
3625,0.1,0.05,3,0.1,2,6,5,"comput, mech, et, algorithm, appl",5,0.489040112722816,0.8220925945333711,-1.2083431023291549,115
