node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,5.381153806744801,1087,1490,0.7295302013422819,0.005,2.0,115,970,0,,"[1,3,137,606,953,725,2320,2917,6,2357,983,937,2678,412,6450,9076,11430,8185,7840,5564,2190,10491,4993,15007,12730,16173,18145,10586,8779,9591,19246,3154,14206,5259,9269,17500,18864,15153,4621,5190,20473,20597,4487,10606,16147,19393,21282,20141,15422,17180,16455,18292,20594,21755,21276,11193,21882,5017,5955,21662,143,11759,20954,20820,16592,22086,5969,21836,15556,10061,3357,21769,4841,20082,22149,21783,7610,20946,7214,22189,22313,18359,21758,22280,20360,5001,22396,22406,22109,22470]",90
1,4.36561023822103,296,1490,0.1986577181208053,0.005,2.0,115,453,1,0.0,"[2,53,66,71,122,129,214,306,321,344,445,449,463,481,567,581,627,787,1046,1416,1471,1918,2102,2325,3424,3817,4031,4551,4973,8326,10210,10546,14326,14720,15920,16612,17041,17126,17350,17378,18258,19273,19937,20089,20667,20720,20872,20912,20956,21021,21251,21403,21448,21494,21516,21554,21618,21681,21749,21825,21988,21998,22009,22089,22108,22147,22225,22328,22329,22373,22374,22403,22404,22417,22426,22440,22441,22443,22445,22449,22455,22487,22490,22491,22492,22506,22507,22508]",88
2,4.016467999705166,110,1490,0.0738255033557047,0.005,2.0,115,34,2,1.0,,0
4551,2.501702153663846,15,1490,0.0100671140939597,0.005,2.0,115,6,2,1.0,,0
4487,2.4487721728197926,12,1490,0.0080536912751677,0.005,2.0,115,2,1,0.0,[20611],1
1416,2.846008283581454,35,1490,0.023489932885906,0.005,2.0,115,12,2,1.0,,0
449,3.0659005500439034,40,1490,0.0268456375838926,0.005,2.0,115,14,2,1.0,,0
983,2.8253287524695465,18,1490,0.0120805369127516,0.005,2.0,115,10,1,0.0,"[4215,21456,21973,22424,22473]",5
66,4.003768872447641,99,1490,0.0664429530201342,0.005,2.0,115,16,2,1.0,,0
3,3.349282319431677,53,1490,0.0355704697986577,0.005,2.0,115,18,1,0.0,"[40,16203,19933,21633,22111,22387]",6
4215,3.082248390895731,23,1490,0.0154362416107382,0.005,2.0,115,2,2,983.0,,0
463,3.5431836980982605,84,1490,0.0563758389261744,0.005,2.0,115,14,2,1.0,,0
53,2.6267431205773226,41,1490,0.0275167785234899,0.005,2.0,115,12,2,1.0,,0
2918,3.056043906816827,27,1490,0.0181208053691275,0.005,2.0,115,6,2,2917.0,,0
4330,2.9690219990791347,30,1490,0.0201342281879194,0.005,2.0,115,4,2,937.0,,0
1918,3.310230526969779,42,1490,0.0281879194630872,0.005,2.0,115,11,2,1.0,,0
1471,3.434252929334785,36,1490,0.0241610738255033,0.005,2.0,115,6,2,1.0,,0
406,2.686513500679495,39,1490,0.0261744966442953,0.005,2.0,115,13,2,137.0,,0
1046,3.451343045190763,42,1490,0.0281879194630872,0.005,2.0,115,5,2,1.0,,0
953,3.43793325825455,36,1490,0.0241610738255033,0.005,2.0,115,20,1,0.0,"[1249,19680,21236,21918,21930,22427,22460]",7
2320,3.0022979793921847,46,1490,0.0308724832214765,0.005,2.0,115,27,1,0.0,"[2535,17584,21762,21848,22393,22415,22418,22444,22462,22498]",10
306,3.490308046494482,51,1490,0.034228187919463,0.005,2.0,115,10,2,1.0,,0
3402,2.5141258016741244,27,1490,0.0181208053691275,0.005,2.0,115,4,2,6.0,,0
321,3.5622418725187246,52,1490,0.0348993288590604,0.005,2.0,115,13,2,1.0,,0
481,3.259919353390154,61,1490,0.0409395973154362,0.005,2.0,115,10,2,1.0,,0
344,3.401955660972411,57,1490,0.0382550335570469,0.005,2.0,115,14,2,1.0,,0
71,3.5745575754439205,63,1490,0.0422818791946308,0.005,2.0,115,14,2,1.0,,0
214,3.4855173504441925,51,1490,0.034228187919463,0.005,2.0,115,11,2,1.0,,0
1249,2.6720508798794684,30,1490,0.0201342281879194,0.005,2.0,115,8,2,953.0,,0
122,2.504475639298441,40,1490,0.0268456375838926,0.005,2.0,115,11,2,1.0,,0
567,2.7910600917022657,33,1490,0.0221476510067114,0.005,2.0,115,7,2,1.0,,0
606,3.594609163917813,36,1490,0.0241610738255033,0.005,2.0,115,12,1,0.0,"[607,2735,22394,22495]",4
627,2.8490810014806494,50,1490,0.0335570469798657,0.005,2.0,115,13,2,1.0,,0
129,2.8503022626001004,32,1490,0.021476510067114,0.005,2.0,115,10,2,1.0,,0
2735,3.3527254355489213,40,1490,0.0268456375838926,0.005,2.0,115,5,2,606.0,,0
787,2.816756585719106,36,1490,0.0241610738255033,0.005,2.0,115,11,2,1.0,,0
2357,3.069866139476947,8,1490,0.0053691275167785,0.005,2.0,115,9,1,0.0,"[4162,18745,21313,22416]",4
137,3.17401566294274,22,1490,0.0147651006711409,0.005,2.0,115,18,1,0.0,"[406,1246,22438]",3
2190,3.3692231512042383,43,1490,0.0288590604026845,0.005,2.0,115,10,1,0.0,"[16069,19607,22242,22324,22467,22504]",6
2917,2.914361846646759,16,1490,0.010738255033557,0.005,2.0,115,11,1,0.0,"[2918,3737,22411,22503]",4
3737,2.4724129522585603,18,1490,0.0120805369127516,0.005,2.0,115,3,2,2917.0,,0
