iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,186,970,-429444.27272833284,0,0,5.21505376344086,118,1
1,258,970,-429254.24033602176,334,118,3.75968992248062,119,1
2,269,970,-426992.92535423674,312,104,3.6059479553903344,110,1
3,271,970,-428288.55697114434,300,95,3.5793357933579335,112,1
4,279,970,-429266.5205884891,321,105,3.4767025089605736,118,1
5,285,970,-427940.3033425442,296,101,3.4035087719298245,112,1
6,283,970,-428180.0974708419,289,95,3.4275618374558303,112,1
7,294,970,-428322.8630724594,299,111,3.2993197278911564,112,1
8,291,970,-428574.3516819182,288,102,3.3333333333333335,114,1
9,278,970,-429281.8861325317,284,88,3.4892086330935252,114,1
10,277,970,-429864.57718497707,291,88,3.5018050541516246,115,1
11,283,970,-429459.4622996066,290,97,3.4275618374558303,116,1
12,286,970,-429088.55663112696,274,85,3.3916083916083917,115,1
13,276,970,-431251.82773019094,270,89,3.5144927536231885,117,1
14,284,970,-430420.6514006068,282,104,3.415492957746479,111,1
15,284,970,-429521.3219685314,303,101,3.415492957746479,115,1
16,285,970,-430307.8923002459,290,99,3.4035087719298245,115,1
17,281,970,-430913.25809362176,290,95,3.4519572953736657,112,1
18,277,970,-430804.74225561804,291,94,3.5018050541516246,110,1
19,287,970,-429441.9449782632,284,101,3.3797909407665507,112,1
20,289,970,-431476.58338805137,282,101,3.356401384083045,117,1
21,284,970,-430825.680193441,274,98,3.415492957746479,116,1
22,285,970,-431188.6122909956,276,91,3.4035087719298245,114,1
23,292,970,-430009.0811231374,299,102,3.3219178082191783,113,1
24,287,970,-429897.1818448484,292,98,3.3797909407665507,112,1
25,292,970,-429850.0944578593,301,97,3.3219178082191783,110,1
26,289,970,-430385.8796843961,294,95,3.356401384083045,110,1
27,287,970,-430341.54810484225,299,90,3.3797909407665507,111,1
28,293,970,-429883.92341355985,299,101,3.310580204778157,110,1
29,287,970,-430858.31955659774,289,93,3.3797909407665507,109,1
30,282,970,-430318.8331636557,286,100,3.4397163120567376,111,1
31,290,970,-430055.5945694163,267,96,3.3448275862068964,109,1
32,289,970,-430334.1415156593,283,92,3.356401384083045,106,1
33,280,970,-430620.9876027922,260,79,3.4642857142857144,109,1
34,279,970,-430847.5171706905,266,81,3.4767025089605736,109,1
35,288,970,-430843.9926412519,283,101,3.3680555555555554,111,1
36,291,970,-429493.9894697903,274,91,3.3333333333333335,107,1
37,289,970,-430872.75724705163,286,100,3.356401384083045,108,1
38,282,970,-430871.17636310426,288,88,3.4397163120567376,105,1
39,290,970,-430797.915627597,287,96,3.3448275862068964,103,1
40,290,970,-431406.19894398144,283,92,3.3448275862068964,102,1
41,282,970,-430697.9995311126,290,95,3.4397163120567376,103,1
42,290,970,-431539.5343397483,299,102,3.3448275862068964,105,1
43,291,970,-430202.12157975376,302,109,3.3333333333333335,102,1
44,293,970,-430320.7161949746,296,94,3.310580204778157,105,1
45,301,970,-429717.3167353344,289,100,3.222591362126246,107,1
46,303,970,-430203.90805568063,298,105,3.201320132013201,106,1
47,296,970,-429905.53647905134,296,103,3.277027027027027,106,1
48,293,970,-431428.4326094011,293,106,3.310580204778157,105,1
49,295,970,-429893.7508052551,301,110,3.288135593220339,102,1
50,291,970,-429493.00278881396,306,97,3.3333333333333335,104,1
51,291,970,-430530.65470534895,296,96,3.3333333333333335,108,1
52,296,970,-429638.7721372926,291,101,3.277027027027027,102,1
53,307,970,-429080.03950940596,299,111,3.1596091205211727,107,1
54,296,970,-430082.9859001087,293,89,3.277027027027027,106,1
55,291,970,-429430.3727935843,288,86,3.3333333333333335,104,1
56,286,970,-430196.24694030645,290,95,3.3916083916083917,102,1
57,290,970,-430461.9666653922,292,98,3.3448275862068964,102,1
58,298,970,-430548.0031698452,303,101,3.2550335570469797,102,1
59,301,970,-430070.31835503154,297,102,3.222591362126246,105,1
60,290,970,-430038.1727016295,295,92,3.3448275862068964,107,1
61,292,970,-430200.4260320959,290,97,3.3219178082191783,105,1
62,304,970,-430261.3292714822,297,111,3.1907894736842106,101,1
63,307,970,-429932.48235200305,311,100,3.1596091205211727,106,1
64,310,970,-429203.1368016173,297,109,3.129032258064516,102,1
65,313,970,-429022.1274696555,296,113,3.099041533546326,105,1
66,310,970,-429855.92492115684,294,104,3.129032258064516,108,1
67,309,970,-428220.48934339866,300,106,3.1391585760517797,98,1
68,314,970,-428079.6539253034,294,115,3.089171974522293,98,1
69,299,970,-429249.2476972904,300,90,3.2441471571906355,98,1
70,303,970,-429294.2230539039,289,99,3.201320132013201,100,1
71,307,970,-429654.9278712172,295,105,3.1596091205211727,99,1
72,301,970,-429165.0731412255,306,98,3.222591362126246,97,1
73,305,970,-428743.3910122363,283,106,3.180327868852459,101,1
74,305,970,-428941.1389209858,314,118,3.180327868852459,98,1
75,308,970,-429077.70670114097,305,115,3.1493506493506493,101,1
76,306,970,-429322.96007226396,310,105,3.1699346405228757,104,1
77,301,970,-428743.79854564747,291,98,3.222591362126246,105,1
78,309,970,-428167.3682069775,293,115,3.1391585760517797,101,1
79,292,970,-429555.4974319651,295,93,3.3219178082191783,101,1
80,300,970,-429769.973901789,294,107,3.2333333333333334,104,1
81,299,970,-429152.9553836694,303,100,3.2441471571906355,96,1
82,304,970,-429305.93383666436,308,107,3.1907894736842106,99,1
83,300,970,-429324.64785372745,300,103,3.2333333333333334,98,1
84,297,970,-428625.6425129905,292,88,3.265993265993266,95,1
85,299,970,-430005.5880211118,299,102,3.2441471571906355,100,1
86,293,970,-429239.288483948,304,91,3.310580204778157,91,1
87,300,970,-429004.035431632,315,96,3.2333333333333334,98,1
88,302,970,-428591.45304354024,306,105,3.2119205298013247,94,1
89,299,970,-429015.2861397542,298,93,3.2441471571906355,97,1
90,301,970,-430026.7177870101,314,90,3.222591362126246,95,1
91,291,970,-429319.73044740775,283,88,3.3333333333333335,96,1
92,297,970,-428801.50291466,288,90,3.265993265993266,96,1
93,299,970,-429484.5945607309,287,92,3.2441471571906355,96,1
94,298,970,-429232.80305920483,293,90,3.2550335570469797,97,1
95,300,970,-429074.22177606705,298,90,3.2333333333333334,90,1
96,298,970,-428652.664076956,303,96,3.2550335570469797,90,1
97,299,970,-428512.6423373641,283,95,3.2441471571906355,93,1
98,299,970,-428710.6439623786,289,91,3.2441471571906355,86,1
99,300,970,-427474.8950782734,306,99,3.2333333333333334,90,1
100,299,970,-428922.68787591445,303,91,3.2441471571906355,96,1
101,289,970,-429619.43434618495,292,79,3.356401384083045,92,1
102,294,970,-428997.5948240059,286,90,3.2993197278911564,91,1
103,295,970,-428697.6909641028,294,93,3.288135593220339,91,1
104,299,970,-428298.09782892955,300,95,3.2441471571906355,91,1
105,299,970,-428700.901170334,286,94,3.2441471571906355,92,1
106,297,970,-428153.2232031879,306,104,3.265993265993266,90,1
107,307,970,-427774.8449538458,311,114,3.1596091205211727,92,1
