node_id,eta,gamma,depth,alpha,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.02,0.05,3,0.1,0,970,5,"method, model, use, element, propose",5,0.013885924146951547,0.48573015805465874,-0.6050166986005818,155
1,0.02,0.05,3,0.1,1,355,5,"model, data, computational, approach, use",5,0.01117815916039253,0.5618453250868527,-0.8324951460497013,155
10,0.02,0.05,3,0.1,2,10,5,"time, scheme, integration, explicit, oscillation",5,0.09923250999186824,0.5817294489437972,-2.3964625301969376,155
322,0.02,0.05,3,0.1,1,6,5,"mass, matrix, order, formulation, superconvergent",5,0.18648334904158045,0.6471175119178113,-2.1469842542441713,155
75,0.02,0.05,3,0.1,2,5,5,"cell, quadrature, integration, moment, pressure",5,-0.034407968980457365,0.4898812219721491,-4.549483453637412,155
2,0.02,0.05,3,0.1,2,17,5,"contact, formulation, mortar, friction, mesh",5,0.00918507491261206,0.5203361161449662,-2.1571718067876016,155
50,0.02,0.05,3,0.1,2,7,5,"process, predict, part, additive, manufacturing",5,0.3140228162013693,0.7400788989107789,-1.7541919140249107,155
3,0.02,0.05,3,0.1,2,84,5,"material, model, microstructure, crack, composite",5,0.08298374472739174,0.6476930044046936,-1.919899321827673,155
3143,0.02,0.05,3,0.1,2,2,5,"mesh, dual, material, standard, use",5,0.014221019448341693,0.427575448937631,-1.3254601064116547,155
631,0.02,0.05,3,0.1,2,13,5,"crack, xfem, pd, fracture, tip",5,0.27009932737898346,0.7997977767229216,-1.6865968478463595,155
1076,0.02,0.05,3,0.1,2,3,5,"surface, peridynamic, theory, nonlocal, bulk",5,0.19433166773766997,0.562177245248624,-2.635432301427434,155
76,0.02,0.05,3,0.1,2,8,5,"process, material, manufacturing, additive, manufacture",5,0.28089898089772625,0.7031964403483639,-1.9830783219758223,155
552,0.02,0.05,3,0.1,2,8,5,"kernel, formulation, approximation, shock, reproduce",5,0.14484340199252366,0.7525664944679121,-2.2165657967575214,155
197,0.02,0.05,3,0.1,2,5,5,"flow, simulation, framework, navierstokes, turbulent",5,0.17897255321598177,0.48847082283758586,-2.4439822862429317,155
125,0.02,0.05,3,0.1,2,3,5,"mesh, element, cisamr, structure, conform",5,0.1814717704443944,0.6398419673028262,-2.087689071154346,155
250,0.02,0.05,3,0.1,2,6,5,"isogeometric, contact, lr, nurbs, refinement",5,0.21461931660149394,0.7265304299194822,-2.156399404608144,155
81,0.02,0.05,3,0.1,1,15,5,"instability, membrane, symmetry, thin, mode",5,0.2266682039959306,0.5729723773916843,-1.8861929572436538,155
168,0.02,0.05,3,0.1,2,15,5,"fracture, model, damage, phasefield, crack",5,0.19350756522825002,0.7566341396180858,-1.356631442903063,155
