depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.02,0.1,0,0,,5.153913187479968,970,1435,48591,
3,0.05,0.02,0.1,1,1,,4.7402719501220725,355,1296,2657,
3,0.05,0.02,0.1,1,322,,3.0462552792630344,6,186,163,
3,0.05,0.02,0.1,1,14,,3.1682756403663106,17,406,189,
3,0.05,0.02,0.1,1,2777,,2.6754249737861335,5,143,28,
3,0.05,0.02,0.1,1,7831,,2.749934288044179,11,322,79,
3,0.05,0.02,0.1,1,13817,,3.076666445516562,13,377,134,
3,0.05,0.02,0.1,1,25,,2.9986928462991322,16,348,122,
3,0.05,0.02,0.1,1,862,,3.462335280435534,23,508,107,
3,0.05,0.02,0.1,1,81,,3.1506548561598304,15,306,72,
3,0.05,0.02,0.1,1,14139,,3.032694978736177,14,295,41,
3,0.05,0.02,0.1,1,9042,,3.1788704902545013,7,191,35,
3,0.05,0.02,0.1,1,8833,,3.0637370026680477,16,330,68,
3,0.05,0.02,0.1,1,4313,,3.063044721574288,9,308,76,
3,0.05,0.02,0.1,1,59,,3.5093165197590626,17,388,110,
3,0.05,0.02,0.1,1,7837,,3.256431951702875,13,418,98,
3,0.05,0.02,0.1,1,8065,,3.123090436384675,9,313,77,
3,0.05,0.02,0.1,1,9641,,3.1436205666626957,10,314,93,
3,0.05,0.02,0.1,1,5112,,2.8938379658726507,2,103,34,
3,0.05,0.02,0.1,1,101,,3.6150010767264624,33,603,264,
3,0.05,0.02,0.1,1,13447,,2.7432767382755956,11,319,43,
3,0.05,0.02,0.1,1,19834,,2.5494451709255714,6,194,32,
3,0.05,0.02,0.1,1,14501,,3.449987545831588,12,341,84,
3,0.05,0.02,0.1,1,4501,,2.6679589336879075,6,217,37,
3,0.05,0.02,0.1,1,51,,3.5168416116963357,11,324,249,
3,0.05,0.02,0.1,1,843,,3.3921054019670076,6,209,67,
3,0.05,0.02,0.1,1,9871,,2.7318775371827675,7,272,38,
3,0.05,0.02,0.1,1,7290,,3.8172376048466363,12,326,117,
3,0.05,0.02,0.1,1,297,,2.833213344056216,7,241,34,
3,0.05,0.02,0.1,1,369,,3.4777804224157816,15,310,69,
3,0.05,0.02,0.1,1,9068,,3.3417706018172737,14,388,107,
3,0.05,0.02,0.1,1,20203,,1.3862943611198906,5,147,4,
3,0.05,0.02,0.1,1,5332,,3.5536393466300065,9,258,141,
3,0.05,0.02,0.1,1,3978,,2.60257134925112,10,311,65,
3,0.05,0.02,0.1,1,19454,,2.7320973608850445,3,157,44,
3,0.05,0.02,0.1,1,13277,,2.9844928769182997,7,203,41,
3,0.05,0.02,0.1,1,7293,,2.7014557353769297,7,172,46,
3,0.05,0.02,0.1,1,16747,,2.870169050578646,5,186,21,
3,0.05,0.02,0.1,1,1417,,2.6632817895793264,10,234,31,
3,0.05,0.02,0.1,1,19875,,2.8844378813054123,2,74,83,
3,0.05,0.02,0.1,1,1262,,3.4249206548024826,6,199,77,
