iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,242,970,-426159.4198116097,0,0,4.008264462809917,20,1
1,249,970,-425952.9490013984,262,52,3.895582329317269,16,1
2,251,970,-426349.91742840834,282,53,3.864541832669323,17,1
3,254,970,-425992.7906853051,259,56,3.8188976377952755,18,1
4,256,970,-426191.00919509435,256,58,3.7890625,20,1
5,254,970,-425952.4977995717,276,55,3.8188976377952755,19,1
6,256,970,-424939.2460565893,269,51,3.7890625,19,1
7,259,970,-425690.0559900403,257,61,3.7451737451737452,16,1
8,242,970,-425858.19896685943,270,44,4.008264462809917,15,1
9,252,970,-425464.5678744383,252,51,3.8492063492063493,16,1
10,250,970,-425524.16618919035,274,56,3.88,18,1
11,259,970,-423822.0945755181,261,55,3.7451737451737452,16,1
12,254,970,-424579.8696568854,259,56,3.8188976377952755,15,1
13,242,970,-425301.8033763741,264,39,4.008264462809917,17,1
14,250,970,-425569.6327324266,243,48,3.88,18,1
15,238,970,-425766.5545645655,246,39,4.07563025210084,16,1
16,255,970,-425129.02746306267,250,49,3.803921568627451,17,1
17,247,970,-426189.05353403336,249,46,3.9271255060728745,15,1
18,254,970,-424298.0094757836,250,46,3.8188976377952755,14,1
19,250,970,-424870.22367972863,259,48,3.88,17,1
20,266,970,-424073.31348416663,274,61,3.6466165413533833,16,1
21,261,970,-425001.8067507395,273,53,3.7164750957854404,16,1
22,257,970,-424949.54616311,277,50,3.77431906614786,15,1
23,260,970,-424302.7044057485,272,57,3.730769230769231,16,1
24,266,970,-423244.2413292595,266,59,3.6466165413533833,15,1
25,254,970,-425275.80825682235,266,46,3.8188976377952755,18,1
26,251,970,-425076.48350866395,258,47,3.864541832669323,16,1
27,250,970,-425349.4402948672,264,44,3.88,17,1
28,250,970,-424954.3822209901,256,39,3.88,15,1
29,252,970,-425198.83053877356,265,47,3.8492063492063493,16,1
30,254,970,-424163.22600314487,253,52,3.8188976377952755,16,1
31,259,970,-424474.6876833672,262,61,3.7451737451737452,14,1
32,255,970,-424569.25091334805,266,49,3.803921568627451,15,1
33,253,970,-424684.13080072374,255,50,3.83399209486166,16,1
34,248,970,-424637.54396376456,252,48,3.911290322580645,17,1
35,265,970,-423334.96862149227,263,59,3.660377358490566,17,1
36,259,970,-424394.96836415195,263,53,3.7451737451737452,16,1
37,252,970,-423861.641509433,263,48,3.8492063492063493,15,1
38,248,970,-424934.42542146356,244,46,3.911290322580645,16,1
39,252,970,-424797.46200277115,253,46,3.8492063492063493,15,1
40,247,970,-425251.3933787314,250,47,3.9271255060728745,17,1
41,249,970,-425091.10423352587,270,49,3.895582329317269,14,1
42,252,970,-424548.0728242634,258,48,3.8492063492063493,17,1
43,252,970,-425038.5873444435,256,51,3.8492063492063493,22,1
44,248,970,-423935.99948399205,237,43,3.911290322580645,18,1
45,249,970,-424680.8147239275,251,51,3.895582329317269,16,1
46,267,970,-423175.26075340295,266,56,3.6329588014981273,15,1
47,257,970,-424843.11151410657,257,46,3.77431906614786,16,1
48,253,970,-424585.19170634745,259,52,3.83399209486166,16,1
49,249,970,-424122.695213294,245,48,3.895582329317269,16,1
50,251,970,-425029.17388506606,245,52,3.864541832669323,16,1
51,249,970,-424569.20620482625,269,52,3.895582329317269,15,1
52,254,970,-424492.84246725,267,53,3.8188976377952755,16,1
53,245,970,-425129.5536277582,265,44,3.9591836734693877,16,1
54,255,970,-424098.24812541984,275,49,3.803921568627451,14,1
55,251,970,-424557.7589662941,270,45,3.864541832669323,18,1
56,244,970,-424198.17721024336,254,39,3.9754098360655736,17,1
57,249,970,-424303.45101017976,258,47,3.895582329317269,17,1
58,253,970,-425553.3596980691,261,47,3.83399209486166,21,1
59,254,970,-424249.54975845426,256,58,3.8188976377952755,15,1
60,258,970,-423896.30795916246,262,56,3.75968992248062,16,1
61,259,970,-423054.8782006075,232,51,3.7451737451737452,17,1
62,249,970,-424474.93094698444,257,46,3.895582329317269,16,1
63,243,970,-425586.8148351441,256,44,3.9917695473251027,16,1
64,243,970,-425696.8115853417,267,53,3.9917695473251027,16,1
65,248,970,-425474.2780535506,262,53,3.911290322580645,17,1
66,247,970,-425335.0145098285,255,48,3.9271255060728745,20,1
67,259,970,-424745.5206912938,262,56,3.7451737451737452,17,1
68,254,970,-424792.3735640416,261,50,3.8188976377952755,15,1
69,258,970,-424116.3754953014,244,52,3.75968992248062,16,1
70,259,970,-424423.60602939426,250,52,3.7451737451737452,15,1
71,249,970,-424170.2393497347,262,48,3.895582329317269,14,1
72,242,970,-425150.1470062099,248,41,4.008264462809917,16,1
73,246,970,-424633.2618579361,251,48,3.9430894308943087,19,1
74,252,970,-423839.1451547016,254,46,3.8492063492063493,16,1
75,251,970,-424585.61094123736,257,48,3.864541832669323,15,1
76,251,970,-424740.7893468376,257,51,3.864541832669323,14,1
77,253,970,-424393.05928234366,237,47,3.83399209486166,17,1
78,259,970,-422983.9176613099,255,64,3.7451737451737452,18,1
79,263,970,-423152.09200194495,258,54,3.688212927756654,15,1
80,259,970,-423065.84066025104,262,46,3.7451737451737452,16,1
81,262,970,-422750.3839704851,248,50,3.7022900763358777,16,1
82,260,970,-423225.03631382505,242,55,3.730769230769231,15,1
83,258,970,-422633.565782188,252,51,3.75968992248062,15,1
84,258,970,-423523.9270961262,261,57,3.75968992248062,16,1
85,256,970,-423602.7989684018,265,50,3.7890625,17,1
86,255,970,-423460.3695554255,258,46,3.803921568627451,15,1
87,260,970,-422783.3636511138,242,47,3.730769230769231,15,1
88,250,970,-424631.73992633057,241,45,3.88,16,1
89,247,970,-423988.2753390118,253,44,3.9271255060728745,16,1
90,252,970,-423760.82877766516,258,51,3.8492063492063493,16,1
