node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.982843255577173,792,1490,0.5315436241610738,0.05,2.0,90,970,0,,"[1,101,59,57,81,330,2199,862,369,1262,1725,4870,843,14,6938,12610,11083,13814,62,322,6674,3855,5850,16031,1571,16522,2512,9504,51,15392,16412,297,17713,25,6316,18733,10315,18560,18747,12413,10508,18903,18958,17921,18818,11928,4755,5,13136,19589,18953,18738,19730,15721,19869]",55
1,4.840385975577815,378,1490,0.2536912751677852,0.05,2.0,90,359,1,0.0,"[2,3,4,10,29,39,50,75,76,125,148,168,174,178,181,183,197,232,241,622,631,645,660,1634,1874,2213,3143,3959,4818,8906,9101,10407,11992,18623,18979,19417,19532,19550,19634,19692,19702,19707,19814,19874,19879,19882,19889,19892,19903,19907,19908,19912,19913]",53
10,4.641139861017746,141,1490,0.0946308724832214,0.05,2.0,90,12,2,1.0,,0
241,4.47698070401328,89,1490,0.059731543624161,0.05,2.0,90,9,2,1.0,,0
13696,4.413956906365575,105,1490,0.0704697986577181,0.05,2.0,90,9,2,843.0,,0
12863,4.551991510043041,50,1490,0.0335570469798657,0.05,2.0,90,6,2,1262.0,,0
6368,4.291401145662524,84,1490,0.0563758389261744,0.05,2.0,90,6,2,843.0,,0
76,4.505865707007307,143,1490,0.0959731543624161,0.05,2.0,90,10,2,1.0,,0
3,5.019601597112296,385,1490,0.2583892617449664,0.05,2.0,90,52,2,1.0,,0
10508,4.713892025154645,55,1490,0.0369127516778523,0.05,2.0,90,5,1,0.0,[19253],1
59,4.730639822576689,31,1490,0.0208053691275167,0.05,2.0,90,15,1,0.0,"[452,552,19871]",3
552,4.419552972162472,111,1490,0.074496644295302,0.05,2.0,90,10,2,59.0,,0
3143,4.530447048084658,45,1490,0.0302013422818791,0.05,2.0,90,3,2,1.0,,0
3959,4.269286720384677,83,1490,0.0557046979865771,0.05,2.0,90,8,2,1.0,,0
2512,4.8821301163034745,32,1490,0.021476510067114,0.05,2.0,90,15,1,0.0,"[16716,19174,19877,19897]",4
622,4.560959542564738,67,1490,0.0449664429530201,0.05,2.0,90,4,2,1.0,,0
125,4.075771112155966,108,1490,0.07248322147651,0.05,2.0,90,7,2,1.0,,0
81,4.557982924104133,47,1490,0.0315436241610738,0.05,2.0,90,14,1,0.0,"[1773,19596,19775,19858,19896,19898]",6
843,3.969484798249929,79,1490,0.0530201342281879,0.05,2.0,90,20,1,0.0,"[6368,13696,15704,19297,19884]",5
168,4.056211848161905,130,1490,0.087248322147651,0.05,2.0,90,13,2,1.0,,0
183,4.109148810653782,115,1490,0.0771812080536912,0.05,2.0,90,7,2,1.0,,0
660,4.186915750559498,129,1490,0.0865771812080536,0.05,2.0,90,17,2,1.0,,0
5850,4.16862033624797,53,1490,0.0355704697986577,0.05,2.0,90,10,1,0.0,"[16000,19218,19855]",3
