node_id,eta,gamma,depth,alpha,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,global_npmi,global_c_v,global_u_mass,iteration,layer,document_count
0,0.1,0.05,3,0.1,5,"method, model, element, use, numerical",5,-0.0013048143255487,0.4947950240613893,-0.5698949863141618,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,0,970
1,0.1,0.05,3,0.1,5,"model, method, use, computational, approach",5,-0.0194710992781416,0.5041310533939715,-0.83528391448554,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,498
2,0.1,0.05,3,0.1,5,"contact, surface, mortar, friction, constraint",5,0.1004276367047247,0.6595642271125118,-2.1465911204153847,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,19
3,0.1,0.05,3,0.1,5,"material, model, crack, microstructure, composite",5,0.0829837447273917,0.6476930044046936,-1.9674839123146697,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,118
4,0.1,0.05,3,0.1,5,"sph, particle, smooth, simulation, surface",5,0.1439041091934557,0.7427092477281385,-1.0108931870281592,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,8
5,0.1,0.05,3,0.1,5,"multiscale, response, number, macroscale, macroscopic",5,0.0534342833096529,0.5809311592295814,-2.135654247902867,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,11
10,0.1,0.05,3,0.1,5,"time, integration, scheme, explicit, step",5,0.2327328258423396,0.5788952810825263,-1.7690967918769729,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,13
14,0.1,0.05,3,0.1,5,"rotation, beam, formulation, vector, kirchhofflove",5,-0.0185653144316779,0.4436276299248992,-2.323619261296888,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,14
25,0.1,0.05,3,0.1,5,"fiber, orientation, volume, effective, use",5,0.1058624668721638,0.591389692124199,-1.2303372877690737,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,11
29,0.1,0.05,3,0.1,5,"model, covid, uncertainty, bayesian, new",5,0.0572280151475885,0.6299097802259911,-2.080521646522974,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,14
39,0.1,0.05,3,0.1,5,"optimization, topology, two, design, shape",5,0.1631183491302997,0.5485261690107979,-1.397964762265291,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,15
45,0.1,0.05,3,0.1,5,"particle, infection, microstructure, population, provide",5,-0.083053607941925,0.4496519322831589,-6.180264336472282,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,5
50,0.1,0.05,3,0.1,5,"predict, process, residual, part, stress",5,0.2001863268774495,0.6538137499517426,-1.645078741610687,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,7
51,0.1,0.05,3,0.1,5,"element, shell, stress, additional, warp",5,0.0835527974428834,0.5644821180435095,-2.7085424211204856,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,20
57,0.1,0.05,3,0.1,5,"time, implicit, thermal, heat, plastic",5,0.0537272879955151,0.8153917808927206,-2.2163936231192247,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,16
59,0.1,0.05,3,0.1,5,"shell, cylinder, separate, impose, reissnermindlin",5,-0.1616854725742635,0.594071936573699,-4.689524798584403,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,16
62,0.1,0.05,3,0.1,5,"model, viscosity, drug, tissue, simulation",5,-0.0312436201409254,0.4570357796289231,-4.299016548970732,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,20
68,0.1,0.05,3,0.1,5,"heart, model, couple, cardiac, human",5,0.155680544765604,0.7274890889213828,-2.36400971893397,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,6
73,0.1,0.05,3,0.1,5,"artery, path, appl, mech, eng",5,-0.1614300332260432,0.5263116304927905,-1.9586134284599088,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,9
75,0.1,0.05,3,0.1,5,"method, cell, integration, domain, quadrature",5,0.116333111192026,0.5058442687373571,-2.2306422907782677,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,14
76,0.1,0.05,3,0.1,5,"process, material, manufacturing, zss, complex",5,0.1285378249515294,0.5060521540939222,-1.757610654438027,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,7
81,0.1,0.05,3,0.1,5,"membrane, symmetry, instability, thin, group",5,0.1631377270794618,0.723865209642345,-2.1144311956367066,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,17
101,0.1,0.05,3,0.1,5,"process, powder, experimental, surface, particle",5,0.0069929308274449,0.6063907650288195,-1.7046058366844303,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,25
125,0.1,0.05,3,0.1,5,"mesh, element, structure, crack, cisamr",5,0.0005735933394449,0.5283599329383055,-2.6815749102191537,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,8
148,0.1,0.05,3,0.1,5,"spacetime, algorithm, time, enrichment, matrix",5,0.0592335344593017,0.4246737511302444,-2.049998545420672,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,7
168,0.1,0.05,3,0.1,5,"fracture, damage, model, crack, phasefield",5,0.19350756522825,0.7566341396180859,-1.235056656345326,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,14
174,0.1,0.05,3,0.1,5,"element, rotation, computation, shell, mechanism",5,-0.0846985580043343,0.3320840787828477,-2.813336948648008,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,9
178,0.1,0.05,3,0.1,5,"contact, body, local, interaction, rigid",5,0.143518533108659,0.6105645130348718,-2.315717822354408,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,6
181,0.1,0.05,3,0.1,5,"cluster, interaction, reduce, water, property",5,-0.0917378362755391,0.46034494449183,-4.069516841866129,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,6
183,0.1,0.05,3,0.1,5,"equation, fractional, diffusion, differential, derivative",5,0.3616287824981468,0.8572996004262823,-1.6950750988316985,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,13
197,0.1,0.05,3,0.1,5,"flow, simulation, framework, fluid, compressible",5,0.1105107341176058,0.5677641190480611,-2.256809030188533,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,9
206,0.1,0.05,3,0.1,5,"element, displacement, rotation, stress, plate",5,0.0448960091960635,0.5393620690736645,-2.090179137905479,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,8
232,0.1,0.05,3,0.1,5,"function, kernel, boundary, approximation, stabilizer",5,-0.1563025191377086,0.4457129540955381,-11.191679156100976,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,16
241,0.1,0.05,3,0.1,5,"dynamic, fluid, framework, crack, interaction",5,-0.0148035602644354,0.4492602796945459,-4.140471740081304,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,9
250,0.1,0.05,3,0.1,5,"isogeometric, surface, nurbs, subdivision, lr",5,0.1896268370038113,0.6406356262058294,-4.849965164719778,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,11
260,0.1,0.05,3,0.1,5,"crack, mesh, function, shape, fracture",5,0.0264023366883349,0.4454309682948878,-1.6836891230265765,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,10
297,0.1,0.05,3,0.1,5,"cardiac, mechanism, lead, part, even",5,-0.1095924862172227,0.382007589155915,-2.1153871664105504,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,10
322,0.1,0.05,3,0.1,5,"matrix, mass, shell, outofplane, order",5,-0.1059683758482596,0.2576403092939115,-4.693346920156639,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,15
330,0.1,0.05,3,0.1,5,"imperfection, defect, geometric, response, possible",5,0.2639970237355692,0.6409280417354137,-1.603005017648473,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,10
369,0.1,0.05,3,0.1,5,"frequency, acoustic, band, complex, reducedorder",5,0.0939149437651808,0.6420227282709463,-2.206919697839412,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,23
415,0.1,0.05,3,0.1,5,"enrichment, function, globallocal, local, gxfem",5,0.3423544393025865,0.8292143875088523,-2.1858333925967384,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,6
452,0.1,0.05,3,0.1,5,"shell, function, rkpm, kernel, meshfree",5,0.2184881165513359,0.7303689766104987,-2.174488575514076,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,5
516,0.1,0.05,3,0.1,5,"fracture, crack, anisotropic, energy, model",5,0.123011753750417,0.6896956260030989,-1.028794710867638,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,8
552,0.1,0.05,3,0.1,5,"kernel, shock, reproduce, galerkin, approximation",5,0.1457786538239614,0.8209298810578053,-1.4913951360967164,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,10
622,0.1,0.05,3,0.1,5,"flow, turbine, st, signal, identification",5,-0.2384777138686568,0.1778412487585458,-14.999546072872096,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,4
631,0.1,0.05,3,0.1,5,"crack, fracture, pd, xfem, meshfree",5,0.1724632774439013,0.6259691620741948,-2.40948258803659,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,18
645,0.1,0.05,3,0.1,5,"mode, element, modal, displacement, static",5,0.1214967486096993,0.6541441875080931,-1.910425779546552,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,10
660,0.1,0.05,3,0.1,5,"homogenization, microscopic, macroscopic, multiscale, fe",5,0.1784032329731091,0.8049473197184586,-1.5029627239976855,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,17
662,0.1,0.05,3,0.1,5,"element, mesh, tetrahedral, hexahedral, linear",5,0.2349693084811804,0.6230342753928628,-2.343651812384532,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,7
719,0.1,0.05,3,0.1,5,"comput, et, eng, al, mech",5,0.7414413740885185,0.9899769797300516,-0.3316541646989686,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,9
826,0.1,0.05,3,0.1,5,"flow, multibody, dynamic, uncertainty, system",5,-0.0179851807474,0.3820930940098336,-4.259580516758154,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,5
843,0.1,0.05,3,0.1,5,"damage, nonlocal, model, crack, local",5,0.113707423653227,0.658929184836552,-1.3839136077138352,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,15
862,0.1,0.05,3,0.1,5,"incompressible, nearly, solution, robustness, convergence",5,0.0140643915341043,0.5777261329680622,-1.6952133528942617,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,24
946,0.1,0.05,3,0.1,5,"strain, localization, plane, plasticity, condition",5,0.2381532591136742,0.7562848117161838,-1.5048722747416292,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,6
1024,0.1,0.05,3,0.1,5,"basis, reduction, error, pod, decomposition",5,0.0830120590810717,0.6430921691438535,-2.002708098840165,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,1,7
1076,0.1,0.05,3,0.1,5,"wave, surface, peridynamic, propagation, effect",5,-0.008463372900249,0.5615709466809229,-1.827097802408213,0.0459918256353223,0.5558725433803908,-2.9908164397653945,175,2,11
