node_id,eta,gamma,depth,alpha,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.1,0.05,3,0.1,0,970,5,"method, element, use, model, problem",5,0.0001708733172972973,0.4710174746795587,-0.6365836689936397,175
1,0.1,0.05,3,0.1,1,541,5,"model, material, use, simulation, fracture",5,0.026143659325688275,0.6060209656676558,-1.4705415951284244,175
2,0.1,0.05,3,0.1,2,89,5,"method, algorithm, time, contact, problem",5,0.013184800627794258,0.43701014446201825,-1.3857058953603327,175
3,0.1,0.05,3,0.1,1,30,5,"process, laser, powder, material, slm",5,0.2400744540023013,0.7563355114455892,-1.914030507733306,175
6,0.1,0.05,3,0.1,1,18,5,"flow, method, mesh, st, computation",5,0.12519132161758217,0.727323894675637,-1.6360876226532877,175
26,0.1,0.05,3,0.1,1,10,5,"plate, shear, support, strain, mixed",5,0.0015864762370444104,0.6581897347609675,-1.9612935063174426,175
28,0.1,0.05,3,0.1,2,6,5,"shell, surface, model, outofplane, stress",5,0.09110945530579041,0.5283464971326512,-1.8955027003682758,175
35,0.1,0.05,3,0.1,1,3,5,"pdes, operator, simulate, transfer, scale",5,-0.0627194472873033,0.5762150447160701,-2.1776980312039322,175
40,0.1,0.05,3,0.1,2,7,5,"predict, part, residual, simulation, build",5,0.14762528696794167,0.5916457652863059,-1.9752163763678983,175
53,0.1,0.05,3,0.1,2,16,5,"damage, crack, energy, fatigue, propose",5,0.08804956715735836,0.6086437325153536,-1.6082922275681721,175
66,0.1,0.05,3,0.1,2,21,5,"model, bayesian, uncertainty, network, prediction",5,0.20118718893302162,0.7042943205424548,-1.9914626134633455,175
67,0.1,0.05,3,0.1,1,10,5,"lattice, boltzmann, conventional, crack, line",5,-0.20534287400243798,0.22633539490616358,-10.69493944997457,175
71,0.1,0.05,3,0.1,2,12,5,"material, stress, data, lattice, crystal",5,0.051261415852876656,0.4883073155312225,-2.69185762044038,175
122,0.1,0.05,3,0.1,2,16,5,"contact, isogeometric, problem, nurbs, mortar",5,0.008905363134157318,0.37502182682413254,-2.4363852953866765,175
129,0.1,0.05,3,0.1,2,10,5,"beam, shear, size, band, theory",5,0.04797825922807717,0.4393956569815886,-4.301721887270011,175
137,0.1,0.05,3,0.1,1,23,5,"cohesive, article, error, original, author",5,-0.17180760844241122,0.2516782846361005,-11.24269657374461,175
143,0.1,0.05,3,0.1,1,10,5,"covid, model, time, number, study",5,-0.048721525854390116,0.5198480922441787,-1.3627912402433697,175
166,0.1,0.05,3,0.1,2,4,5,"fiber, orientation, effective, reinforce, state",5,0.11067401496282248,0.7540524366475011,-1.8634590617024618,175
193,0.1,0.05,3,0.1,2,9,5,"element, mesh, hexahedral, tetrahedral, linear",5,0.2349693084811803,0.6230342753928627,-2.318520369556441,175
214,0.1,0.05,3,0.1,2,22,5,"stress, process, result, model, surface",5,-0.010783352176365337,0.5769411809891329,-1.1718270008188263,175
306,0.1,0.05,3,0.1,2,10,5,"sph, particle, fluid, interaction, framework",5,0.13874477418845832,0.7665167615279473,-1.0982616775645915,175
321,0.1,0.05,3,0.1,2,13,5,"random, structure, uncertainty, frequency, structural",5,0.1372677443505394,0.7571948993746594,-1.847737382266219,175
344,0.1,0.05,3,0.1,2,12,5,"grain, crystal, boundary, orientation, slip",5,0.1326461495807244,0.550937108276231,-1.8427065274180456,175
406,0.1,0.05,3,0.1,2,10,5,"equation, fractional, differential, derivative, solve",5,0.26114009168765173,0.7734220005895929,-1.4264546880501383,175
412,0.1,0.05,3,0.1,1,12,5,"medium, droplet, electrical, process, release",5,0.18185022613665075,0.728979345365482,-2.3244499511089165,175
413,0.1,0.05,3,0.1,2,8,5,"system, stress, multiple, computational, illustrate",5,-0.005233669712435695,0.44856804834540265,-1.9549686060409805,175
445,0.1,0.05,3,0.1,2,7,5,"datadriven, constitutive, data, manifold, database",5,0.23630393000350164,0.6627957967857604,-2.0424954402449536,175
449,0.1,0.05,3,0.1,2,16,5,"et, al, eng, mech, comput",5,0.7414413740885185,0.9899769797300515,-0.41790736154045094,175
463,0.1,0.05,3,0.1,2,14,5,"model, covid, spread, disease, provide",5,0.10802617991439342,0.6575175607833399,-1.8217878043244138,175
481,0.1,0.05,3,0.1,2,8,5,"peridynamic, model, nonlocal, continuum, surface",5,0.14573757726766093,0.6057905554347404,-1.5946763227503664,175
567,0.1,0.05,3,0.1,2,8,5,"interface, composite, interfacial, crack, cohesive",5,0.18931317814606458,0.6759800356271931,-2.0455094239070735,175
581,0.1,0.05,3,0.1,2,6,5,"flow, condition, framework, pod, compressible",5,-0.13804329299992243,0.3624592659187019,-9.262124780300185,175
606,0.1,0.05,3,0.1,1,17,5,"core, angle, assume, rotate, explicit",5,-0.16429626818250392,0.2678048130756541,-4.729429001830361,175
607,0.1,0.05,3,0.1,2,13,5,"rotation, formulation, beam, element, vector",5,0.10016336916551567,0.5722590389512792,-1.5352217617864103,175
627,0.1,0.05,3,0.1,2,20,5,"contact, tire, friction, st, surface",5,0.018412022291122064,0.5612325284656994,-5.909563502731372,175
725,0.1,0.05,3,0.1,1,10,5,"principle, minimization, fluid, deformation, mass",5,0.1184726093228263,0.413785335159406,-2.3220996584530034,175
787,0.1,0.05,3,0.1,2,15,5,"fiber, failure, composite, sensitivity, response",5,0.15769375512921427,0.5529696332347017,-1.826828915266417,175
887,0.1,0.05,3,0.1,2,4,5,"fracture, compression, tension, asymmetric, explicit",5,0.0016553059703601047,0.6989541647769096,-2.484928355150449,175
937,0.1,0.05,3,0.1,1,16,5,"response, diagram, dislocation, strain, phase",5,0.007049052411772461,0.49179635888701956,-4.094046634746747,175
953,0.1,0.05,3,0.1,1,15,5,"model, damage, material, gradient, parameter",5,0.06307243129930126,0.5655099578335517,-1.6599423625123488,175
983,0.1,0.05,3,0.1,1,14,5,"reducedorder, online, procedure, nonlinearities, approximate",5,-0.13893686682225778,0.66610937042295,-1.9113736639302892,175
999,0.1,0.05,3,0.1,2,9,5,"wave, dispersion, periodic, analysis, propagation",5,0.17514185660055037,0.6511848908535339,-1.4194682236705076,175
1046,0.1,0.05,3,0.1,2,9,5,"identification, virtual, field, structural, parameter",5,0.05067196926572598,0.5507495934883899,-1.7784230864439567,175
1246,0.1,0.05,3,0.1,2,8,5,"contact, particle, shape, dem, force",5,0.07596465589208469,0.6311241580619749,-2.245280648279588,175
1249,0.1,0.05,3,0.1,2,8,5,"strain, lock, formulation, solidshell, shell",5,0.15826322957556077,0.8017732284663153,-1.8813093472844582,175
1416,0.1,0.05,3,0.1,2,11,5,"topology, optimization, design, material, approach",5,0.16902528218897178,0.4879232024154557,-0.7665589768558139,175
1429,0.1,0.05,3,0.1,1,9,5,"optimization, topology, design, lattice, thermal",5,0.12912087706945372,0.6542510107753878,-1.9105483947858357,175
1469,0.1,0.05,3,0.1,2,4,5,"pressure, diffusion, fractional, pore, poroelastic",5,0.2698909210906591,0.5770388018256416,-4.89565595052402,175
1471,0.1,0.05,3,0.1,2,10,5,"interface, mechanical, phase, region, transition",5,0.1190774506323764,0.5963960838260375,-2.5202415345152187,175
1490,0.1,0.05,3,0.1,1,16,5,"material, magnetic, data, experimental, relation",5,-0.051744406143598966,0.610543605416533,-2.284838058784205,175
1638,0.1,0.05,3,0.1,1,2,5,"solver, instance, parallel, fluid, together",5,0.05368954870609989,0.7009790114362915,-2.5424281312520938,175
1893,0.1,0.05,3,0.1,2,7,5,"virtual, element, vem, problem, last",5,0.18593848554450618,0.6012618715028919,-2.028605982677155,175
