record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[571, 576, 589, 598, 600, 605, 619, 610, 603, 602, 603, 600, 601, 594, 596, 591, 596, 595, 603, 606, 613]",0.9532161564862724,0.007612704685611794,0.20000000000000004,2.7755575615628914e-17,"[0.9506802721088435, 0.9481605351170569, 0.9523026315789473, 0.9416531604538088, 0.972176759410802, 0.9428571428571428, 0.9507936507936507, 0.9627831715210357, 0.959349593495935, 0.959349593495935, 0.9497568881685575, 0.9560260586319218, 0.9622331691297209, 0.9444444444444444, 0.9587458745874587, 0.9523026315789473, 0.9429037520391517, 0.9479674796747968, 0.9563106796116505, 0.9535256410256411]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[613, 615, 612, 604, 608, 604, 604, 609, 608, 592, 591, 586, 583, 589, 584, 596, 592, 593, 590, 601, 597]",0.9529246612216806,0.009138072343911894,0.20000000000000004,2.7755575615628914e-17,"[0.9554140127388535, 0.9476190476190476, 0.9424920127795527, 0.9485530546623794, 0.9643435980551054, 0.9421221864951769, 0.9470304975922953, 0.9597423510466989, 0.9543973941368078, 0.9586092715231788, 0.9584026622296173, 0.9647058823529412, 0.9565943238731218, 0.9681208053691275, 0.9471947194719472, 0.9475409836065574, 0.96843853820598, 0.9425287356321839, 0.9492635024549918, 0.9353796445880452]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[597, 595, 595, 593, 600, 599, 594, 604, 606, 603, 609, 612, 621, 618, 613, 601, 604, 612, 612, 619, 621]",0.9556689737619566,0.0072781431200369005,0.20000000000000004,2.7755575615628914e-17,"[0.9573070607553367, 0.9636963696369637, 0.9636363636363636, 0.9429967426710097, 0.9591503267973857, 0.9557377049180328, 0.9511400651465798, 0.9391025641025641, 0.9594813614262561, 0.9548387096774194, 0.9598715890850722, 0.9602543720190779, 0.9481132075471698, 0.9508716323296355, 0.9580645161290322, 0.959349593495935, 0.9708265802269044, 0.9584, 0.9477848101265823, 0.952755905511811]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[621, 620, 613, 621, 620, 620, 622, 618, 621, 614, 615, 618, 612, 610, 616, 602, 609, 617, 621, 612, 598]",0.9540687506434754,0.008733960882763412,0.20000000000000004,2.7755575615628914e-17,"[0.9512578616352201, 0.9633757961783439, 0.9618441971383148, 0.9512578616352201, 0.9558359621451105, 0.9589905362776026, 0.96513470681458, 0.945054945054945, 0.9510268562401264, 0.960127591706539, 0.9633757961783439, 0.9462025316455697, 0.945859872611465, 0.9647435897435898, 0.9550561797752809, 0.9563812600969306, 0.946031746031746, 0.9650793650793651, 0.9356357927786499, 0.9391025641025641]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[598, 594, 589, 611, 609, 614, 607, 606, 599, 606, 617, 620, 613, 617, 616, 606, 615, 621, 622, 621, 619]",0.9495486754148009,0.009663375790932831,0.20000000000000004,2.7755575615628914e-17,"[0.935064935064935, 0.9651162790697675, 0.938610662358643, 0.9426751592356688, 0.9599358974358975, 0.9536, 0.9533011272141707, 0.9529983792544571, 0.965742251223491, 0.947452229299363, 0.9358372456964006, 0.9417322834645669, 0.968, 0.9509493670886076, 0.9552, 0.9442675159235668, 0.9373040752351097, 0.9513343799058085, 0.945226917057903, 0.9466248037676609]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,"[619, 623, 617, 634, 632, 631, 626, 626, 624, 620, 622, 628, 629, 634, 646, 649, 646, 643, 645, 639, 650]",0.9536030305350541,0.005662573955273522,0.20000000000000004,2.7755575615628914e-17,"[0.9528301886792453, 0.9620253164556962, 0.9455676516329704, 0.9597523219814241, 0.9460708782742681, 0.9488372093023256, 0.953198127925117, 0.9592476489028213, 0.94679186228482, 0.9467084639498433, 0.9561815336463224, 0.9671361502347418, 0.955108359133127, 0.9512195121951219, 0.9532428355957768, 0.9503012048192772, 0.9559939301972686, 0.9574468085106383, 0.9484066767830045, 0.9559939301972686]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,"[650, 649, 650, 644, 640, 632, 629, 638, 649, 648, 643, 635, 637, 639, 640, 644, 646, 632, 630, 630, 635]",0.9598820277228521,0.00810348034904891,0.20000000000000004,2.7755575615628914e-17,"[0.9504504504504504, 0.9622356495468278, 0.9546827794561934, 0.9573170731707317, 0.9720930232558139, 0.9641744548286605, 0.9735202492211839, 0.958904109589041, 0.9474474474474475, 0.9413533834586466, 0.9571209800918836, 0.9599383667180277, 0.9540581929555896, 0.9616564417177914, 0.9573170731707317, 0.9634703196347032, 0.9661538461538461, 0.9565891472868217, 0.9656786271450858, 0.9734789391575663]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
7,"[635, 633, 639, 639, 642, 639, 640, 645, 640, 635, 640, 638, 649, 645, 642, 640, 636, 637, 642, 645, 651]",0.9526629293116484,0.01073785274750959,0.20000000000000004,2.7755575615628914e-17,"[0.9537750385208013, 0.9419847328244275, 0.9571209800918836, 0.9497716894977168, 0.9647239263803681, 0.9676923076923077, 0.9499241274658573, 0.9558599695585996, 0.9706336939721792, 0.9645608628659477, 0.9305135951661632, 0.9559270516717325, 0.9546827794561934, 0.9411764705882353, 0.9336349924585219, 0.9451219512195121, 0.9645061728395061, 0.9586523736600306, 0.9470499243570348, 0.9459459459459459]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,"[651, 656, 655, 639, 630, 630, 617, 626, 627, 625, 623, 609, 616, 617, 619, 621, 626, 628, 630, 630, 631]",0.9559741870989331,0.009799556553075323,0.20000000000000004,2.7755575615628914e-17,"[0.9654135338345865, 0.9655172413793104, 0.9429429429429429, 0.9493087557603687, 0.9504643962848297, 0.957613814756672, 0.9667721518987342, 0.9396284829721362, 0.9501557632398754, 0.9469578783151326, 0.9617834394904459, 0.9506369426751592, 0.944794952681388, 0.9619047619047619, 0.949685534591195, 0.9793650793650793, 0.9502332814930016, 0.9595015576323987, 0.9595645412130638, 0.9672386895475819]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
9,"[631, 630, 626, 626, 638, 651, 651, 648, 643, 635, 628, 632, 644, 644, 645, 638, 631, 634, 635, 646, 651]",0.960416323650281,0.006908141805446275,0.20000000000000004,2.7755575615628914e-17,"[0.9703125, 0.9594383775351014, 0.9654631083202512, 0.9596899224806201, 0.9559939301972686, 0.9578947368421052, 0.9711684370257967, 0.9709923664122138, 0.9601226993865031, 0.955108359133127, 0.96875, 0.9570552147239264, 0.945619335347432, 0.947129909365559, 0.9647779479326187, 0.9613601236476044, 0.955177743431221, 0.9583333333333334, 0.9647239263803681, 0.959214501510574]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
