iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,2,970,-545915.9271434494,0,0,485.0,969,1
1,47,970,-522879.61086538044,165,45,20.638297872340427,805,1
2,69,970,-514579.82655622787,185,27,14.057971014492754,776,1
3,79,970,-509668.0713044569,194,22,12.278481012658228,749,1
4,88,970,-506137.2977103424,182,24,11.022727272727273,733,1
5,82,970,-504258.0857054579,187,21,11.829268292682928,719,1
6,83,970,-503003.8331963366,188,19,11.686746987951807,704,1
7,80,970,-500432.620418866,226,21,12.125,659,1
8,81,970,-497983.92560502153,215,19,11.975308641975309,647,1
9,84,970,-497578.2071185702,222,19,11.547619047619047,632,1
10,85,970,-494990.19615383906,215,17,11.411764705882353,610,1
11,87,970,-494563.5590673343,230,21,11.149425287356323,585,1
12,89,970,-493420.84569623997,231,17,10.898876404494382,576,1
13,93,970,-492590.14930883946,251,23,10.43010752688172,565,1
14,90,970,-492047.8116997145,240,10,10.777777777777779,556,1
15,93,970,-491991.8635843643,255,25,10.43010752688172,542,1
16,100,970,-491189.98718536657,262,23,9.7,534,1
17,95,970,-490952.41693146114,274,19,10.210526315789474,530,1
18,102,970,-490972.62204193184,256,20,9.509803921568627,531,1
19,94,970,-492060.8537791277,267,15,10.319148936170214,524,1
20,96,970,-491107.4386898077,249,17,10.104166666666666,516,1
21,95,970,-490444.9670159213,278,17,10.210526315789474,499,1
22,93,970,-489857.018741502,281,15,10.43010752688172,489,1
23,91,970,-489476.002034165,273,15,10.659340659340659,493,1
24,89,970,-488367.4153793073,270,13,10.898876404494382,481,1
25,93,970,-488046.5741736049,277,23,10.43010752688172,487,1
26,93,970,-488533.2910580823,283,16,10.43010752688172,471,1
27,101,970,-487880.28279029316,288,23,9.603960396039604,471,1
28,94,970,-488217.90421822685,263,17,10.319148936170214,468,1
29,97,970,-488610.6854688505,266,20,10.0,465,1
30,96,970,-487525.6815935882,285,15,10.104166666666666,445,1
31,99,970,-486524.1132521895,286,24,9.797979797979798,441,1
32,96,970,-486991.21950495226,285,14,10.104166666666666,442,1
33,108,970,-486126.85482353106,283,28,8.981481481481481,452,1
34,104,970,-486251.8825338287,273,16,9.326923076923077,460,1
35,98,970,-486175.5951075154,257,23,9.89795918367347,437,1
36,103,970,-485824.80761698633,271,21,9.41747572815534,436,1
37,97,970,-485613.1854956849,265,20,10.0,435,1
38,108,970,-486307.8020905925,275,28,8.981481481481481,427,1
39,103,970,-485416.57534245745,292,16,9.41747572815534,425,1
40,107,970,-486013.6228863635,271,22,9.065420560747663,428,1
41,102,970,-485264.3466275039,269,18,9.509803921568627,409,1
42,102,970,-484295.1378796882,267,22,9.509803921568627,413,1
43,96,970,-485241.17076022504,269,11,10.104166666666666,412,1
44,99,970,-484307.0174234247,281,19,9.797979797979798,386,1
45,98,970,-484323.10363158054,293,16,9.89795918367347,389,1
46,96,970,-483580.6073870671,278,15,10.104166666666666,391,1
47,100,970,-483666.6211640705,288,27,9.7,379,1
48,109,970,-483653.7588541389,285,27,8.899082568807339,386,1
49,105,970,-483995.9318690249,283,19,9.238095238095237,383,1
50,106,970,-482972.2601732047,297,22,9.150943396226415,369,1
51,104,970,-481608.37041992,296,23,9.326923076923077,365,1
52,107,970,-481014.52664078615,291,19,9.065420560747663,354,1
53,112,970,-479148.7460537269,292,22,8.660714285714286,351,1
54,115,970,-480899.84378462494,292,18,8.434782608695652,358,1
55,111,970,-480386.7175817794,292,18,8.73873873873874,351,1
56,107,970,-480671.54288466094,279,17,9.065420560747663,355,1
57,106,970,-480069.2603446397,274,24,9.150943396226415,345,1
58,109,970,-479847.7494980945,266,20,8.899082568807339,344,1
59,105,970,-479716.58940859203,263,19,9.238095238095237,353,1
60,109,970,-479389.2171674881,257,22,8.899082568807339,349,1
61,109,970,-479363.23574618873,253,20,8.899082568807339,350,1
62,108,970,-479940.5461401193,267,17,8.981481481481481,344,1
63,99,970,-480072.00382411375,269,16,9.797979797979798,342,1
64,106,970,-478020.97088029096,271,20,9.150943396226415,336,1
65,98,970,-479490.0059707895,270,15,9.89795918367347,335,1
66,103,970,-478471.06461487926,264,22,9.41747572815534,332,1
67,105,970,-478880.1057920412,278,18,9.238095238095237,336,1
68,107,970,-478070.3092503148,275,21,9.065420560747663,323,1
69,113,970,-478115.73994020943,283,24,8.584070796460177,326,1
70,113,970,-477606.18607290066,261,21,8.584070796460177,332,1
71,104,970,-477904.3126091614,267,17,9.326923076923077,323,1
72,106,970,-477516.7985267427,262,17,9.150943396226415,322,1
73,111,970,-477602.8287584098,264,24,8.73873873873874,327,1
74,112,970,-477283.08426129754,265,23,8.660714285714286,324,1
75,106,970,-477034.3265636343,260,17,9.150943396226415,316,1
76,113,970,-477548.27236389904,255,25,8.584070796460177,317,1
77,111,970,-476652.05208130664,260,17,8.73873873873874,313,1
78,114,970,-477390.0675760665,272,25,8.508771929824562,307,1
79,107,970,-477184.40765798633,277,18,9.065420560747663,298,1
80,104,970,-477101.43815540336,269,18,9.326923076923077,293,1
81,111,970,-476269.6012203062,281,17,8.73873873873874,292,1
82,115,970,-476512.23922997946,268,25,8.434782608695652,298,1
83,116,970,-476563.74392958137,279,22,8.362068965517242,294,1
84,120,970,-476490.92552964546,293,25,8.083333333333334,289,1
85,115,970,-477134.8776895923,284,18,8.434782608695652,297,1
86,111,970,-475675.5127454174,302,19,8.73873873873874,282,1
87,114,970,-475859.6170669532,283,17,8.508771929824562,292,1
88,110,970,-475683.2700205885,289,14,8.818181818181818,292,1
89,118,970,-474770.4930598751,281,19,8.220338983050848,278,1
90,117,970,-474423.7963852299,276,17,8.290598290598291,282,1
91,119,970,-474370.3219055186,284,19,8.15126050420168,275,1
92,116,970,-474708.8592909858,277,21,8.362068965517242,286,1
93,108,970,-474510.3231356874,264,12,8.981481481481481,284,1
94,113,970,-474696.1513915541,272,22,8.584070796460177,289,1
95,116,970,-475632.95498135255,269,19,8.362068965517242,283,1
96,111,970,-473942.8640992829,263,20,8.73873873873874,266,1
97,120,970,-474247.14259375836,288,21,8.083333333333334,274,1
98,122,970,-473483.1764554169,287,22,7.950819672131147,274,1
99,116,970,-475282.74250167253,276,18,8.362068965517242,275,1
100,115,970,-473415.94144757994,267,19,8.434782608695652,271,1
101,118,970,-474197.0554078508,263,24,8.220338983050848,270,1
102,116,970,-473595.88897207024,259,12,8.362068965517242,256,1
103,114,970,-473795.79057705763,260,22,8.508771929824562,259,1
104,117,970,-473192.8083352818,258,18,8.290598290598291,258,1
105,116,970,-473158.5531791986,265,22,8.362068965517242,260,1
106,111,970,-473491.6551831336,259,14,8.73873873873874,264,1
107,123,970,-472602.2009813538,252,27,7.8861788617886175,261,1
108,121,970,-472214.046656093,266,20,8.016528925619834,253,1
109,117,970,-472854.06327429693,263,23,8.290598290598291,259,1
110,120,970,-471771.3908952842,282,24,8.083333333333334,245,1
111,118,970,-472571.5660538284,269,19,8.220338983050848,255,1
112,111,970,-473522.1076363295,260,17,8.73873873873874,251,1
113,113,970,-472248.6613200029,247,21,8.584070796460177,256,1
114,116,970,-472219.53897298046,257,15,8.362068965517242,245,1
115,110,970,-472696.69908555696,248,12,8.818181818181818,247,1
116,119,970,-471580.9035974794,261,20,8.15126050420168,253,1
117,122,970,-473069.21411186195,268,22,7.950819672131147,253,1
118,115,970,-473016.38855624676,260,19,8.434782608695652,252,1
119,111,970,-472995.6265823424,266,16,8.73873873873874,251,1
120,106,970,-472492.3285757429,245,14,9.150943396226415,249,1
121,113,970,-473030.4634712179,255,21,8.584070796460177,251,1
122,117,970,-471660.42761659774,261,20,8.290598290598291,244,1
123,118,970,-471952.045237184,272,18,8.220338983050848,242,1
124,126,970,-470562.1181621441,272,24,7.698412698412699,241,1
125,116,970,-470717.78135989315,259,13,8.362068965517242,237,1
126,116,970,-470677.89380330645,249,14,8.362068965517242,237,1
127,122,970,-471154.38565891125,268,26,7.950819672131147,241,1
128,123,970,-470741.30153533205,277,20,7.8861788617886175,235,1
129,117,970,-472115.0357077724,258,11,8.290598290598291,235,1
