alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,simple_avg_js_distance_count,weighted_avg_js_distance_mean,weighted_avg_js_distance_std,weighted_avg_js_distance_count,median_js_distance_mean,median_js_distance_std,pair_count_mean
0.01,0.0,1.0,0.627463,0.003336,3,0.537348,0.035897,3,0.632004,0.005475,63.333333
0.01,1.0,2.0,0.575161,0.008303,3,0.604185,0.004867,3,0.579047,0.00783,242.666667
0.05,0.0,1.0,0.63029,0.003231,3,0.593759,0.015757,3,0.63203,0.006151,60.666667
0.05,1.0,2.0,0.575761,0.01009,3,0.611926,0.004794,3,0.578211,0.010186,237.0
0.1,0.0,1.0,0.646088,0.003054,3,0.624739,0.016338,3,0.646802,0.003719,58.666667
0.1,1.0,2.0,0.599546,0.000813,3,0.629205,0.008881,3,0.603305,0.00133,252.333333
0.2,0.0,1.0,0.653617,0.001875,3,0.627687,0.025405,3,0.653718,0.002848,72.0
0.2,1.0,2.0,0.60182,0.001454,3,0.628248,0.019403,3,0.601751,0.005378,254.666667
0.5,0.0,1.0,0.64548,0.007194,3,0.596416,0.008188,3,0.64865,0.007496,45.333333
0.5,1.0,2.0,0.625144,0.011623,3,0.657178,0.008092,3,0.64563,0.023232,242.333333
1.0,0.0,1.0,0.659507,0.00105,3,0.632694,0.028194,3,0.662158,0.002241,60.666667
1.0,1.0,2.0,0.613729,0.006395,3,0.644556,0.017612,3,0.616573,0.002025,257.333333
