alpha,layer,avg_js_distance_mean,avg_js_distance_std,weighted_avg_renyi_entropy_mean,weighted_avg_renyi_entropy_std,node_count_mean,node_count_std,run_id_count
0.01,0.0,0.0,0.0,5.0127,0.0138,1.0,0.0,3
0.01,1.0,0.5361,0.0128,4.8573,0.0498,63.3333,3.7859,3
0.01,2.0,0.5699,0.005,4.6082,0.0692,242.6667,12.3423,3
0.05,0.0,0.0,0.0,5.0114,0.0508,1.0,0.0,3
0.05,1.0,0.5378,0.0094,4.8164,0.1024,60.6667,1.1547,3
0.05,2.0,0.565,0.0048,4.6579,0.1448,237.0,22.3383,3
0.1,0.0,0.0,0.0,4.9562,0.0303,1.0,0.0,3
0.1,1.0,0.5663,0.002,4.6121,0.0769,58.6667,3.5119,3
0.1,2.0,0.5739,0.0017,4.4826,0.0247,252.3333,9.5044,3
0.2,0.0,0.0,0.0,4.9413,0.0181,1.0,0.0,3
0.2,1.0,0.5816,0.003,4.4971,0.0743,72.0,5.5678,3
0.2,2.0,0.5665,0.0037,4.5243,0.0089,254.6667,7.7675,3
0.5,0.0,0.0,0.0,4.9631,0.0171,1.0,0.0,3
0.5,1.0,0.5774,0.0281,4.5713,0.0627,45.3333,9.5044,3
0.5,2.0,0.5713,0.0077,4.507,0.0335,242.3333,10.9697,3
1.0,0.0,0.0,0.0,4.9181,0.0214,1.0,0.0,3
1.0,1.0,0.5993,0.0077,4.5241,0.0878,60.6667,3.5119,3
1.0,2.0,0.5627,0.0057,4.5213,0.052,257.3333,13.4288,3
