alpha,parent_layer,child_layer,simple_avg_js_distance_mean,simple_avg_js_distance_std,median_js_distance_mean,median_js_distance_std,run_id_count
0.01,0.0,1.0,0.6275,0.0033,0.632,0.0055,3
0.01,1.0,2.0,0.5752,0.0083,0.579,0.0078,3
0.05,0.0,1.0,0.6303,0.0032,0.632,0.0062,3
0.05,1.0,2.0,0.5758,0.0101,0.5782,0.0102,3
0.1,0.0,1.0,0.6461,0.0031,0.6468,0.0037,3
0.1,1.0,2.0,0.5995,0.0008,0.6033,0.0013,3
0.2,0.0,1.0,0.6536,0.0019,0.6537,0.0028,3
0.2,1.0,2.0,0.6018,0.0015,0.6018,0.0054,3
0.5,0.0,1.0,0.6455,0.0072,0.6486,0.0075,3
0.5,1.0,2.0,0.6251,0.0116,0.6456,0.0232,3
1.0,0.0,1.0,0.6595,0.0011,0.6622,0.0022,3
1.0,1.0,2.0,0.6137,0.0064,0.6166,0.002,3
