document_id,convergence_status
969,convergent
303,convergent
330,convergent
328,convergent
327,convergent
326,convergent
323,convergent
320,convergent
319,convergent
315,convergent
313,convergent
310,convergent
308,convergent
307,convergent
306,convergent
305,convergent
333,convergent
334,convergent
349,convergent
361,convergent
360,convergent
358,convergent
354,convergent
352,convergent
351,convergent
350,convergent
348,convergent
347,convergent
346,convergent
342,convergent
341,convergent
340,convergent
339,convergent
337,convergent
304,convergent
241,convergent
301,convergent
269,convergent
267,convergent
264,convergent
262,convergent
258,convergent
256,convergent
254,convergent
252,convergent
250,convergent
248,convergent
246,convergent
245,convergent
272,convergent
288,convergent
300,convergent
295,convergent
294,convergent
292,convergent
291,convergent
290,convergent
289,convergent
287,convergent
274,convergent
286,convergent
282,convergent
281,convergent
278,convergent
276,convergent
275,convergent
362,convergent
363,convergent
364,convergent
365,convergent
445,convergent
444,convergent
443,convergent
442,convergent
441,convergent
440,convergent
439,convergent
437,convergent
436,convergent
433,convergent
432,convergent
430,convergent
429,convergent
427,convergent
453,convergent
454,convergent
455,convergent
470,convergent
479,convergent
477,convergent
471,convergent
469,convergent
456,convergent
467,convergent
465,convergent
464,convergent
463,convergent
462,convergent
461,convergent
458,convergent
457,convergent
425,convergent
424,convergent
423,convergent
390,convergent
389,convergent
388,convergent
387,convergent
385,convergent
383,convergent
382,convergent
381,convergent
380,convergent
377,convergent
376,convergent
375,convergent
374,convergent
373,convergent
372,convergent
371,convergent
370,convergent
369,convergent
367,convergent
366,convergent
394,convergent
422,convergent
409,convergent
421,convergent
420,convergent
418,convergent
417,convergent
416,convergent
414,convergent
413,convergent
412,convergent
411,convergent
395,convergent
407,convergent
406,convergent
404,convergent
403,convergent
402,convergent
401,convergent
399,convergent
397,convergent
242,convergent
240,convergent
484,convergent
87,convergent
86,convergent
84,convergent
83,convergent
82,convergent
78,convergent
77,convergent
71,convergent
70,convergent
67,convergent
66,convergent
65,convergent
64,convergent
63,convergent
62,convergent
61,convergent
88,convergent
89,convergent
90,convergent
105,convergent
116,convergent
113,convergent
112,convergent
111,convergent
107,convergent
106,convergent
104,convergent
101,convergent
98,convergent
97,convergent
95,convergent
92,convergent
60,convergent
239,convergent
57,convergent
26,convergent
24,convergent
23,convergent
21,convergent
19,convergent
15,convergent
14,convergent
12,convergent
7,convergent
6,convergent
5,convergent
3,convergent
1,convergent
0,convergent
28,convergent
29,convergent
44,convergent
56,convergent
55,convergent
52,convergent
51,convergent
50,convergent
49,convergent
48,convergent
47,convergent
46,convergent
43,convergent
30,convergent
42,convergent
41,convergent
39,convergent
37,convergent
36,convergent
34,convergent
33,convergent
32,convergent
31,convergent
120,convergent
208,convergent
207,convergent
205,convergent
203,convergent
202,convergent
201,convergent
199,convergent
197,convergent
196,convergent
194,convergent
191,convergent
190,convergent
189,convergent
188,convergent
186,convergent
184,convergent
183,convergent
209,convergent
211,convergent
226,convergent
238,convergent
237,convergent
233,convergent
229,convergent
228,convergent
227,convergent
225,convergent
224,convergent
