,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
19179,"('integrator', 4)","('time', 4)","('five', 4)","('continuum', 4)","('balance', 4)","('law', 4)","('discrete', 4)","('integration', 4)","('momentum', 4)","('equation', 2)","('dynamical', 2)","('system', 2)","('irregular', 1)","('function', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19185,"('microstructures', 4)","('initiation', 4)","('contribution', 4)","('interface', 4)","('across', 4)","('damage', 4)","('influence', 4)","('general', 4)","('cohesive', 4)","('zone', 4)","('electrical', 4)","('jump', 4)","('effective', 4)","('resistance', 4)","('development', 4)","('study', 4)","('bulk', 4)","('property', 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19186,"('one', 2)","('achieve', 1)","('cyclic', 1)","('compression', 1)","('modeling', 1)","('metric', 1)","('find', 1)","('manufacture', 1)","('require', 1)","('preserve', 1)","('ratio', 1)","('analyze', 1)","('storage', 1)","('development', 1)","('select', 1)","('additive', 1)","('wavelet', 1)","('result', 1)","('error', 1)","('address', 1)","('hyperreduction', 1)","('reconstruct', 1)","('reconstruction', 1)","('measurement', 1)","('data', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19204,"('wave', 1)","('st', 1)","('mesh', 1)","('joint', 1)","('cell', 1)","('representation', 1)","('code', 1)","('propagation', 1)","('discontinuity', 1)","('flow', 1)","('spectral', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19205,"('correlation', 4)","('component', 4)","('mesoscale', 4)","('microstructure', 4)","('tensile', 4)","('information', 4)","('level', 4)","('probabilistic', 4)","('overall', 3)","('finiteelement', 2)","('composite', 2)","('function', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19211,"('case', 1)","('bond', 1)","('interface', 1)","('description', 1)","('model', 1)","('contact', 1)","('involve', 1)","('body', 1)","('orthotropic', 1)","('adhesive', 1)","('effect', 1)","('tangential', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19212,"('degree', 2)","('nonlinear', 2)","('harmonic', 2)","('steadystate', 2)","('method', 2)","('freedom', 2)","('motion', 2)","('approximate', 2)","('hybrid', 2)","('difference', 2)","('balance', 2)","('approximation', 2)","('system', 2)","('dynamical', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19213,"('constrain', 3)","('constraint', 3)","('cylindrical', 2)","('one', 2)","('point', 2)","('equation', 2)","('soften', 2)","('successful', 2)","('suit', 2)","('kind', 2)","('branch', 2)","('consistently', 2)","('spherical', 2)","('path', 2)","('direct', 2)","('latter', 2)","('andor', 2)","('yet', 2)","('critical', 2)","('another', 2)","('increment', 2)","('eg', 1)","('quadratic', 1)","('handle', 1)","('finite', 1)","('framework', 1)","('apply', 1)","('set', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19221,"('performance', 3)","('structural', 3)","('blade', 3)","('operate', 3)","('open', 3)","('shell', 3)","('wind', 3)","('turbine', 3)","('soil', 3)","('impact', 3)","('dual', 3)","('frequency', 3)","('structure', 1)","('condition', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19222,"('strain', 2)","('learning', 1)","('physical', 1)","('process', 1)","('thermal', 1)","('pinn', 1)","('data', 1)","('training', 1)","('metal', 1)","('damage', 1)","('learn', 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
