node_id,alpha,eta,gamma,depth,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,global_npmi,global_c_v,global_u_mass,iteration,layer,document_count
0,0.01,0.05,0.05,3,5,"model, method, use, element, propose",5,0.0138859241469515,0.4857301580546587,-0.5928362112121615,0.0570812243964833,0.548941784680943,-2.713844851682839,285,0,970
1,0.01,0.05,0.05,3,5,"method, model, material, use, propose",5,-0.0099653389493017,0.4993748985963023,-0.6724251270522933,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,360
2,0.01,0.05,0.05,3,5,"element, method, contact, formulation, crack",5,0.0049106402324286,0.4211583253219457,-1.7179217875752877,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,150
4,0.01,0.05,0.05,3,5,"fsi, part, rkpm, air, iga",5,-0.2239023764517395,0.5929446540173196,-2.144733822075596,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,2
8,0.01,0.05,0.05,3,5,"system, multiple, optimize, provide, flow",5,0.0621482867829605,0.4675374369299406,-1.8943841565176505,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,17
17,0.01,0.05,0.05,3,5,"step, length, x, transformation, zone",5,-0.2557487271869053,0.4397071456199507,-2.986103191970336,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,6
81,0.01,0.05,0.05,3,5,"process, material, manufacturing, laser, additive",5,0.3035028058168511,0.7032897527614355,-1.9073680438528955,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,25
84,0.01,0.05,0.05,3,5,"order, region, fractional, microstructures, mechanical",5,-0.1156853114817449,0.363140466077521,-4.916723635332551,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,3
98,0.01,0.05,0.05,3,5,"impact, friction, dissipation, consistent, theory",5,-0.0114271787869559,0.5961380042683269,-2.27600001717204,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,12
114,0.01,0.05,0.05,3,5,"analysis, st, fsi, porosity, isogeometric",5,0.1570886636343217,0.5925149672000496,-2.407546569096416,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,9
128,0.01,0.05,0.05,3,5,"reducedorder, rom, displacement, multilevel, structure",5,0.1476464048490917,0.7619195643012806,-1.6396058017902817,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,2
135,0.01,0.05,0.05,3,5,"polymer, deformation, integration, capture, algorithms",5,-0.1138168350844471,0.4877466884973501,-2.4525704077133854,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,9
142,0.01,0.05,0.05,3,5,"scale, procedure, optimization, optimize, mesh",5,0.0538500738822835,0.4784777988660348,-2.2086382682216223,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,11
172,0.01,0.05,0.05,3,5,"fiber, composite, distribution, volume, algorithm",5,0.1049213883340647,0.5978333949481246,-1.5734995480063216,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,13
177,0.01,0.05,0.05,3,5,"structural, time, identification, strategy, response",5,0.0172689960646885,0.6547131390555212,-2.0159053647184537,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,5
215,0.01,0.05,0.05,3,5,"bayesian, model, uncertainty, prediction, observation",5,0.1964864272315044,0.7254052394065899,-1.8345628360235464,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,5
261,0.01,0.05,0.05,3,5,"cut, point, wide, break, improvement",5,-0.4546539240848705,0.3155184337672927,-4.9772663190193525,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,15
269,0.01,0.05,0.05,3,5,"mesh, cisamr, element, structure, algorithm",5,0.0870425406414208,0.5336621529479765,-1.287779955303058,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,3
278,0.01,0.05,0.05,3,5,"crack, anisotropic, fracture, energy, material",5,0.1294094413471911,0.7032154997552726,-1.1717847375524395,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,6
384,0.01,0.05,0.05,3,5,"model, diffusion, system, growth, equation",5,0.0597809695023357,0.6124662138354723,-1.8755877200343765,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,9
418,0.01,0.05,0.05,3,5,"stochastic, random, parameter, function, uncertainty",5,0.1636354101019728,0.7390356207583176,-1.36287994396996,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,13
474,0.01,0.05,0.05,3,5,"type, bone, explicit, simulation, size",5,0.0089312351379108,0.4064012475419977,-4.04838144373745,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,16
720,0.01,0.05,0.05,3,5,"train, drag, design, optimal, shape",5,0.2064528588862961,0.5427465118284875,-1.8293369626745728,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,5
825,0.01,0.05,0.05,3,5,"subdomain, high, simulation, computational, second",5,0.0502890929128011,0.5382847197112042,-1.4999470855090766,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,11
835,0.01,0.05,0.05,3,5,"cluster, complementary, reduce, energy, principle",5,0.1593566222202467,0.7036533746882874,-1.6351997816456691,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,5
885,0.01,0.05,0.05,3,5,"element, mode, modal, displacement, derive",5,0.1057162389931342,0.630247015523751,-1.980727205955653,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,3
937,0.01,0.05,0.05,3,5,"mesh, lock, strain, solidshell, data",5,-0.1573913913754957,0.3626149487016474,-4.64726136721672,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,8
938,0.01,0.05,0.05,3,5,"size, band, constitutive, orientation, description",5,0.1036514730444089,0.4022383179683672,-2.8187783332344303,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,10
947,0.01,0.05,0.05,3,5,"composite, multiscale, concurrent, structural, material",5,0.145208549692516,0.5295864605078313,-1.53131284635908,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,9
983,0.01,0.05,0.05,3,5,"object, deformable, realtime, tissue, virtual",5,-0.0064140163148701,0.6135434941885437,-2.1901069927586234,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,7
1267,0.01,0.05,0.05,3,5,"spacetime, algorithm, implementation, efficient, time",5,0.0852502852404748,0.3587640482298129,-1.5629484476959814,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,5
1287,0.01,0.05,0.05,3,5,"particle, shape, dem, surface, contact",5,0.1538350921220694,0.6114929972476786,-1.826187253486617,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,9
1420,0.01,0.05,0.05,3,5,"failure, crack, fiber, composite, damage",5,0.151199238673427,0.749839867705556,-1.6543622540537186,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,12
1445,0.01,0.05,0.05,3,5,"damage, fracture, strain, specimen, state",5,0.0051467393951253,0.5306230126558098,-2.321053741124059,0.0570812243964833,0.548941784680943,-2.713844851682839,285,1,18
1620,0.01,0.05,0.05,3,5,"system, linear, matrix, solution, vector",5,0.0616050314186806,0.607282345302104,-1.829619567414148,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,7
1707,0.01,0.05,0.05,3,5,"contact, body, rigid, local, formulation",5,0.1181105633281668,0.5628786006907298,-1.5713881294291585,0.0570812243964833,0.548941784680943,-2.713844851682839,285,2,8
