parent_layer,child_layer,parent_node_id,child_node_id,js_distance,parent_doc_count,child_doc_count,alpha,eta_used
0,1,0,1,0.5161603448681584,970,390,0.05,0.05
0,1,0,582,0.6436586042831577,970,21,0.05,0.05
0,1,0,123,0.6383876077001025,970,11,0.05,0.05
0,1,0,165,0.6573548287187984,970,17,0.05,0.05
0,1,0,5,0.6139928282863241,970,9,0.05,0.05
0,1,0,1650,0.6284725692561111,970,10,0.05,0.05
0,1,0,1265,0.6426382144700322,970,19,0.05,0.05
0,1,0,471,0.6507693274725036,970,7,0.05,0.05
0,1,0,178,0.5876356799932648,970,6,0.05,0.05
0,1,0,81,0.6504474058940418,970,18,0.05,0.05
0,1,0,2741,0.6273065382967374,970,24,0.05,0.05
0,1,0,2835,0.628439081362256,970,18,0.05,0.05
0,1,0,125,0.6315275387917312,970,21,0.05,0.05
0,1,0,41,0.6355985197144863,970,11,0.05,0.05
0,1,0,3232,0.5990267690286756,970,13,0.05,0.05
0,1,0,2380,0.6413491807000795,970,4,0.05,0.05
0,1,0,736,0.6674346700777634,970,14,0.05,0.05
0,1,0,4765,0.6368323125435655,970,10,0.05,0.05
0,1,0,4972,0.6193127745174591,970,8,0.05,0.05
0,1,0,5571,0.659715620082749,970,15,0.05,0.05
0,1,0,34,0.6361759618842996,970,15,0.05,0.05
0,1,0,3776,0.6100267558364589,970,5,0.05,0.05
0,1,0,572,0.6534487131100035,970,12,0.05,0.05
0,1,0,6248,0.6499238650073162,970,16,0.05,0.05
0,1,0,6243,0.6089706698579008,970,3,0.05,0.05
0,1,0,79,0.6585564832174183,970,8,0.05,0.05
0,1,0,13,0.6329848765101402,970,13,0.05,0.05
0,1,0,624,0.5794646406469782,970,9,0.05,0.05
0,1,0,7936,0.6527609494393416,970,11,0.05,0.05
0,1,0,7740,0.6440748358696703,970,7,0.05,0.05
0,1,0,4214,0.6586658932636554,970,13,0.05,0.05
0,1,0,1784,0.6295519471688757,970,11,0.05,0.05
0,1,0,1353,0.6777288079814768,970,16,0.05,0.05
0,1,0,931,0.6650322582241274,970,10,0.05,0.05
0,1,0,204,0.6633972391663008,970,9,0.05,0.05
0,1,0,422,0.6850400088548888,970,15,0.05,0.05
0,1,0,8087,0.6370508810713779,970,15,0.05,0.05
0,1,0,8292,0.6609434986020757,970,12,0.05,0.05
0,1,0,7160,0.6428019403978567,970,14,0.05,0.05
0,1,0,5370,0.6074446231889401,970,4,0.05,0.05
0,1,0,7013,0.6343662150779849,970,5,0.05,0.05
0,1,0,6295,0.6144098244631749,970,3,0.05,0.05
0,1,0,6182,0.6290913813076613,970,12,0.05,0.05
0,1,0,1788,0.6442699236438054,970,7,0.05,0.05
0,1,0,2231,0.6663882720261485,970,8,0.05,0.05
0,1,0,8871,0.5794646406469782,970,5,0.05,0.05
0,1,0,4784,0.6327579608202314,970,5,0.05,0.05
0,1,0,1046,0.6437025347804722,970,7,0.05,0.05
0,1,0,8665,0.5794646406469782,970,1,0.05,0.05
0,1,0,5845,0.645273996084748,970,7,0.05,0.05
0,1,0,8506,0.6406011480940587,970,4,0.05,0.05
0,1,0,9106,0.6434136128128022,970,8,0.05,0.05
0,1,0,9118,0.6395192864577962,970,6,0.05,0.05
0,1,0,9138,0.6518020448138766,970,3,0.05,0.05
0,1,0,209,0.665451712253164,970,4,0.05,0.05
0,1,0,9127,0.5794646406469782,970,4,0.05,0.05
0,1,0,9041,0.6545381755479022,970,6,0.05,0.05
