iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,1,970,-546002.6034383854,0,0,970.0,970,970
1,63,970,-514384.6703701826,164,62,15.396825396825397,806,1
2,103,970,-502008.80548344215,175,68,9.41747572815534,780,1
3,116,970,-498340.2745150732,164,72,8.362068965517242,775,1
4,137,970,-492734.38053204946,174,82,7.08029197080292,752,1
5,132,970,-490233.1079735323,178,63,7.348484848484849,734,1
6,130,970,-489137.9499025914,177,61,7.461538461538462,726,1
7,133,970,-486755.74233182444,165,61,7.293233082706767,716,1
8,129,970,-485173.45084990887,177,57,7.51937984496124,707,1
9,142,970,-483870.7232712071,204,60,6.830985915492958,704,1
10,140,970,-482383.362695413,199,68,6.928571428571429,699,1
11,134,970,-481332.87046369386,198,53,7.2388059701492535,690,1
12,140,970,-478620.4874470885,198,51,6.928571428571429,672,1
13,146,970,-478211.6125119545,215,61,6.6438356164383565,659,1
14,149,970,-477280.96469486086,221,57,6.510067114093959,648,1
15,144,970,-475792.82673642325,222,44,6.736111111111111,628,1
16,147,970,-473660.2039495976,233,45,6.598639455782313,615,1
17,154,970,-474743.09622940293,232,46,6.298701298701299,606,1
18,157,970,-472748.4997062894,229,47,6.178343949044586,588,1
19,149,970,-473327.2704057982,237,46,6.510067114093959,590,1
20,147,970,-472767.9642758899,218,48,6.598639455782313,590,1
21,154,970,-470981.8789514487,216,50,6.298701298701299,576,1
22,158,970,-469949.23261040146,228,51,6.139240506329114,561,1
23,155,970,-469014.11421369686,264,46,6.258064516129032,538,1
24,165,970,-468133.0618797976,262,45,5.878787878787879,526,1
25,171,970,-466471.31454689655,277,44,5.6725146198830405,500,1
26,166,970,-467512.3811556627,270,40,5.843373493975903,499,1
27,171,970,-465825.5167667124,265,45,5.6725146198830405,486,1
28,165,970,-465679.98494343413,274,36,5.878787878787879,478,1
29,167,970,-466284.86519860674,277,41,5.808383233532934,480,1
30,170,970,-464331.6690289565,277,49,5.705882352941177,459,1
31,165,970,-464605.7378942056,292,43,5.878787878787879,450,1
32,168,970,-464792.5715023943,278,39,5.773809523809524,455,1
33,169,970,-463649.8257730957,274,42,5.739644970414201,424,1
34,180,970,-461300.60225217894,273,47,5.388888888888889,410,1
35,179,970,-461660.3797681754,291,45,5.418994413407821,404,1
36,163,970,-461001.07786046877,285,26,5.950920245398773,399,1
37,188,970,-460817.9978331648,286,56,5.159574468085107,397,1
38,179,970,-459438.18281261384,288,43,5.418994413407821,382,1
39,188,970,-459100.38786618307,303,55,5.159574468085107,381,1
40,183,970,-459546.79953049053,302,53,5.300546448087432,376,1
41,179,970,-459532.5812645266,297,41,5.418994413407821,360,1
42,188,970,-457539.79636688344,312,48,5.159574468085107,336,1
43,193,970,-457476.8157180625,320,49,5.025906735751295,345,1
44,193,970,-455665.9001957739,301,42,5.025906735751295,341,1
45,189,970,-456957.22646847094,290,44,5.132275132275132,348,1
46,200,970,-454661.13411364856,292,50,4.85,335,1
47,203,970,-455896.0201097128,313,50,4.778325123152709,327,1
48,187,970,-455300.49580856634,305,36,5.18716577540107,324,1
49,202,970,-453271.7899256213,295,53,4.801980198019802,313,1
50,190,970,-454652.9653595219,303,43,5.105263157894737,319,1
51,190,970,-452888.85603291966,302,44,5.105263157894737,306,1
52,198,970,-452230.863394955,297,50,4.898989898989899,304,1
53,205,970,-451310.64265530196,299,52,4.7317073170731705,300,1
54,196,970,-451202.90010095283,296,52,4.948979591836735,295,1
55,192,970,-451235.6119726455,283,46,5.052083333333333,301,1
56,194,970,-452181.309139711,267,44,5.0,299,1
57,186,970,-451929.032097463,282,34,5.21505376344086,287,1
58,200,970,-449320.553033158,274,44,4.85,278,1
59,201,970,-450854.0474648769,304,49,4.825870646766169,284,1
60,197,970,-449465.55591490696,294,39,4.9238578680203045,279,1
61,204,970,-449837.2106876474,289,53,4.754901960784314,282,1
62,209,970,-448375.16445841495,284,47,4.641148325358851,272,1
63,200,970,-449602.9963217371,301,40,4.85,269,1
64,202,970,-448516.88842426764,293,47,4.801980198019802,257,1
65,204,970,-448786.7313911692,296,42,4.754901960784314,267,1
66,209,970,-446947.0902446677,297,45,4.641148325358851,258,1
67,198,970,-449463.1685080856,268,39,4.898989898989899,266,1
68,204,970,-446996.80551698926,277,43,4.754901960784314,252,1
69,213,970,-446649.650937165,282,51,4.553990610328638,251,1
70,200,970,-448972.76321365015,304,39,4.85,248,1
71,208,970,-447011.8266433242,293,50,4.663461538461538,244,1
72,209,970,-446942.45286321855,281,49,4.641148325358851,240,1
