parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,1,0.4183556302279348,472.0,0.05,0.05,970.0,472.0
0,1,0,9,0.6534563720189551,13.0,0.05,0.05,970.0,13.0
0,1,0,160,0.6355261768148118,12.0,0.05,0.05,970.0,12.0
0,1,0,312,0.638034255697761,8.0,0.05,0.05,970.0,8.0
0,1,0,114,0.6404992985199309,10.0,0.05,0.05,970.0,10.0
0,1,0,1293,0.6391027194800519,8.0,0.05,0.05,970.0,8.0
0,1,0,2182,0.6641974206467646,19.0,0.05,0.05,970.0,19.0
0,1,0,1551,0.6111200253655473,11.0,0.05,0.05,970.0,11.0
0,1,0,1843,0.6297931122991045,10.0,0.05,0.05,970.0,10.0
0,1,0,7,0.6076559902254925,12.0,0.05,0.05,970.0,12.0
0,1,0,288,0.6225014027200405,10.0,0.05,0.05,970.0,10.0
0,1,0,266,0.6461528821957583,7.0,0.05,0.05,970.0,7.0
0,1,0,211,0.6555892395259991,11.0,0.05,0.05,970.0,11.0
0,1,0,1192,0.6504537884354218,7.0,0.05,0.05,970.0,7.0
0,1,0,4976,0.6508909868991746,12.0,0.05,0.05,970.0,12.0
0,1,0,3396,0.6156769700214391,7.0,0.05,0.05,970.0,7.0
0,1,0,4182,0.6091678229311797,9.0,0.05,0.05,970.0,9.0
0,1,0,181,0.6304282327794876,8.0,0.05,0.05,970.0,8.0
0,1,0,400,0.6546379820154842,13.0,0.05,0.05,970.0,13.0
0,1,0,6291,0.6122377707628169,6.0,0.05,0.05,970.0,6.0
0,1,0,6385,0.6029214638922036,10.0,0.05,0.05,970.0,10.0
0,1,0,6400,0.6211050740309123,13.0,0.05,0.05,970.0,13.0
0,1,0,2480,0.6196755133816167,8.0,0.05,0.05,970.0,8.0
0,1,0,3284,0.6576603657035447,13.0,0.05,0.05,970.0,13.0
0,1,0,6089,0.6478295142122268,8.0,0.05,0.05,970.0,8.0
0,1,0,5068,0.626355139750997,12.0,0.05,0.05,970.0,12.0
0,1,0,6355,0.6212253081931883,7.0,0.05,0.05,970.0,7.0
0,1,0,6582,0.6436751096462735,8.0,0.05,0.05,970.0,8.0
0,1,0,4337,0.6281324630024112,8.0,0.05,0.05,970.0,8.0
0,1,0,864,0.6496132495953134,12.0,0.05,0.05,970.0,12.0
0,1,0,206,0.6461543226774372,7.0,0.05,0.05,970.0,7.0
0,1,0,6949,0.6319022392176619,9.0,0.05,0.05,970.0,9.0
0,1,0,7149,0.6190830693821356,5.0,0.05,0.05,970.0,5.0
0,1,0,6638,0.6575598870924232,15.0,0.05,0.05,970.0,15.0
0,1,0,3876,0.6600364794359603,14.0,0.05,0.05,970.0,14.0
0,1,0,6833,0.6302637992566696,8.0,0.05,0.05,970.0,8.0
0,1,0,6490,0.6272355816677754,10.0,0.05,0.05,970.0,10.0
0,1,0,314,0.6593300466182145,15.0,0.05,0.05,970.0,15.0
0,1,0,2238,0.6653834866167254,13.0,0.05,0.05,970.0,13.0
0,1,0,6938,0.6284735099980391,11.0,0.05,0.05,970.0,11.0
0,1,0,6554,0.6401245054338424,8.0,0.05,0.05,970.0,8.0
0,1,0,6209,0.6298678460445747,6.0,0.05,0.05,970.0,6.0
0,1,0,978,0.6300113046945884,11.0,0.05,0.05,970.0,11.0
0,1,0,3565,0.6098917681669132,5.0,0.05,0.05,970.0,5.0
0,1,0,425,0.6430720917879108,9.0,0.05,0.05,970.0,9.0
0,1,0,6250,0.6320230848971095,7.0,0.05,0.05,970.0,7.0
0,1,0,8395,0.620904969446599,2.0,0.05,0.05,970.0,2.0
0,1,0,35,0.6505892901601926,9.0,0.05,0.05,970.0,9.0
0,1,0,8421,0.6204936231741556,6.0,0.05,0.05,970.0,6.0
0,1,0,7934,0.6276019575299505,3.0,0.05,0.05,970.0,3.0
0,1,0,6893,0.6316965277054232,5.0,0.05,0.05,970.0,5.0
0,1,0,5620,0.6591353339853351,8.0,0.05,0.05,970.0,8.0
0,1,0,8545,0.6058824536783878,4.0,0.05,0.05,970.0,4.0
0,1,0,8580,0.626404413817891,5.0,0.05,0.05,970.0,5.0
