iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,253,970,-423173.3098379301,0,0,3.83399209486166,16,1
1,246,970,-423634.7115749277,237,41,3.9430894308943087,16,1
2,244,970,-423058.08217674785,231,46,3.9754098360655736,14,1
3,246,970,-423662.93248753,232,45,3.9430894308943087,17,1
4,253,970,-423007.6798690039,232,49,3.83399209486166,15,1
5,249,970,-423070.7493754273,225,44,3.895582329317269,14,1
6,259,970,-423500.6784742404,241,48,3.7451737451737452,14,1
7,266,970,-422607.3150506696,251,59,3.6466165413533833,15,1
8,256,970,-422773.6117645013,243,47,3.7890625,13,1
9,249,970,-422999.96818001516,231,46,3.895582329317269,14,1
10,256,970,-422446.15553048975,245,54,3.7890625,14,1
11,247,970,-422684.95893184067,239,40,3.9271255060728745,14,1
12,260,970,-422708.45361341117,242,55,3.730769230769231,15,1
13,253,970,-422648.4398773141,244,52,3.83399209486166,14,1
14,253,970,-422873.6352638298,229,55,3.83399209486166,15,1
15,252,970,-422147.23200975463,241,56,3.8492063492063493,14,1
16,259,970,-421659.7255446665,237,61,3.7451737451737452,14,1
17,256,970,-422196.5478934709,246,46,3.7890625,16,1
18,250,970,-422453.07407714066,232,52,3.88,14,1
19,253,970,-422034.3087727929,227,48,3.83399209486166,15,1
20,255,970,-423042.4426560404,235,44,3.803921568627451,15,1
21,252,970,-422742.7743491059,238,45,3.8492063492063493,14,1
22,253,970,-422309.8166171114,246,50,3.83399209486166,13,1
23,248,970,-422634.41795194254,246,51,3.911290322580645,13,1
24,249,970,-422435.34437042434,228,47,3.895582329317269,16,1
25,250,970,-422110.3883989957,234,47,3.88,13,1
26,255,970,-422603.065235875,241,50,3.803921568627451,13,1
27,247,970,-422251.1429690681,230,40,3.9271255060728745,13,1
28,251,970,-422917.6216380835,229,54,3.864541832669323,14,1
29,250,970,-423163.11127816665,236,41,3.88,16,1
30,256,970,-422682.65312531416,243,57,3.7890625,13,1
31,261,970,-422738.37217501155,257,58,3.7164750957854404,13,1
32,251,970,-422941.055778063,248,38,3.864541832669323,13,1
33,256,970,-422784.9409462204,259,50,3.7890625,13,1
34,249,970,-423734.9450783947,236,51,3.895582329317269,13,1
35,242,970,-423811.136944559,237,38,4.008264462809917,15,1
36,250,970,-422791.9945083392,226,49,3.88,13,1
37,249,970,-423544.3016487214,247,47,3.895582329317269,13,1
38,253,970,-422986.0972180398,259,52,3.83399209486166,14,1
39,251,970,-422834.7543037557,257,56,3.864541832669323,14,1
40,249,970,-422407.6000001482,253,45,3.895582329317269,14,1
41,254,970,-422777.20618535246,230,52,3.8188976377952755,15,1
42,247,970,-422436.32540008903,225,41,3.9271255060728745,15,1
43,251,970,-422075.43993933237,230,49,3.864541832669323,15,1
44,249,970,-422454.8345924288,229,48,3.895582329317269,14,1
45,259,970,-421340.42096961866,240,52,3.7451737451737452,14,1
46,260,970,-421626.710409353,238,51,3.730769230769231,13,1
47,245,970,-422581.6114659368,239,44,3.9591836734693877,16,1
48,250,970,-422235.7824134012,239,55,3.88,16,1
49,247,970,-422066.88563253195,235,45,3.9271255060728745,15,1
50,255,970,-421992.2828975398,245,53,3.803921568627451,16,1
51,253,970,-422580.5622830461,261,51,3.83399209486166,14,1
52,252,970,-422657.0921697783,258,43,3.8492063492063493,14,1
53,254,970,-423010.10552340123,262,42,3.8188976377952755,15,1
54,254,970,-422635.6419456982,240,47,3.8188976377952755,14,1
55,259,970,-422381.8241642794,246,54,3.7451737451737452,14,1
56,257,970,-423012.88599579036,253,45,3.77431906614786,14,1
57,259,970,-421923.8850036876,236,51,3.7451737451737452,14,1
58,260,970,-422261.2039719883,256,50,3.730769230769231,14,1
59,259,970,-422858.95659527124,253,53,3.7451737451737452,14,1
60,250,970,-423122.1943888379,247,43,3.88,14,1
61,254,970,-422127.7369013148,267,48,3.8188976377952755,13,1
