node_id,eta,gamma,depth,alpha,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.1,0.05,3,0.1,0,970,5,"method, model, element, use, propose",5,0.013885924146951547,0.48573015805465863,-0.594130383979679,90
5480,0.1,0.05,3,0.1,2,3,5,"mass, matrix, order, superconvergent, formulation",5,0.18648334904158045,0.6471175119178114,-1.7695440914889615,90
1,0.1,0.05,3,0.1,1,370,5,"model, material, fracture, framework, damage",5,0.08482224954633943,0.56480600579819,-1.7036921143095491,90
4964,0.1,0.05,3,0.1,1,10,5,"state, variable, generic, formalism, make",5,0.2121807258971002,0.3917451639509797,-2.763875189544306,90
481,0.1,0.05,3,0.1,2,7,5,"model, peridynamic, continuum, hybrid, nonlocal",5,0.1857212334468447,0.7571112108765785,-2.4740637934892122,90
12641,0.1,0.05,3,0.1,1,11,5,"nurbs, lr, surface, refinement, local",5,0.2501398577768159,0.6422985411115498,-1.4993514341429917,90
3,0.1,0.05,3,0.1,1,24,5,"process, manufacturing, additive, material, laser",5,0.30350280581685113,0.7032897527614355,-1.4649342722496708,90
4215,0.1,0.05,3,0.1,2,4,5,"integration, generalize, theory, thermomechanical, speed",5,-0.027705128000050795,0.2962952665954468,-3.0930908807064226,90
5794,0.1,0.05,3,0.1,1,7,5,"mesh, accuracy, dual, standard, scheme",5,0.04697029343196598,0.5384697270453748,-1.870787652005486,90
4939,0.1,0.05,3,0.1,1,6,5,"basis, reduction, proper, decomposition, pod",5,0.23654937677633875,0.7634336034021549,-1.9067528012576034,90
2918,0.1,0.05,3,0.1,2,9,5,"kernel, meshfree, reproduce, approximation, shock",5,0.1469831537223742,0.7099921256325123,-4.009884030886339,90
11286,0.1,0.05,3,0.1,2,10,5,"material, microstructures, microstructure, homogenization, property",5,0.15121421834671386,0.7604544460353159,-1.4514490957407087,90
4330,0.1,0.05,3,0.1,2,5,5,"mesh, element, cisamr, conform, structure",5,0.1814717704443944,0.6398419673028262,-1.8864459880146587,90
10126,0.1,0.05,3,0.1,1,7,5,"thin, membrane, instability, symmetry, mode",5,0.22666820399593063,0.5729723773916843,-2.0253231217429644,90
9360,0.1,0.05,3,0.1,2,8,5,"interface, multiplier, lagrange, nonconforming, mesh",5,0.13579048626074494,0.6497784655180364,-1.4756732791522096,90
406,0.1,0.05,3,0.1,2,10,5,"equation, fractional, differential, derivative, function",5,0.2575694282957331,0.7686856358290493,-1.4244744253218804,90
1046,0.1,0.05,3,0.1,2,4,5,"fiber, orientation, identification, structural, stress",5,-0.1274878218945759,0.6197540261692741,-2.18687256989361,90
4978,0.1,0.05,3,0.1,1,7,5,"novel, distribution, homogenization, scale, progressive",5,-0.15957813775783475,0.3740649386635621,-7.069600145169171,90
5973,0.1,0.05,3,0.1,2,4,5,"particle, shape, dem, model, distance",5,0.17046342787852822,0.7081127981865298,-1.9936477848957233,90
5394,0.1,0.05,3,0.1,1,9,5,"optimization, design, topology, structure, optimize",5,0.19702401608186473,0.5265966615668628,-1.7212585331151735,90
2320,0.1,0.05,3,0.1,1,30,5,"element, shell, displacement, rotation, approximation",5,0.12431906811265374,0.5707694912484959,-1.9407673292851186,90
2535,0.1,0.05,3,0.1,2,10,5,"element, mode, displacement, contact, derive",5,0.013565312740877489,0.41607254454828135,-2.2649595189999383,90
