node_id,eta,gamma,depth,alpha,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.1,0.05,3,0.1,0,970,10,"method, model, element, use, propose, problem, numerical, finite, present, approach",10,0.02149164398824953,0.47491005294320765,-0.7052494127851231,90
5480,0.1,0.05,3,0.1,2,3,10,"mass, matrix, order, superconvergent, formulation, three, frequency, wave, high, dimensional",10,0.15045771758107124,0.578972485646002,-2.207262674548198,90
1,0.1,0.05,3,0.1,1,370,10,"model, material, fracture, framework, damage, simulation, response, strain, crack, study",10,0.030424288282437636,0.5723100720908224,-1.5427715354541167,90
4964,0.1,0.05,3,0.1,1,10,10,"state, variable, generic, formalism, make, thermodynamic, choose, internal, density, scheme",10,0.044918397592292256,0.2255892208337623,-2.45174629678909,90
481,0.1,0.05,3,0.1,2,7,10,"model, peridynamic, continuum, hybrid, nonlocal, crack, propagation, dynamic, domain, solid",10,0.050362017875186106,0.6155769867525592,-1.8944535797503679,90
12641,0.1,0.05,3,0.1,1,11,10,"nurbs, lr, surface, refinement, local, bsplines, benefit, isogeometric, rational, contact",10,0.17713425723983894,0.5689671430533656,-1.8382142820226943,90
3,0.1,0.05,3,0.1,1,24,10,"process, manufacturing, additive, material, laser, powder, melt, slm, challenge, complex",10,0.19041583896883535,0.6425747984850712,-1.6449752559553323,90
4215,0.1,0.05,3,0.1,2,4,10,"integration, generalize, theory, thermomechanical, speed, rkpm, nodal, explicit, plasticity, classical",10,-0.06082126180607607,0.35140989583415944,-2.504058931594895,90
5794,0.1,0.05,3,0.1,1,7,10,"mesh, accuracy, dual, standard, scheme, free, simplicity, generalization, unstructured, quality",10,0.03724824799084781,0.4617418507914185,-2.613878480840712,90
4939,0.1,0.05,3,0.1,1,6,10,"basis, reduction, proper, decomposition, pod, reduce, strategy, orthogonal, low, error",10,0.15340307040728837,0.5751613776536413,-1.7853587032333824,90
2918,0.1,0.05,3,0.1,2,9,10,"kernel, meshfree, reproduce, approximation, shock, galerkin, finescale, integration, conform, nodal",10,0.07154788462340719,0.6390690718336983,-4.306877354629425,90
11286,0.1,0.05,3,0.1,2,10,10,"material, microstructures, microstructure, homogenization, property, macroscopic, homogeneous, heterogeneous, strength, variation",10,0.10533009884757036,0.6588909987972004,-3.1769042731644004,90
4330,0.1,0.05,3,0.1,2,5,10,"mesh, element, cisamr, conform, structure, refinement, generation, algorithm, node, phase",10,0.14256016542240071,0.5416861550494136,-1.906687807297403,90
10126,0.1,0.05,3,0.1,1,7,10,"thin, membrane, instability, symmetry, mode, affect, load, analysis, consider, onedimensional",10,0.011429684759860148,0.3934801869588958,-3.8409247257432955,90
9360,0.1,0.05,3,0.1,2,8,10,"interface, multiplier, lagrange, nonconforming, mesh, nonmatching, domain, algorithm, region, achieve",10,0.033386768332050044,0.44904800111979004,-1.8596445082729929,90
406,0.1,0.05,3,0.1,2,10,10,"equation, fractional, differential, derivative, function, order, irregular, solve, method, issue",10,0.0843285841168812,0.5070442964487774,-1.6627046179586102,90
1046,0.1,0.05,3,0.1,2,4,10,"fiber, orientation, identification, structural, stress, input, signal, adopt, response, principal",10,-0.0810846817175398,0.23664836149300936,-5.768940534969813,90
4978,0.1,0.05,3,0.1,1,7,10,"novel, distribution, homogenization, scale, progressive, location, across, range, microstructure, equilibrium",10,-0.2459060729153236,0.3358877939234907,-4.768817637138778,90
5973,0.1,0.05,3,0.1,2,4,10,"particle, shape, dem, model, distance, surface, develop, contact, granular, many",10,0.049006062530335764,0.5581975395269562,-2.047760506687089,90
5394,0.1,0.05,3,0.1,1,9,10,"optimization, design, topology, structure, optimize, thermal, work, material, lattice, sensitivity",10,0.047522715447582076,0.37612070761153865,-2.494137630797688,90
2320,0.1,0.05,3,0.1,1,30,10,"element, shell, displacement, rotation, approximation, field, employ, continuous, lagrange, matrix",10,0.050058647443304675,0.4276414207753071,-2.0774360783019237,90
2535,0.1,0.05,3,0.1,2,10,10,"element, mode, displacement, contact, derive, plate, modal, static, function, force",10,0.05605526340542558,0.4339863987499041,-2.25501664920829,90
449,0.1,0.05,3,0.1,2,9,10,"eng, mech, strain, et, al, comput, appl, j, viscoelastic, develop",10,0.32585261439780044,0.7815824286603397,-1.3817072703410653,90
321,0.1,0.05,3,0.1,2,9,10,"structure, random, response, stochastic, dynamic, frequency, three, uncertainty, band, function",10,0.077403335160586,0.47288744248256726,-2.184353313447668,90
14626,0.1,0.05,3,0.1,2,7,10,"stress, shear, displacement, static, plate, additional, resultant, condensation, patch, approximation",10,0.0446405224454904,0.6532865851186893,-2.3697465514036513,90
4014,0.1,0.05,3,0.1,2,14,10,"stochastic, random, uncertainty, level, probabilistic, mesoscale, system, field, parameter, expansion",10,0.0017010397993842633,0.5773523204801694,-1.873117310809917,90
344,0.1,0.05,3,0.1,2,5,10,"grain, boundary, slip, crystal, gradient, interaction, plastic, plasticity, primary, direction",10,0.02847106451395243,0.4819099226513625,-2.2102010808175763,90
6,0.1,0.05,3,0.1,1,21,10,"flow, mesh, method, computation, st, isogeometric, discretization, analysis, fsi, spacetime",10,0.10009269558000493,0.6842828691671211,-1.8170602659238808,90
1249,0.1,0.05,3,0.1,2,9,10,"strain, lock, formulation, shell, solidshell, shear, natural, solid, thin, inhomogeneous",10,0.05977335093047052,0.7177401527737156,-2.213399289859733,90
4455,0.1,0.05,3,0.1,1,15,10,"x, set, relevant, u, parallel, k, constraint, modulus, stretch, principal",10,-0.14188957760196663,0.3409821147785683,-4.224836091059408,90
11959,0.1,0.05,3,0.1,2,4,10,"element, tetrahedral, mesh, hexahedral, linear, quadratic, incompressible, cost, grain, discontinuous",10,-0.038288401620924485,0.38807291130965227,-3.9631037623539025,90
122,0.1,0.05,3,0.1,2,9,10,"contact, isogeometric, nurbs, body, mortar, formulation, medium, frictional, third, test",10,-0.10632767130065755,0.2467379344193114,-5.188765481732006,90
5957,0.1,0.05,3,0.1,2,6,10,"interface, composite, cohesive, crack, interfacial, zone, propose, debonding, voxel, laminate",10,0.1368569790682164,0.6514772295509117,-2.6207397535080914,90
7892,0.1,0.05,3,0.1,1,8,10,"dual, industrial, convenient, quantity, discretized, methodology, construction, virtual, pgd, particular",10,-0.2846857862212325,0.16958663099825644,-4.923032436004439,90
5947,0.1,0.05,3,0.1,1,5,10,"flow, model, turbulent, move, compare, navierstokes, next, arbitrary, govern, experimental",10,-0.11809145442858736,0.3189822864683156,-2.108608007402339,90
214,0.1,0.05,3,0.1,2,9,10,"laser, stress, grain, melt, residual, heat, manufacturing, formation, additive, parallel",10,0.04094837993648832,0.6988339600414172,-2.5643197282815273,90
9879,0.1,0.05,3,0.1,2,6,10,"integration, quadrature, point, moment, cell, rule, weight, fit, number, conform",10,0.07984414689312322,0.6818658156955136,-2.1426418192582313,90
8543,0.1,0.05,3,0.1,2,13,10,"macroscopic, scale, microscopic, homogenization, fe, couple, micro, macro, sensitivity, twoscale",10,0.12203849771600109,0.7160259313332386,-2.583525000803501,90
787,0.1,0.05,3,0.1,2,8,10,"fiber, tensile, loading, reinforce, composite, volume, fibre, algorithm, mesoscopic, failure",10,0.05951726926819048,0.5736593705466848,-3.038450366892393,90
1416,0.1,0.05,3,0.1,2,9,10,"material, topology, optimization, design, structural, additional, solution, property, concrete, structure",10,-0.0068051547713580685,0.27939062864432296,-3.929160258194754,90
2357,0.1,0.05,3,0.1,1,12,10,"bem, fast, matrix, solve, new, multidomain, solver, hierarchical, coefficient, domain",10,0.11084245054723457,0.40985154864921236,-2.7383181228643076,90
9295,0.1,0.05,3,0.1,1,7,10,"lattice, wave, boundary, boltzmann, elastic, motion, alternative, subsequently, differential, upon",10,-0.07247257427821868,0.23553165799709136,-3.057493987811239,90
412,0.1,0.05,3,0.1,1,8,10,"electrical, release, branch, material, process, desire, discrete, proper, fluid, particle",10,-0.15432257887280357,0.2970589385030741,-4.5046001999726135,90
413,0.1,0.05,3,0.1,2,8,10,"system, energy, illustrate, overall, multiple, framework, provide, complex, develop, optimize",10,-0.005399334794714013,0.3330496909074852,-1.9741295716483573,90
2109,0.1,0.05,3,0.1,2,2,10,"polyhedron, nonlinear, scale, neural, network, electric, rve, surrogate, multilevel, sheet",10,-0.09293076100866426,0.3980174742341641,-5.983844754462052,90
627,0.1,0.05,3,0.1,2,12,10,"contact, friction, frictional, formulation, interface, constraint, law, method, account, penalty",10,0.09218315904309783,0.40202572774521306,-2.1051017457386787,90
