depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.05,0.2,0,0,,4.924628005257728,970,1452,41064,
3,0.05,0.05,0.2,1,11011,,3.660601762363972,15,503,158,
3,0.05,0.05,0.2,1,9133,,3.5429336583410325,13,331,78,
3,0.05,0.05,0.2,1,1,,4.308159590353011,325,1354,4392,
3,0.05,0.05,0.2,1,3232,,3.371769633784111,5,183,97,
3,0.05,0.05,0.2,1,27436,,3.683967914739788,13,465,89,
3,0.05,0.05,0.2,1,25688,,3.330847350953096,9,275,47,
3,0.05,0.05,0.2,1,19285,,3.8096916477094314,14,424,115,
3,0.05,0.05,0.2,1,422,,3.005200581655117,21,541,234,
3,0.05,0.05,0.2,1,16423,,3.066205530211376,12,370,52,
3,0.05,0.05,0.2,1,29660,,3.190997263976984,10,326,97,
3,0.05,0.05,0.2,1,2231,,3.2108577765670474,14,445,119,
3,0.05,0.05,0.2,1,4214,,3.297317251174766,12,404,104,
3,0.05,0.05,0.2,1,18564,,3.7654624948675615,8,281,92,
3,0.05,0.05,0.2,1,32610,,3.1760833863606455,15,510,78,
3,0.05,0.05,0.2,1,2380,,2.906003503587861,9,269,35,
3,0.05,0.05,0.2,1,7160,,3.226465994134877,15,426,46,
3,0.05,0.05,0.2,1,10053,,3.9101274455549846,12,381,147,
3,0.05,0.05,0.2,1,41,,3.9481620520440184,10,360,144,
3,0.05,0.05,0.2,1,13715,,3.5341386296841275,11,328,88,
3,0.05,0.05,0.2,1,123,,3.8506203032078696,11,296,92,
3,0.05,0.05,0.2,1,7936,,3.6733752675779723,15,425,160,
3,0.05,0.05,0.2,1,22358,,3.726019001063394,12,308,96,
3,0.05,0.05,0.2,1,178,,3.450759448610169,12,350,108,
3,0.05,0.05,0.2,1,1353,,3.3544140153825905,24,593,235,
3,0.05,0.05,0.2,1,26655,,3.115456811529604,5,163,77,
3,0.05,0.05,0.2,1,582,,2.7032002028742745,19,464,133,
3,0.05,0.05,0.2,1,8506,,3.280751228586289,8,296,50,
3,0.05,0.05,0.2,1,34,,3.541175610401302,13,384,68,
3,0.05,0.05,0.2,1,165,,4.030997170539166,18,456,292,
3,0.05,0.05,0.2,1,32674,,1.9459101490553135,5,213,7,
3,0.05,0.05,0.2,1,21504,,3.290591133378794,9,298,85,
3,0.05,0.05,0.2,1,24680,,3.516982414655866,10,322,75,
