node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,alpha_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.943650908799124,735,1490,0.4932885906040268,0.2,2.0,170,970,0,,"[1,235,184,1603,3748,7389,128,8539,2071,869,5749,10971,12933,15097,9195,391,18848,7969,19926,14207,7904,53,8518,12652,14645,114,350,473,13173,14659,59,22123,16440,5631,988,3775,145,2255,31487,27021,32993,15935,5077,33790,33924,31328,32335,33443,31099,32956,33969,808,7752,34205,34284,3,23422,31684,19691,27410,20052,24,6175,33431,15193,97,35058,8209,35044,34928,32451,5589,17618,34627,35278,31425,35133,13337]",78
5749,5.551023505179615,92,1490,0.061744966442953,0.2,2.0,170,18,1,0.0,"[11599,21594,35344,35373]",4
21594,5.270220385401119,95,1490,0.0637583892617449,0.2,2.0,170,10,2,5749.0,,0
1303,4.96244257107386,134,1490,0.0899328859060402,0.2,2.0,170,13,2,1.0,,0
20007,5.221871222889567,57,1490,0.0382550335570469,0.2,2.0,170,4,2,7969.0,,0
13173,6.045854457122944,61,1490,0.0409395973154362,0.2,2.0,170,10,1,0.0,[27448],1
14149,5.32844802934953,60,1490,0.0402684563758389,0.2,2.0,170,4,2,7389.0,,0
12652,5.879093047763672,72,1490,0.0483221476510067,0.2,2.0,170,17,1,0.0,[24262],1
7969,5.413941583982315,51,1490,0.034228187919463,0.2,2.0,170,10,1,0.0,"[20007,28056,34705,35290]",4
869,5.432023835197867,117,1490,0.0785234899328859,0.2,2.0,170,22,1,0.0,"[11543,32783,34591,35302,35335]",5
1,4.502268728212537,285,1490,0.1912751677852349,0.2,2.0,170,219,1,0.0,"[2,162,358,516,602,825,1303,1518,1645,2494,3474,3589,5599,8027,8689,9119,21727,22459,24880,25740,25961,27033,28299,28806,29136,32401,32938,33677,34143,34349,34669,34820,35114,35166,35230,35247,35297,35300,35346]",39
602,4.994899905355598,144,1490,0.0966442953020134,0.2,2.0,170,12,2,1.0,,0
473,6.95196507679799,22,1490,0.0147651006711409,0.2,2.0,170,7,1,0.0,"[25882,34969,35361]",3
16440,5.597714612972669,83,1490,0.0557046979865771,0.2,2.0,170,13,1,0.0,"[30229,35334,35348]",3
25740,5.396731151494585,57,1490,0.0382550335570469,0.2,2.0,170,3,2,1.0,,0
15935,6.854523037166292,21,1490,0.0140939597315436,0.2,2.0,170,5,1,0.0,[33073],1
53,4.532266230372471,108,1490,0.07248322147651,0.2,2.0,170,31,1,0.0,"[22108,34060,34578,34858,35202,35330,35342,35368]",8
22108,5.681160296619922,108,1490,0.07248322147651,0.2,2.0,170,6,2,53.0,,0
162,5.016278507039687,106,1490,0.0711409395973154,0.2,2.0,170,8,2,1.0,,0
