record_time,len_stable_docs,jaccard_mean,jaccard_std,ratio_mean,ratio_std,jaccard_list,ratio_list
0,"[635, 630, 620, 618, 626, 625, 628, 626, 629, 635, 635, 640, 635, 644, 634, 642, 632, 636, 631, 637, 635]",0.9296318776188409,0.010583001590351781,0.20000000000000004,2.7755575615628914e-17,"[0.9108761329305136, 0.9319938176197836, 0.9374021909233177, 0.9197530864197531, 0.9070121951219512, 0.9366306027820711, 0.9322033898305084, 0.9072948328267477, 0.9209726443768997, 0.9418960244648318, 0.9406392694063926, 0.9347496206373292, 0.9437689969604863, 0.9334341906202723, 0.936267071320182, 0.9332321699544764, 0.9299847792998478, 0.9314024390243902, 0.9329268292682927, 0.9301972685887708]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
1,"[635, 643, 638, 633, 625, 622, 633, 639, 648, 650, 646, 639, 657, 663, 654, 662, 673, 679, 683, 678, 681]",0.9325216025388613,0.011531791734393929,0.20000000000000004,2.7755575615628914e-17,"[0.9246987951807228, 0.9263157894736842, 0.9316109422492401, 0.9235474006116208, 0.9303405572755418, 0.9307692307692308, 0.9099099099099099, 0.9266467065868264, 0.9518796992481203, 0.9372197309417041, 0.9122023809523809, 0.9285714285714286, 0.9354838709677419, 0.9254385964912281, 0.9410029498525073, 0.9517543859649122, 0.93974175035868, 0.9264497878359265, 0.9498567335243553, 0.9469914040114613]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
2,"[681, 675, 669, 683, 674, 677, 673, 675, 686, 684, 691, 687, 684, 688, 700, 682, 663, 655, 649, 657, 664]",0.9408364903389728,0.009781707806318393,0.20000000000000004,2.7755575615628914e-17,"[0.9343794579172611, 0.9450072358900145, 0.9369627507163324, 0.930298719772404, 0.943884892086331, 0.948051948051948, 0.9507959479015919, 0.9470672389127325, 0.9377652050919377, 0.942090395480226, 0.9601706970128022, 0.9446808510638298, 0.9405940594059405, 0.9358437935843794, 0.9437412095639943, 0.9186875891583453, 0.9212827988338192, 0.9550224887556222, 0.9434523809523809, 0.9369501466275659]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
3,"[664, 684, 673, 678, 678, 656, 657, 661, 646, 644, 657, 674, 681, 695, 693, 697, 698, 690, 680, 685, 679]",0.9373625371157432,0.007153051587044985,0.20000000000000004,2.7755575615628914e-17,"[0.9284692417739628, 0.924822695035461, 0.943884892086331, 0.9371428571428572, 0.924963924963925, 0.9365781710914455, 0.943952802359882, 0.9277286135693216, 0.9340329835082459, 0.9476047904191617, 0.9402332361516035, 0.9412607449856734, 0.9407616361071932, 0.9412587412587412, 0.9386331938633193, 0.9267955801104972, 0.949438202247191, 0.9405099150141643, 0.9416785206258891, 0.9375]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
4,"[679, 677, 668, 663, 658, 658, 660, 669, 670, 673, 680, 667, 663, 656, 665, 677, 670, 659, 662, 670, 676]",0.9406743583761346,0.009671163322476709,0.20000000000000004,2.7755575615628914e-17,"[0.9371428571428572, 0.9380403458213257, 0.934593023255814, 0.9512555391432792, 0.9438700147710487, 0.9497041420118343, 0.9486803519061584, 0.9128571428571428, 0.937950937950938, 0.9383954154727794, 0.9353448275862069, 0.9472913616398243, 0.948301329394387, 0.9312865497076024, 0.9309352517985612, 0.9353448275862069, 0.9486803519061584, 0.9455081001472754, 0.9588235294117647, 0.9394812680115274]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,"[676, 682, 680, 679, 677, 674, 689, 689, 693, 700, 693, 689, 677, 667, 667, 676, 681, 692, 699, 688, 678]",0.9408178679364448,0.008627498766242548,0.20000000000000004,2.7755575615628914e-17,"[0.9372325249643366, 0.9401709401709402, 0.9469914040114613, 0.945480631276901, 0.932761087267525, 0.949928469241774, 0.9463276836158192, 0.9492242595204513, 0.9482517482517483, 0.9293628808864266, 0.9410112359550562, 0.9458689458689459, 0.9393939393939394, 0.9446064139941691, 0.9407514450867052, 0.9193776520509194, 0.9475177304964539, 0.9536516853932584, 0.9290681502086231, 0.9293785310734464]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
6,"[678, 682, 675, 679, 679, 676, 669, 660, 651, 652, 658, 650, 661, 669, 681, 675, 673, 676, 671, 685, 682]",0.9396285576308159,0.008430576140170003,0.20000000000000004,2.7755575615628914e-17,"[0.9428571428571428, 0.9525179856115108, 0.9398280802292264, 0.9511494252873564, 0.9412607449856734, 0.9521044992743106, 0.9429824561403509, 0.9393491124260355, 0.9303703703703704, 0.9264705882352942, 0.9349112426035503, 0.930780559646539, 0.9387755102040817, 0.9452449567723343, 0.9234042553191489, 0.9451659451659452, 0.9466089466089466, 0.9381294964028777, 0.9261363636363636, 0.9445234708392604]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
7,"[682, 674, 673, 669, 670, 676, 682, 691, 677, 675, 667, 664, 668, 671, 664, 650, 659, 663, 670, 672, 668]",0.9384804091990828,0.010328438417611776,0.20000000000000004,2.7755575615628914e-17,"[0.9426934097421203, 0.927038626609442, 0.9505813953488372, 0.934971098265896, 0.9422799422799423, 0.9427753934191703, 0.9475177304964539, 0.9267605633802817, 0.9453237410071943, 0.9281609195402298, 0.9573529411764706, 0.9165467625899281, 0.9405797101449276, 0.940406976744186, 0.9437869822485208, 0.9421364985163204, 0.9384164222873901, 0.9318840579710145, 0.9198855507868383, 0.950509461426492]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
8,"[668, 668, 672, 665, 669, 681, 676, 675, 664, 657, 664, 666, 670, 672, 666, 660, 654, 652, 659, 675, 688]",0.9376243680171467,0.008593156224005586,0.20000000000000004,2.7755575615628914e-17,"[0.9390420899854862, 0.950509461426492, 0.9265129682997119, 0.9417758369723436, 0.9396551724137931, 0.9330484330484331, 0.9217638691322901, 0.9490538573508006, 0.948377581120944, 0.9455081001472754, 0.93033381712627, 0.9390420899854862, 0.9309352517985612, 0.9391304347826087, 0.9217391304347826, 0.9409158050221565, 0.9492537313432836, 0.930780559646539, 0.9417758369723436, 0.9333333333333333]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
9,"[688, 685, 682, 673, 666, 669, 667, 654, 653, 655, 659, 663, 670, 679, 679, 674, 673, 673, 681, 671, 661]",0.9372068733686534,0.007928689502301346,0.20000000000000004,2.7755575615628914e-17,"[0.9530583214793741, 0.9528571428571428, 0.9301994301994302, 0.9377713458755427, 0.9347826086956522, 0.936231884057971, 0.9312865497076024, 0.930576070901034, 0.9435364041604755, 0.9495548961424333, 0.9355783308931186, 0.9403202328966521, 0.9354375896700143, 0.9289772727272727, 0.9328571428571428, 0.9381294964028777, 0.9256080114449213, 0.9454022988505747, 0.9259259259259259, 0.936046511627907]","[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
