node_id,alpha,eta,gamma,depth,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,0.5,0.05,0.05,3,0,970,5,"method, use, element, model, propose",5,0.013885924146951546,0.48573015805465863,-0.5916976867410396,275
1,0.5,0.05,0.05,3,1,546,5,"model, material, crack, use, strain",5,-0.008912539658127272,0.589988833875198,-1.3041234066561969,275
2,0.5,0.05,0.05,3,2,118,5,"element, contact, formulation, displacement, interface",5,0.0428932299740514,0.46633936780772717,-1.762877198263157,275
21,0.5,0.05,0.05,3,1,14,5,"article, original, curvature, publish, error",5,-0.12888841896789802,0.34427546812745885,-8.74373448745063,275
37,0.5,0.05,0.05,3,1,9,5,"strain, lock, formulation, solidshell, element",5,0.1553962614699616,0.7203884972436198,-1.4486550617149894,275
53,0.5,0.05,0.05,3,1,6,5,"framework, interaction, molecular, dynamic, potential",5,0.03172081445260009,0.5402515708925633,-2.1730297282341633,275
62,0.5,0.05,0.05,3,2,6,5,"particle, model, shape, contact, dem",5,0.10051833843281784,0.5678654089011883,-2.652005738728648,275
72,0.5,0.05,0.05,3,1,6,5,"crack, phasefield, fracture, phase, work",5,0.12554258275431715,0.8168970044724316,-1.2514002695239277,275
73,0.5,0.05,0.05,3,2,3,5,"shell, outofplane, midsurface, case, model",5,0.030133120345489945,0.41773953133277975,-1.3820641229038446,275
127,0.5,0.05,0.05,3,1,16,5,"infection, disease, ductile, spread, density",5,-0.0388573455080239,0.5253499993380716,-5.769861977300467,275
128,0.5,0.05,0.05,3,2,7,5,"covid, model, dynamic, new, number",5,0.06055352460836392,0.5283119135237825,-1.4682414862745754,275
155,0.5,0.05,0.05,3,1,18,5,"process, laser, manufacturing, additive, heat",5,0.21758287575668658,0.8295468894855148,-1.4602232561890571,275
188,0.5,0.05,0.05,3,1,23,5,"system, framework, design, model, illustrate",5,0.004128427769223283,0.44009124694664975,-1.6153696801919086,275
198,0.5,0.05,0.05,3,2,4,5,"flow, framework, compressible, turbine, simulation",5,0.15583557484614316,0.5478711717961172,-2.014895930842912,275
205,0.5,0.05,0.05,3,2,7,5,"rotation, crack, element, shell, formulation",5,0.04101426175336717,0.389835130594942,-1.4667802268152028,275
221,0.5,0.05,0.05,3,1,12,5,"timedependent, singular, wave, reproduce, dirichlet",5,-0.056657748467764654,0.3180251407615617,-4.7073212060882605,275
229,0.5,0.05,0.05,3,1,3,5,"field, virtual, data, fullfield, set",5,0.15299855421416547,0.5709518496020047,-2.4587527476070776,275
244,0.5,0.05,0.05,3,1,12,5,"fiber, particle, ratio, orientation, volume",5,0.20309437497195892,0.5649938260533929,-2.108437332614068,275
268,0.5,0.05,0.05,3,2,7,5,"cell, process, within, differentiation, force",5,0.11203623105425513,0.6457502461542475,-2.436714338938733,275
397,0.5,0.05,0.05,3,2,7,5,"grain, laser, stress, residual, thermal",5,0.18544166819531585,0.764814028890561,-1.6865722581635219,275
404,0.5,0.05,0.05,3,2,10,5,"data, datadriven, material, law, constitutive",5,0.1465446066618533,0.673232570917077,-1.3914364348007024,275
440,0.5,0.05,0.05,3,2,6,5,"equation, fractional, differential, derivative, function",5,0.2575694282957331,0.7686856358290493,-1.4244744253218804,275
506,0.5,0.05,0.05,3,1,5,5,"model, provide, particle, identification, develop",5,0.02099089452739842,0.5065121460608991,-2.1810126947274915,275
521,0.5,0.05,0.05,3,1,17,5,"strain, fiber, material, elastic, matrix",5,0.031008244232239874,0.5451108468931597,-1.781605989531182,275
564,0.5,0.05,0.05,3,2,5,5,"melt, powder, process, slm, laser",5,0.43216314510614123,0.9100521582313089,-1.0390247154360475,275
596,0.5,0.05,0.05,3,2,10,5,"beam, multiscale, shear, base, homogenization",5,-0.055402322497448774,0.36946786813790133,-1.8467084133729905,275
642,0.5,0.05,0.05,3,2,6,5,"cluster, interaction, analysis, reduce, matrix",5,0.08963261955701368,0.533643149290735,-1.4594521873816284,275
650,0.5,0.05,0.05,3,2,10,5,"lattice, material, cubic, crystal, stress",5,0.06711198541547608,0.6199833018290504,-1.8538293744870749,275
699,0.5,0.05,0.05,3,2,9,5,"model, uncertainty, prediction, bayesian, performance",5,0.17339424086349237,0.570162498773316,-2.197673240355252,275
777,0.5,0.05,0.05,3,2,12,5,"microstructures, interface, microstructure, material, crystal",5,0.014449497869971831,0.5553388505990082,-1.700140970568858,275
1036,0.5,0.05,0.05,3,1,6,5,"data, network, neural, train, training",5,0.27078270537415644,0.8495929995852791,-1.7172121581379005,275
1149,0.5,0.05,0.05,3,2,9,5,"contact, surface, inhomogeneity, algorithm, adhesive",5,0.03276559650207197,0.5534779786421217,-4.409234904127902,275
1215,0.5,0.05,0.05,3,1,17,5,"reduce, proper, decomposition, snapshot, engineering",5,-0.0498829206516242,0.5792652888762968,-2.318752300324042,275
1310,0.5,0.05,0.05,3,2,11,5,"mesh, element, structure, cisamr, crack",5,0.0005735933394449167,0.5283599329383055,-2.3790458026396,275
1328,0.5,0.05,0.05,3,1,13,5,"function, method, optimization, set, basis",5,0.07470665255932601,0.43187366025008966,-1.9189096066302274,275
1331,0.5,0.05,0.05,3,2,5,5,"formation, band, twin, localization, cut",5,0.17134830201158394,0.6799876227908717,-4.020893833046301,275
1563,0.5,0.05,0.05,3,1,13,5,"strain, parameter, identification, criterion, film",5,-0.0843184682968081,0.37251305843492954,-7.390570424621681,275
1644,0.5,0.05,0.05,3,1,5,5,"source, information, least, cost, graph",5,0.20564282807660716,0.6683414980209887,-2.311148360281067,275
1651,0.5,0.05,0.05,3,2,10,5,"sph, particle, surface, smooth, simulation",5,0.14390410919345573,0.7427092477281385,-1.0466164712872108,275
