parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,1,0.596175080287502,398.0,1.0,0.05,970.0,398.0
0,1,0,582,0.6599700968141572,18.0,1.0,0.05,970.0,18.0
0,1,0,123,0.6543062036108465,13.0,1.0,0.05,970.0,13.0
0,1,0,5,0.6823921471215124,20.0,1.0,0.05,970.0,20.0
0,1,0,1650,0.6616788630126688,15.0,1.0,0.05,970.0,15.0
0,1,0,2741,0.652226686925845,24.0,1.0,0.05,970.0,24.0
0,1,0,2835,0.6782713243193746,21.0,1.0,0.05,970.0,21.0
0,1,0,125,0.6698322631825425,16.0,1.0,0.05,970.0,16.0
0,1,0,41,0.6681299369621796,14.0,1.0,0.05,970.0,14.0
0,1,0,2380,0.6383661782325452,7.0,1.0,0.05,970.0,7.0
0,1,0,4765,0.6751301731770445,11.0,1.0,0.05,970.0,11.0
0,1,0,4972,0.6668067105586675,10.0,1.0,0.05,970.0,10.0
0,1,0,165,0.6611549720001512,18.0,1.0,0.05,970.0,18.0
0,1,0,34,0.6773135690875625,18.0,1.0,0.05,970.0,18.0
0,1,0,7160,0.6645509583907963,9.0,1.0,0.05,970.0,9.0
0,1,0,5571,0.6648433109742548,12.0,1.0,0.05,970.0,12.0
0,1,0,10284,0.6620279182587914,11.0,1.0,0.05,970.0,11.0
0,1,0,81,0.6583113203034109,7.0,1.0,0.05,970.0,7.0
0,1,0,931,0.690501561396944,25.0,1.0,0.05,970.0,25.0
0,1,0,1265,0.6473677759579739,6.0,1.0,0.05,970.0,6.0
0,1,0,1784,0.65485395801519,7.0,1.0,0.05,970.0,7.0
0,1,0,4784,0.678876185322625,8.0,1.0,0.05,970.0,8.0
0,1,0,624,0.6745245588833333,5.0,1.0,0.05,970.0,5.0
0,1,0,13,0.6477888105956817,13.0,1.0,0.05,970.0,13.0
0,1,0,9249,0.6338834906117589,8.0,1.0,0.05,970.0,8.0
0,1,0,209,0.6753451722883688,11.0,1.0,0.05,970.0,11.0
0,1,0,9349,0.6738288106531801,11.0,1.0,0.05,970.0,11.0
0,1,0,7013,0.6531384111123647,12.0,1.0,0.05,970.0,12.0
0,1,0,15643,0.6592529238504673,8.0,1.0,0.05,970.0,8.0
0,1,0,3232,0.6321716381383536,6.0,1.0,0.05,970.0,6.0
0,1,0,79,0.684072439402847,21.0,1.0,0.05,970.0,21.0
0,1,0,16189,0.656370437243339,7.0,1.0,0.05,970.0,7.0
0,1,0,736,0.6810652628384014,15.0,1.0,0.05,970.0,15.0
0,1,0,19757,0.6540268497229258,6.0,1.0,0.05,970.0,6.0
0,1,0,20412,0.6538128040120019,5.0,1.0,0.05,970.0,5.0
0,1,0,2231,0.666248441339374,10.0,1.0,0.05,970.0,10.0
0,1,0,8506,0.669336631922956,10.0,1.0,0.05,970.0,10.0
0,1,0,3776,0.6722153111496568,10.0,1.0,0.05,970.0,10.0
0,1,0,8087,0.6561775056314504,7.0,1.0,0.05,970.0,7.0
0,1,0,422,0.6753253989387616,9.0,1.0,0.05,970.0,9.0
