parent_layer,child_layer,parent_node_id,child_node_id,js_distance,weight_edge,alpha,eta_used,parent_doc_count,child_doc_count
0,1,0,1,0.6284137835009933,374.0,1.0,0.05,970.0,374.0
0,1,0,59,0.6311290895110419,6.0,1.0,0.05,970.0,6.0
0,1,0,235,0.6529655285164494,9.0,1.0,0.05,970.0,9.0
0,1,0,184,0.6383902058823298,5.0,1.0,0.05,970.0,5.0
0,1,0,391,0.6405116794381281,15.0,1.0,0.05,970.0,15.0
0,1,0,1149,0.6712315961646855,8.0,1.0,0.05,970.0,8.0
0,1,0,1603,0.6693908017954519,12.0,1.0,0.05,970.0,12.0
0,1,0,869,0.6723369868569934,17.0,1.0,0.05,970.0,17.0
0,1,0,4058,0.668144296481087,8.0,1.0,0.05,970.0,8.0
0,1,0,808,0.6760949592224467,18.0,1.0,0.05,970.0,18.0
0,1,0,7969,0.6869387188971685,14.0,1.0,0.05,970.0,14.0
0,1,0,1126,0.670191995356483,17.0,1.0,0.05,970.0,17.0
0,1,0,8518,0.6653487291911195,12.0,1.0,0.05,970.0,12.0
0,1,0,5589,0.6629073904457878,10.0,1.0,0.05,970.0,10.0
0,1,0,6691,0.6427244576774229,20.0,1.0,0.05,970.0,20.0
0,1,0,8712,0.6497083195899857,12.0,1.0,0.05,970.0,12.0
0,1,0,12669,0.6653967896139619,7.0,1.0,0.05,970.0,7.0
0,1,0,14265,0.6741221726868536,18.0,1.0,0.05,970.0,18.0
0,1,0,114,0.6765741880628902,22.0,1.0,0.05,970.0,22.0
0,1,0,10810,0.6347653345851519,7.0,1.0,0.05,970.0,7.0
0,1,0,9224,0.6639196821006288,8.0,1.0,0.05,970.0,8.0
0,1,0,3748,0.6775254245429144,14.0,1.0,0.05,970.0,14.0
0,1,0,8600,0.6729793612065077,9.0,1.0,0.05,970.0,9.0
0,1,0,13698,0.6661079714424355,20.0,1.0,0.05,970.0,20.0
0,1,0,1476,0.67452738938373,13.0,1.0,0.05,970.0,13.0
0,1,0,53,0.6651582115974383,13.0,1.0,0.05,970.0,13.0
0,1,0,7389,0.6683762772427525,20.0,1.0,0.05,970.0,20.0
0,1,0,3775,0.6678328388276419,11.0,1.0,0.05,970.0,11.0
0,1,0,97,0.6840279310618552,12.0,1.0,0.05,970.0,12.0
0,1,0,21090,0.6607911019605035,5.0,1.0,0.05,970.0,5.0
0,1,0,3,0.6653514812732393,10.0,1.0,0.05,970.0,10.0
0,1,0,1608,0.6697109834787888,12.0,1.0,0.05,970.0,12.0
0,1,0,988,0.6708968499340071,21.0,1.0,0.05,970.0,21.0
0,1,0,21793,0.6392499526316255,4.0,1.0,0.05,970.0,4.0
0,1,0,6175,0.6760240990524885,12.0,1.0,0.05,970.0,12.0
0,1,0,20083,0.6556639047100264,8.0,1.0,0.05,970.0,8.0
0,1,0,22484,0.6633027641901861,6.0,1.0,0.05,970.0,6.0
0,1,0,350,0.6692398209458085,6.0,1.0,0.05,970.0,6.0
0,1,0,12671,0.672714323237418,8.0,1.0,0.05,970.0,8.0
0,1,0,10366,0.6682385130830493,6.0,1.0,0.05,970.0,6.0
0,1,0,9716,0.6736214808911236,14.0,1.0,0.05,970.0,14.0
0,1,0,2071,0.6549077403672724,12.0,1.0,0.05,970.0,12.0
0,1,0,21369,0.6223815206810561,4.0,1.0,0.05,970.0,4.0
0,1,0,9056,0.6643056918228898,9.0,1.0,0.05,970.0,9.0
0,1,0,24,0.6500033170992938,3.0,1.0,0.05,970.0,3.0
0,1,0,145,0.6822452659860494,8.0,1.0,0.05,970.0,8.0
0,1,0,7752,0.6596964684960834,6.0,1.0,0.05,970.0,6.0
0,1,0,2255,0.6805510878073155,8.0,1.0,0.05,970.0,8.0
0,1,0,10804,0.6581387321055936,7.0,1.0,0.05,970.0,7.0
0,1,0,23309,0.6517405052445938,5.0,1.0,0.05,970.0,5.0
0,1,0,128,0.6574915084234522,13.0,1.0,0.05,970.0,13.0
0,1,0,14547,0.6827549517464677,10.0,1.0,0.05,970.0,10.0
0,1,0,24196,0.6491508779070212,3.0,1.0,0.05,970.0,3.0
0,1,0,23469,0.6525139076071621,2.0,1.0,0.05,970.0,2.0
0,1,0,22598,0.6451477708339669,4.0,1.0,0.05,970.0,4.0
0,1,0,9429,0.6659961869394587,3.0,1.0,0.05,970.0,3.0
0,1,0,17331,0.6592714934652495,5.0,1.0,0.05,970.0,5.0
0,1,0,16275,0.6175153724873066,3.0,1.0,0.05,970.0,3.0
0,1,0,23639,0.6515434089651082,6.0,1.0,0.05,970.0,6.0
0,1,0,24442,0.6326478751415308,3.0,1.0,0.05,970.0,3.0
0,1,0,23460,0.6528553294967584,3.0,1.0,0.05,970.0,3.0
0,1,0,22875,0.6708726434469944,6.0,1.0,0.05,970.0,6.0
0,1,0,18239,0.6348210807680877,2.0,1.0,0.05,970.0,2.0
0,1,0,24612,0.6310504379894414,2.0,1.0,0.05,970.0,2.0
1,2,1,2,0.7385735281522591,127.0,1.0,0.05,374.0,127.0
1,2,1,162,0.7227454005493851,11.0,1.0,0.05,374.0,11.0
1,2,1,516,0.6971590453656794,4.0,1.0,0.05,374.0,4.0
1,2,1,602,0.723300166850547,13.0,1.0,0.05,374.0,13.0
1,2,1,611,0.7088584006167641,13.0,1.0,0.05,374.0,13.0
1,2,1,825,0.7085271984519718,9.0,1.0,0.05,374.0,9.0
1,2,1,1303,0.6942535130355136,11.0,1.0,0.05,374.0,11.0
1,2,1,1518,0.7129358763303939,6.0,1.0,0.05,374.0,6.0
1,2,1,1645,0.6774704677243305,4.0,1.0,0.05,374.0,4.0
1,2,1,2494,0.7042717985485567,6.0,1.0,0.05,374.0,6.0
1,2,1,2922,0.6796144302695196,14.0,1.0,0.05,374.0,14.0
1,2,1,3474,0.7071348899323503,14.0,1.0,0.05,374.0,14.0
1,2,1,3589,0.6704442222976167,3.0,1.0,0.05,374.0,3.0
1,2,1,7836,0.6816903302078022,9.0,1.0,0.05,374.0,9.0
1,2,1,8027,0.6801219643826598,10.0,1.0,0.05,374.0,10.0
1,2,1,8105,0.6644383766219929,3.0,1.0,0.05,374.0,3.0
1,2,1,8916,0.7050815108406565,9.0,1.0,0.05,374.0,9.0
1,2,1,9119,0.7082695553319033,9.0,1.0,0.05,374.0,9.0
1,2,1,10335,0.6555460841202062,4.0,1.0,0.05,374.0,4.0
1,2,1,11179,0.6810261167602353,4.0,1.0,0.05,374.0,4.0
1,2,1,11230,0.702737809469786,7.0,1.0,0.05,374.0,7.0
1,2,1,11400,0.688178899105997,12.0,1.0,0.05,374.0,12.0
1,2,1,12495,0.687723868433641,7.0,1.0,0.05,374.0,7.0
1,2,1,13088,0.6705136919152781,2.0,1.0,0.05,374.0,2.0
1,2,1,13381,0.708976775774871,9.0,1.0,0.05,374.0,9.0
1,2,1,17666,0.6774854455836267,7.0,1.0,0.05,374.0,7.0
1,2,1,19597,0.6739784858585274,4.0,1.0,0.05,374.0,4.0
1,2,1,21020,0.6704338363096508,9.0,1.0,0.05,374.0,9.0
1,2,1,22774,0.6895224723725801,4.0,1.0,0.05,374.0,4.0
1,2,1,23832,0.6582810231702982,2.0,1.0,0.05,374.0,2.0
1,2,1,24011,0.6843206636021758,4.0,1.0,0.05,374.0,4.0
1,2,1,24027,0.6905429510987033,4.0,1.0,0.05,374.0,4.0
1,2,1,24115,0.651892342204966,2.0,1.0,0.05,374.0,2.0
1,2,1,24375,0.6549249225476118,2.0,1.0,0.05,374.0,2.0
1,2,1,24396,0.6545566610330213,2.0,1.0,0.05,374.0,2.0
1,2,1,24417,0.648826994273392,2.0,1.0,0.05,374.0,2.0
1,2,1,24435,0.7061383295118765,2.0,1.0,0.05,374.0,2.0
1,2,1,24448,0.658977614675974,3.0,1.0,0.05,374.0,3.0
1,2,1,24478,0.6596089015091421,2.0,1.0,0.05,374.0,2.0
1,2,1,24591,0.6405974599810069,374.0,1.0,0.05,374.0,1.0
1,2,1,24605,0.6571758328216202,2.0,1.0,0.05,374.0,2.0
1,2,1,24628,0.6383413602211307,2.0,1.0,0.05,374.0,2.0
1,2,869,4813,0.6569760622628776,5.0,1.0,0.05,17.0,5.0
1,2,869,20682,0.6481308420366249,7.0,1.0,0.05,17.0,7.0
1,2,869,24527,0.6001839051406479,3.0,1.0,0.05,17.0,3.0
1,2,869,24609,0.5798490834096138,17.0,1.0,0.05,17.0,1.0
1,2,869,24615,0.6299572591371541,17.0,1.0,0.05,17.0,1.0
1,2,1603,2969,0.651745189626823,12.0,1.0,0.05,12.0,12.0
1,2,24,23722,0.4948709120330405,3.0,1.0,0.05,3.0,3.0
1,2,3775,20914,0.6128518332619597,6.0,1.0,0.05,11.0,6.0
1,2,3775,23311,0.5750278238880374,3.0,1.0,0.05,11.0,3.0
1,2,3775,24610,0.5780066608661049,11.0,1.0,0.05,11.0,1.0
1,2,3775,24627,0.5866251978205944,11.0,1.0,0.05,11.0,1.0
1,2,8712,10781,0.6426879282697152,10.0,1.0,0.05,12.0,10.0
1,2,8712,24635,0.5711283686063128,12.0,1.0,0.05,12.0,1.0
1,2,8712,24636,0.5579006396875422,12.0,1.0,0.05,12.0,1.0
1,2,3,21542,0.640054030884425,10.0,1.0,0.05,10.0,10.0
1,2,184,617,0.5240595327369151,2.0,1.0,0.05,5.0,2.0
1,2,184,24267,0.4804034443196951,2.0,1.0,0.05,5.0,2.0
1,2,184,24602,0.5466429974535867,5.0,1.0,0.05,5.0,1.0
1,2,9056,23669,0.5703150891189884,3.0,1.0,0.05,9.0,3.0
1,2,9056,24421,0.5594469187807952,2.0,1.0,0.05,9.0,2.0
1,2,9056,24496,0.5450082607545808,2.0,1.0,0.05,9.0,2.0
1,2,9056,24565,0.5659839114184507,2.0,1.0,0.05,9.0,2.0
1,2,808,7940,0.6538250014681402,8.0,1.0,0.05,18.0,8.0
1,2,808,12870,0.6334368954138272,4.0,1.0,0.05,18.0,4.0
1,2,808,23386,0.6130962909452378,2.0,1.0,0.05,18.0,2.0
1,2,808,24391,0.5837787214641676,2.0,1.0,0.05,18.0,2.0
1,2,808,24477,0.6113192850134042,18.0,1.0,0.05,18.0,1.0
1,2,808,24632,0.5821853024107919,18.0,1.0,0.05,18.0,1.0
1,2,128,24063,0.6463398978709449,5.0,1.0,0.05,13.0,5.0
1,2,128,24412,0.6407440698162536,3.0,1.0,0.05,13.0,3.0
1,2,128,24552,0.6315536087139056,3.0,1.0,0.05,13.0,3.0
1,2,128,24640,0.6049610855758828,13.0,1.0,0.05,13.0,1.0
1,2,128,24643,0.61699648059542,13.0,1.0,0.05,13.0,1.0
1,2,350,22925,0.6033482442091981,4.0,1.0,0.05,6.0,4.0
1,2,350,24309,0.5916136772205997,2.0,1.0,0.05,6.0,2.0
1,2,391,1074,0.6914670637504201,6.0,1.0,0.05,15.0,6.0
1,2,391,24136,0.6488591515465728,3.0,1.0,0.05,15.0,3.0
1,2,391,24355,0.6457100351843233,2.0,1.0,0.05,15.0,2.0
1,2,391,24384,0.6471546127362763,3.0,1.0,0.05,15.0,3.0
1,2,391,24488,0.640409878085958,15.0,1.0,0.05,15.0,1.0
1,2,1126,8279,0.6390176374686581,5.0,1.0,0.05,17.0,5.0
1,2,1126,13315,0.6223892404897955,5.0,1.0,0.05,17.0,5.0
1,2,1126,24363,0.6046183404315192,3.0,1.0,0.05,17.0,3.0
1,2,1126,24603,0.6582837413132895,3.0,1.0,0.05,17.0,3.0
1,2,1126,24604,0.5677559622857147,17.0,1.0,0.05,17.0,1.0
1,2,7969,8076,0.6570632276882366,8.0,1.0,0.05,14.0,8.0
1,2,7969,22236,0.6254803246622248,3.0,1.0,0.05,14.0,3.0
1,2,7969,24430,0.6420103162188969,3.0,1.0,0.05,14.0,3.0
1,2,988,21649,0.6398816064394,5.0,1.0,0.05,21.0,5.0
1,2,988,23763,0.6416490903081123,2.0,1.0,0.05,21.0,2.0
1,2,988,23876,0.660634009168855,5.0,1.0,0.05,21.0,5.0
1,2,988,23908,0.6144774725870825,3.0,1.0,0.05,21.0,3.0
1,2,988,24076,0.6166412238820511,3.0,1.0,0.05,21.0,3.0
1,2,988,24541,0.6302606333084105,2.0,1.0,0.05,21.0,2.0
1,2,988,24620,0.5916847466147958,21.0,1.0,0.05,21.0,1.0
1,2,8600,16487,0.644341603396926,7.0,1.0,0.05,9.0,7.0
1,2,8600,23779,0.57965656766354,2.0,1.0,0.05,9.0,2.0
1,2,1476,20144,0.5894356117634802,3.0,1.0,0.05,13.0,3.0
1,2,1476,23477,0.5812068618996173,2.0,1.0,0.05,13.0,2.0
1,2,1476,23973,0.5873004474050527,2.0,1.0,0.05,13.0,2.0
1,2,1476,24399,0.5719855752460995,2.0,1.0,0.05,13.0,2.0
1,2,1476,24507,0.5567288464145211,13.0,1.0,0.05,13.0,1.0
1,2,1476,24593,0.5797766064593213,2.0,1.0,0.05,13.0,2.0
1,2,1476,24599,0.5190111557641844,13.0,1.0,0.05,13.0,1.0
1,2,8518,8737,0.6370073512724773,12.0,1.0,0.05,12.0,12.0
1,2,97,21075,0.6458489892369184,7.0,1.0,0.05,12.0,7.0
1,2,97,24069,0.6342072925616842,3.0,1.0,0.05,12.0,3.0
1,2,97,24572,0.6070855580930021,12.0,1.0,0.05,12.0,1.0
1,2,97,24598,0.5802680608793829,12.0,1.0,0.05,12.0,1.0
1,2,114,14525,0.6527028927251289,4.0,1.0,0.05,22.0,4.0
1,2,114,20065,0.6816445373701022,5.0,1.0,0.05,22.0,5.0
1,2,114,23315,0.6606209207702093,4.0,1.0,0.05,22.0,4.0
1,2,114,24505,0.660550732555072,3.0,1.0,0.05,22.0,3.0
1,2,114,24580,0.6477584793592188,2.0,1.0,0.05,22.0,2.0
1,2,114,24594,0.6430192181897492,22.0,1.0,0.05,22.0,1.0
1,2,114,24618,0.6316954900338341,22.0,1.0,0.05,22.0,1.0
1,2,114,24637,0.6448256106097027,22.0,1.0,0.05,22.0,1.0
1,2,114,24639,0.6447349407803646,22.0,1.0,0.05,22.0,1.0
1,2,6691,10072,0.6608730263599208,9.0,1.0,0.05,20.0,9.0
1,2,6691,21728,0.660613524499914,6.0,1.0,0.05,20.0,6.0
1,2,6691,23433,0.6028212765245948,3.0,1.0,0.05,20.0,3.0
1,2,6691,24543,0.6004189865261333,20.0,1.0,0.05,20.0,1.0
1,2,6691,24641,0.5430136690440502,20.0,1.0,0.05,20.0,1.0
1,2,235,425,0.6392077168560664,6.0,1.0,0.05,9.0,6.0
1,2,235,24263,0.5698466984518087,3.0,1.0,0.05,9.0,3.0
1,2,145,23758,0.6414046792606914,4.0,1.0,0.05,8.0,4.0
1,2,145,24036,0.6309805559963765,3.0,1.0,0.05,8.0,3.0
1,2,145,24563,0.5500847715432099,8.0,1.0,0.05,8.0,1.0
1,2,3748,15674,0.629717023938097,6.0,1.0,0.05,14.0,6.0
1,2,3748,24504,0.5864850713505264,2.0,1.0,0.05,14.0,2.0
1,2,3748,24536,0.596229823366274,2.0,1.0,0.05,14.0,2.0
1,2,3748,24575,0.6042381572633854,2.0,1.0,0.05,14.0,2.0
1,2,3748,24629,0.6239842813777987,2.0,1.0,0.05,14.0,2.0
1,2,59,102,0.5835745506454332,4.0,1.0,0.05,6.0,4.0
1,2,59,24328,0.49952059918945896,2.0,1.0,0.05,6.0,2.0
1,2,2255,24016,0.620382990922367,4.0,1.0,0.05,8.0,4.0
1,2,2255,24215,0.6032627546314532,3.0,1.0,0.05,8.0,3.0
1,2,2255,24583,0.5515555287682391,8.0,1.0,0.05,8.0,1.0
1,2,9429,24288,0.5169775805541205,2.0,1.0,0.05,3.0,2.0
1,2,9429,24614,0.5833691209470669,3.0,1.0,0.05,3.0,1.0
1,2,1149,2321,0.6410473152014904,2.0,1.0,0.05,8.0,2.0
1,2,1149,23466,0.6356625133547938,4.0,1.0,0.05,8.0,4.0
1,2,1149,24335,0.6201154734947872,2.0,1.0,0.05,8.0,2.0
1,2,2071,23411,0.6287557861633699,3.0,1.0,0.05,12.0,3.0
1,2,2071,24388,0.6279171490500397,2.0,1.0,0.05,12.0,2.0
1,2,2071,24554,0.6605507430939486,3.0,1.0,0.05,12.0,3.0
1,2,2071,24587,0.6535063532665563,2.0,1.0,0.05,12.0,2.0
1,2,2071,24611,0.620054020246922,12.0,1.0,0.05,12.0,1.0
1,2,2071,24621,0.6402032370244729,12.0,1.0,0.05,12.0,1.0
1,2,6175,22077,0.6147785144128927,4.0,1.0,0.05,12.0,4.0
1,2,6175,24025,0.6171912703327699,4.0,1.0,0.05,12.0,4.0
1,2,6175,24257,0.6212694876375241,2.0,1.0,0.05,12.0,2.0
1,2,6175,24597,0.6781496870187333,2.0,1.0,0.05,12.0,2.0
1,2,4058,6567,0.62531765247901,4.0,1.0,0.05,8.0,4.0
1,2,4058,24511,0.5331459890104742,2.0,1.0,0.05,8.0,2.0
1,2,4058,24595,0.5592941379325399,8.0,1.0,0.05,8.0,1.0
1,2,4058,24616,0.5514460524367543,8.0,1.0,0.05,8.0,1.0
1,2,53,20704,0.6263975382145341,2.0,1.0,0.05,13.0,2.0
1,2,53,23991,0.5985034206075976,2.0,1.0,0.05,13.0,2.0
1,2,53,24168,0.6311082459217151,4.0,1.0,0.05,13.0,4.0
1,2,53,24523,0.6437746667017119,2.0,1.0,0.05,13.0,2.0
1,2,53,24606,0.552948380937417,2.0,1.0,0.05,13.0,2.0
1,2,53,24623,0.583982508241187,13.0,1.0,0.05,13.0,1.0
1,2,1608,21621,0.6280214550815009,2.0,1.0,0.05,12.0,2.0
1,2,1608,23717,0.6230409833014385,9.0,1.0,0.05,12.0,9.0
1,2,1608,24601,0.6098911895098283,12.0,1.0,0.05,12.0,1.0
1,2,7752,23951,0.5969111751533602,6.0,1.0,0.05,6.0,6.0
1,2,5589,9087,0.595295588458244,5.0,1.0,0.05,10.0,5.0
1,2,5589,22436,0.5619849428058766,2.0,1.0,0.05,10.0,2.0
1,2,5589,24040,0.5317199382826708,3.0,1.0,0.05,10.0,3.0
1,2,9224,14948,0.6268506103370503,7.0,1.0,0.05,8.0,7.0
1,2,9224,24592,0.5372824068755928,8.0,1.0,0.05,8.0,1.0
1,2,7389,20872,0.6373219997164987,3.0,1.0,0.05,20.0,3.0
1,2,7389,22160,0.6536034150223009,7.0,1.0,0.05,20.0,7.0
1,2,7389,24208,0.5970669943356545,4.0,1.0,0.05,20.0,4.0
1,2,7389,24305,0.5671659713165177,2.0,1.0,0.05,20.0,2.0
1,2,7389,24567,0.563115469566935,2.0,1.0,0.05,20.0,2.0
1,2,7389,24589,0.5612437094490828,20.0,1.0,0.05,20.0,1.0
1,2,7389,24590,0.6044137970272359,20.0,1.0,0.05,20.0,1.0
1,2,9716,23399,0.6427042284736506,4.0,1.0,0.05,14.0,4.0
1,2,9716,24287,0.6429020808945628,5.0,1.0,0.05,14.0,5.0
1,2,9716,24475,0.6193220985343897,2.0,1.0,0.05,14.0,2.0
1,2,9716,24482,0.646493884749525,2.0,1.0,0.05,14.0,2.0
1,2,9716,24631,0.587620210478068,14.0,1.0,0.05,14.0,1.0
1,2,10366,23313,0.593712089738529,4.0,1.0,0.05,6.0,4.0
1,2,10366,24459,0.4430179677665266,2.0,1.0,0.05,6.0,2.0
1,2,10804,24037,0.6102975032365296,3.0,1.0,0.05,7.0,3.0
1,2,10804,24503,0.5369097316990497,7.0,1.0,0.05,7.0,1.0
1,2,10804,24553,0.5392209824221733,2.0,1.0,0.05,7.0,2.0
1,2,10804,24588,0.5638654183713667,7.0,1.0,0.05,7.0,1.0
1,2,10810,14616,0.584673175458343,5.0,1.0,0.05,7.0,5.0
1,2,10810,24569,0.36977636803382113,7.0,1.0,0.05,7.0,1.0
1,2,10810,24619,0.512215145934345,7.0,1.0,0.05,7.0,1.0
1,2,12669,13012,0.5944246831153186,5.0,1.0,0.05,7.0,5.0
1,2,12669,24596,0.5539465251641823,2.0,1.0,0.05,7.0,2.0
1,2,12671,22939,0.6124759895469761,3.0,1.0,0.05,8.0,3.0
1,2,12671,24303,0.5371388718741972,2.0,1.0,0.05,8.0,2.0
1,2,12671,24498,0.5839736060465808,2.0,1.0,0.05,8.0,2.0
1,2,12671,24607,0.4819114219947827,8.0,1.0,0.05,8.0,1.0
1,2,13698,16759,0.6374422747396647,5.0,1.0,0.05,20.0,5.0
1,2,13698,21944,0.6566150906039658,5.0,1.0,0.05,20.0,5.0
1,2,13698,23847,0.6137055732556937,2.0,1.0,0.05,20.0,2.0
1,2,13698,24095,0.6398003480397673,6.0,1.0,0.05,20.0,6.0
1,2,13698,24479,0.6147211867827338,20.0,1.0,0.05,20.0,1.0
1,2,13698,24626,0.5780077307646461,20.0,1.0,0.05,20.0,1.0
1,2,14265,14416,0.6268836521503266,11.0,1.0,0.05,18.0,11.0
1,2,14265,22969,0.5965936009200056,2.0,1.0,0.05,18.0,2.0
1,2,14265,24600,0.616565598909301,2.0,1.0,0.05,18.0,2.0
1,2,14265,24633,0.5748621312551508,18.0,1.0,0.05,18.0,1.0
1,2,14265,24638,0.5993385478975718,18.0,1.0,0.05,18.0,1.0
1,2,14265,24642,0.5807393512230944,18.0,1.0,0.05,18.0,1.0
1,2,14547,24173,0.5969068740439536,7.0,1.0,0.05,10.0,7.0
1,2,14547,24207,0.5488858477103078,3.0,1.0,0.05,10.0,3.0
1,2,16275,24397,0.42188258725098865,2.0,1.0,0.05,3.0,2.0
1,2,16275,24634,0.372371984234565,3.0,1.0,0.05,3.0,1.0
1,2,17331,24302,0.5575604327440025,5.0,1.0,0.05,5.0,5.0
1,2,18239,24608,0.4605530865516559,2.0,1.0,0.05,2.0,2.0
1,2,20083,22208,0.5868363816943231,5.0,1.0,0.05,8.0,5.0
1,2,20083,24008,0.5880721985600964,2.0,1.0,0.05,8.0,2.0
1,2,20083,24630,0.5521460370524879,8.0,1.0,0.05,8.0,1.0
1,2,21090,21427,0.5247193302481982,3.0,1.0,0.05,5.0,3.0
1,2,21090,24550,0.5418771493197485,2.0,1.0,0.05,5.0,2.0
1,2,21369,23542,0.5538260128000139,4.0,1.0,0.05,4.0,4.0
1,2,21793,21794,0.5680018222834416,4.0,1.0,0.05,4.0,4.0
1,2,22484,22485,0.6061257439310608,5.0,1.0,0.05,6.0,5.0
1,2,22484,24617,0.516377264607268,6.0,1.0,0.05,6.0,1.0
1,2,22598,24242,0.523102779080636,4.0,1.0,0.05,4.0,4.0
1,2,22875,24546,0.5024578462306759,2.0,1.0,0.05,6.0,2.0
1,2,22875,24566,0.6201175298532684,3.0,1.0,0.05,6.0,3.0
1,2,22875,24622,0.5631715788988948,6.0,1.0,0.05,6.0,1.0
1,2,23309,24042,0.5054035825749368,3.0,1.0,0.05,5.0,3.0
1,2,23309,24439,0.5530207945135809,2.0,1.0,0.05,5.0,2.0
1,2,23460,24493,0.6313147285651178,3.0,1.0,0.05,3.0,3.0
1,2,23469,24206,0.43380784723034377,2.0,1.0,0.05,2.0,2.0
1,2,23639,24420,0.5466437041351802,5.0,1.0,0.05,6.0,5.0
1,2,23639,24624,0.5119596693126439,6.0,1.0,0.05,6.0,1.0
1,2,24196,24197,0.44631428107924953,2.0,1.0,0.05,3.0,2.0
1,2,24196,24625,0.5381505271090555,3.0,1.0,0.05,3.0,1.0
1,2,24442,24450,0.5715817450592386,3.0,1.0,0.05,3.0,3.0
1,2,24612,24613,0.5471349631626127,2.0,1.0,0.05,2.0,2.0
