iteration,leaf_node_id,document_count,documents_in_path,path_created_this_iteration,layer_0_node_id,layer_1_node_id,layer_2_node_id
0,2,107,"[12, 19, 28, 30, 31, 32, 35, 42, 50, 56, 57, 72, 75, 89, 93, 97, 105, 108, 116, 130, 133, 144, 149, 155, 161, 167, 168, 175, 194, 221, 245, 246, 263, 265, 280, 291, 296, 299, 316, 317, 326, 344, 357, 361, 379, 382, 408, 421, 432, 433, 452, 458, 477, 510, 511, 520, 527, 536, 544, 574, 575, 576, 595, 596, 609, 620, 622, 623, 626, 632, 635, 641, 666, 670, 675, 687, 688, 709, 729, 730, 732, 733, 740, 748, 751, 767, 773, 776, 783, 784, 789, 792, 800, 801, 815, 839, 842, 880, 894, 907, 909, 911, 916, 919, 922, 939, 966]",False,0,1,2
0,127,3,"[404, 717, 756]",False,0,9,127
0,168,6,"[104, 178, 629, 768, 951, 965]",False,0,160,168
0,246,9,"[51, 78, 131, 238, 309, 352, 388, 487, 809]",False,0,1,246
0,262,7,"[65, 228, 535, 562, 614, 621, 790]",False,0,1,262
0,311,7,"[588, 602, 636, 647, 648, 719, 744]",False,0,1,311
0,353,12,"[38, 199, 211, 363, 471, 472, 607, 633, 750, 870, 885, 964]",False,0,1,353
0,630,2,"[415, 516]",False,0,312,630
0,708,8,"[11, 237, 321, 331, 372, 392, 401, 528]",False,0,114,708
0,715,9,"[63, 117, 180, 358, 479, 779, 781, 808, 840]",False,0,1,715
0,745,10,"[33, 92, 183, 243, 373, 455, 526, 766, 855, 935]",False,0,1,745
0,757,8,"[3, 119, 181, 250, 262, 366, 457, 848]",False,0,1,757
0,855,7,"[84, 288, 555, 584, 712, 761, 931]",False,0,1,855
0,908,9,"[174, 201, 227, 330, 422, 579, 651, 718, 812]",False,0,1,908
0,914,3,"[166, 649, 752]",False,0,1,914
0,1082,3,"[21, 377, 786]",False,0,1,1082
0,1095,4,"[354, 545, 552, 967]",False,0,1,1095
0,1142,5,"[49, 154, 816, 857, 872]",False,0,1,1142
0,1147,20,"[81, 107, 140, 260, 269, 342, 381, 387, 428, 475, 491, 501, 593, 657, 693, 708, 851, 892, 908, 914]",False,0,1,1147
0,1232,8,"[147, 215, 249, 282, 286, 298, 350, 788]",False,0,1,1232
0,1259,6,"[95, 159, 541, 546, 684, 921]",False,0,1,1259
0,1285,5,"[86, 259, 418, 654, 705]",False,0,1,1285
0,1411,5,"[214, 465, 473, 903, 943]",False,0,1293,1411
0,1414,6,"[52, 74, 394, 806, 891, 947]",False,0,1,1414
0,1522,5,"[127, 525, 722, 926, 956]",False,0,1,1522
0,1561,9,"[272, 289, 554, 557, 624, 645, 664, 678, 923]",False,0,1,1561
