node_id,alpha,eta,gamma,depth,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,1.0,0.05,0.05,3,0,970,5,"model, method, use, propose, numerical",5,0.005133950278135126,0.5174253898850809,-0.57009880163444,245
1,1.0,0.05,0.05,3,1,474,5,"method, element, problem, finite, propose",5,0.1096758936172831,0.587083466922562,-0.6053550676729291,245
2551,1.0,0.05,0.05,3,2,10,5,"method, nonlinear, fast, scheme, transformation",5,-0.0917733239215618,0.42176335228065975,-2.5197929557255807,245
5802,1.0,0.05,0.05,3,2,8,5,"equation, stabilizer, wave, domain, acoustic",5,-0.0566189482204944,0.41930819827987714,-8.15623842050287,245
400,1.0,0.05,0.05,3,1,4,5,"covid, number, pandemic, dynamic, explore",5,0.2478290230134302,0.7436070855656067,-1.74939772742341,245
8385,1.0,0.05,0.05,3,2,5,5,"reduction, structure, use, article, damage",5,-0.07647631891315736,0.3715900868351872,-2.3325804731277695,245
708,1.0,0.05,0.05,3,2,10,5,"process, predict, part, residual, additive",5,0.22805893151841455,0.7089635750118503,-2.0393901008404796,245
2,1.0,0.05,0.05,3,2,32,5,"crack, composite, microstructure, damage, fiber",5,0.09119235366690921,0.6304296168863696,-2.1328383572119587,245
6400,1.0,0.05,0.05,3,1,10,5,"order, parameterized, reduce, two, example",5,0.03097794631877938,0.4081963496906712,-1.6165409524411962,245
7230,1.0,0.05,0.05,3,2,6,5,"field, phase, crack, model, fracture",5,0.12421941733142072,0.6984364715352663,-1.2125814844475236,245
6250,1.0,0.05,0.05,3,1,4,5,"basis, function, domain, vector, matrix",5,0.10742835737974303,0.4784414424129818,-1.8307180897059048,245
3876,1.0,0.05,0.05,3,1,24,5,"process, manufacturing, additive, material, structure",5,0.21265368854239938,0.610973088210679,-1.1169415448060624,245
745,1.0,0.05,0.05,3,2,8,5,"eng, comput, et, al, mech",5,0.7414413740885185,0.9899769797300513,-0.28819199545900653,245
353,1.0,0.05,0.05,3,2,7,5,"differential, fractional, equation, method, order",5,0.14728102794915177,0.5837926688430098,-0.8759717048032465,245
2223,1.0,0.05,0.05,3,2,3,5,"structural, identification, response, signal, dynamic",5,0.14501168906584433,0.6981238711622314,-2.1962580087762404,245
3748,1.0,0.05,0.05,3,2,8,5,"error, basis, estimate, bound, pod",5,0.11871877564398226,0.5847721178846512,-2.4836030249356362,245
181,1.0,0.05,0.05,3,1,7,5,"matrix, bem, fast, solve, new",5,0.15006032713306786,0.5691209982525043,-1.633115725584661,245
3284,1.0,0.05,0.05,3,1,11,5,"crack, fracture, anisotropic, phasefield, material",5,0.19245949487148387,0.8159812639435989,-1.2005084181758354,245
1142,1.0,0.05,0.05,3,2,4,5,"mesh, standard, algorithm, scheme, stage",5,0.02568272614183707,0.4758733982745724,-2.4698082583771335,245
246,1.0,0.05,0.05,3,2,8,5,"stochastic, response, random, couple, uncertainty",5,0.1282708213851797,0.6691632291886961,-1.987042748650698,245
1414,1.0,0.05,0.05,3,2,4,5,"spacetime, enrichment, equation, matrix, implementation",5,0.03524621962772263,0.49332007927700017,-1.8253496042991812,245
6554,1.0,0.05,0.05,3,1,5,5,"yield, surface, rod, crosssection, form",5,0.07246109820233566,0.4766544692612381,-2.4753364273992013,245
4745,1.0,0.05,0.05,3,2,7,5,"composite, crack, delamination, interface, damage",5,0.13690054832950946,0.6445734507955608,-1.6518799428079316,245
262,1.0,0.05,0.05,3,2,7,5,"lock, strain, shell, solidshell, formulation",5,0.1582632295755608,0.801773228466315,-1.4012235502477706,245
5904,1.0,0.05,0.05,3,2,5,5,"mesh, element, cisamr, conform, structure",5,0.1814717704443944,0.6398419673028262,-1.8864459880146587,245
9,1.0,0.05,0.05,3,1,10,5,"flow, computational, method, st, discretization",5,0.13485923345442838,0.612755973049982,-1.527031678539196,245
1147,1.0,0.05,0.05,3,2,12,5,"contact, body, formulation, pointwise, mesh",5,0.1169621417159337,0.5265435746292166,-1.8470115131152334,245
855,1.0,0.05,0.05,3,2,7,5,"plate, shear, thin, displacement, stress",5,0.16740202631300521,0.7200831844119836,-1.3280793612090942,245
1285,1.0,0.05,0.05,3,2,9,5,"fluid, medium, porous, principle, fracture",5,0.011524640917200818,0.6007288866259725,-2.1396170847723956,245
1259,1.0,0.05,0.05,3,2,8,5,"optimization, topology, material, structural, design",5,0.2221380095788683,0.5476841823254956,-1.268429467698692,245
1551,1.0,0.05,0.05,3,1,4,5,"input, adopt, history, name, synthetic",5,0.09395195845073226,0.5098316824580511,-2.3674891362810353,245
1780,1.0,0.05,0.05,3,2,9,5,"optimization, shape, sensitivity, gradient, process",5,0.13039063495286735,0.5437696516037908,-1.726059238943139,245
3240,1.0,0.05,0.05,3,2,6,5,"system, solution, linear, iterative, matrix",5,0.09620210299982242,0.5640713570356894,-1.8126544523797186,245
3513,1.0,0.05,0.05,3,2,16,5,"element, rotation, shell, displacement, nonlocal",5,-0.05823281469789471,0.37200473566962977,-4.643719860577263,245
