node_id,alpha,eta,gamma,depth,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,global_npmi,global_c_v,global_u_mass,iteration,layer,document_count
0,1.0,0.05,0.05,3,5,"model, method, use, propose, numerical",5,0.0051339502781351,0.5174253898850809,-0.57009880163444,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,0,970
1,1.0,0.05,0.05,3,5,"method, element, problem, finite, propose",5,0.1096758936172831,0.587083466922562,-0.6053550676729291,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,474
2551,1.0,0.05,0.05,3,5,"method, nonlinear, fast, scheme, transformation",5,-0.0917733239215618,0.4217633522806597,-2.5197929557255807,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,10
5802,1.0,0.05,0.05,3,5,"equation, stabilizer, wave, domain, acoustic",5,-0.0566189482204944,0.4193081982798771,-8.15623842050287,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,8
400,1.0,0.05,0.05,3,5,"covid, number, pandemic, dynamic, explore",5,0.2478290230134302,0.7436070855656067,-1.74939772742341,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,4
8385,1.0,0.05,0.05,3,5,"reduction, structure, use, article, damage",5,-0.0764763189131573,0.3715900868351872,-2.332580473127769,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,5
708,1.0,0.05,0.05,3,5,"process, predict, part, residual, additive",5,0.2280589315184145,0.7089635750118503,-2.03939010084048,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,10
2,1.0,0.05,0.05,3,5,"crack, composite, microstructure, damage, fiber",5,0.0911923536669092,0.6304296168863696,-2.1328383572119587,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,32
6400,1.0,0.05,0.05,3,5,"order, parameterized, reduce, two, example",5,0.0309779463187793,0.4081963496906712,-1.6165409524411962,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,10
7230,1.0,0.05,0.05,3,5,"field, phase, crack, model, fracture",5,0.1242194173314207,0.6984364715352663,-1.2125814844475236,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,6
6250,1.0,0.05,0.05,3,5,"basis, function, domain, vector, matrix",5,0.107428357379743,0.4784414424129818,-1.8307180897059048,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,4
3876,1.0,0.05,0.05,3,5,"process, manufacturing, additive, material, structure",5,0.2126536885423993,0.610973088210679,-1.1169415448060624,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,24
745,1.0,0.05,0.05,3,5,"eng, comput, et, al, mech",5,0.7414413740885185,0.9899769797300512,-0.2881919954590065,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,8
353,1.0,0.05,0.05,3,5,"differential, fractional, equation, method, order",5,0.1472810279491517,0.5837926688430098,-0.8759717048032465,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,7
2223,1.0,0.05,0.05,3,5,"structural, identification, response, signal, dynamic",5,0.1450116890658443,0.6981238711622314,-2.1962580087762404,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,3
3748,1.0,0.05,0.05,3,5,"error, basis, estimate, bound, pod",5,0.1187187756439822,0.5847721178846512,-2.483603024935636,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,8
181,1.0,0.05,0.05,3,5,"matrix, bem, fast, solve, new",5,0.1500603271330678,0.5691209982525043,-1.633115725584661,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,7
3284,1.0,0.05,0.05,3,5,"crack, fracture, anisotropic, phasefield, material",5,0.1924594948714838,0.8159812639435989,-1.2005084181758354,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,11
1142,1.0,0.05,0.05,3,5,"mesh, standard, algorithm, scheme, stage",5,0.025682726141837,0.4758733982745724,-2.469808258377133,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,4
246,1.0,0.05,0.05,3,5,"stochastic, response, random, couple, uncertainty",5,0.1282708213851797,0.6691632291886961,-1.987042748650698,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,8
1414,1.0,0.05,0.05,3,5,"spacetime, enrichment, equation, matrix, implementation",5,0.0352462196277226,0.4933200792770001,-1.8253496042991808,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,4
6554,1.0,0.05,0.05,3,5,"yield, surface, rod, crosssection, form",5,0.0724610982023356,0.4766544692612381,-2.4753364273992013,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,5
4745,1.0,0.05,0.05,3,5,"composite, crack, delamination, interface, damage",5,0.1369005483295094,0.6445734507955608,-1.6518799428079316,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,7
262,1.0,0.05,0.05,3,5,"lock, strain, shell, solidshell, formulation",5,0.1582632295755608,0.801773228466315,-1.4012235502477706,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,7
5904,1.0,0.05,0.05,3,5,"mesh, element, cisamr, conform, structure",5,0.1814717704443944,0.6398419673028262,-1.886445988014659,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,5
9,1.0,0.05,0.05,3,5,"flow, computational, method, st, discretization",5,0.1348592334544283,0.612755973049982,-1.527031678539196,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,10
1147,1.0,0.05,0.05,3,5,"contact, body, formulation, pointwise, mesh",5,0.1169621417159337,0.5265435746292166,-1.8470115131152332,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,12
855,1.0,0.05,0.05,3,5,"plate, shear, thin, displacement, stress",5,0.1674020263130052,0.7200831844119836,-1.3280793612090942,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,7
1285,1.0,0.05,0.05,3,5,"fluid, medium, porous, principle, fracture",5,0.0115246409172008,0.6007288866259725,-2.139617084772396,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,9
1259,1.0,0.05,0.05,3,5,"optimization, topology, material, structural, design",5,0.2221380095788683,0.5476841823254956,-1.268429467698692,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,8
1551,1.0,0.05,0.05,3,5,"input, adopt, history, name, synthetic",5,0.0939519584507322,0.5098316824580511,-2.3674891362810357,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,4
1780,1.0,0.05,0.05,3,5,"optimization, shape, sensitivity, gradient, process",5,0.1303906349528673,0.5437696516037908,-1.726059238943139,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,9
3240,1.0,0.05,0.05,3,5,"system, solution, linear, iterative, matrix",5,0.0962021029998224,0.5640713570356894,-1.8126544523797183,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,6
3513,1.0,0.05,0.05,3,5,"element, rotation, shell, displacement, nonlocal",5,-0.0582328146978947,0.3720047356696297,-4.643719860577263,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,16
1522,1.0,0.05,0.05,3,5,"stiffness, wave, matrix, dispersion, formulation",5,0.0874605330940931,0.6290351417139732,-1.9542466861753245,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,5
314,1.0,0.05,0.05,3,5,"fiber, volume, orientation, fraction, microstructure",5,0.2850028732266742,0.7540022417263429,-1.6835409737831315,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,15
5068,1.0,0.05,0.05,3,5,"damage, initiation, crack, relevant, process",5,0.1336854873252368,0.6388757344234725,-1.8092448347869847,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,7
2182,1.0,0.05,0.05,3,5,"test, identification, experimental, measurement, strain",5,0.1132120044234031,0.5319305638906437,-2.01096277886888,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,20
2183,1.0,0.05,0.05,3,5,"datadriven, data, material, constitutive, set",5,0.120412843011185,0.6043305276578986,-1.151175872358285,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,6
1232,1.0,0.05,0.05,3,5,"boundary, lattice, st, flow, condition",5,0.0514007618135604,0.5073986042530031,-4.118652081971935,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,6
8529,1.0,0.05,0.05,3,5,"reduction, interface, multiplier, contact, lagrange",5,0.2031581408161045,0.4827994336669746,-2.1751619380883644,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,5
7471,1.0,0.05,0.05,3,5,"analysis, nonlinear, displacement, rotate, frequency",5,0.0647574378320069,0.3451847003150746,-2.782242695021534,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,6
206,1.0,0.05,0.05,3,5,"sph, hydrodynamics, particle, curvature, process",5,0.2249448857033211,0.7339895741338726,-1.2356842032783897,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,8
3300,1.0,0.05,0.05,3,5,"mesh, fluid, move, interaction, fluidstructure",5,0.2482441974671999,0.732220155503256,-1.9410581116231969,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,5
908,1.0,0.05,0.05,3,5,"shell, tire, rkpm, kernel, meshfree",5,-0.0897171588281097,0.4789442218072633,-10.58005020868542,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,11
160,1.0,0.05,0.05,3,5,"fluid, flow, multiple, fracture, propagation",5,-0.0194589069523831,0.4990724557907756,-2.142538669640614,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,13
6385,1.0,0.05,0.05,3,5,"model, elastic, evolution, viscoelastic, obtain",5,0.0648177661232373,0.6286513071813863,-2.1213423724603837,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,24
2899,1.0,0.05,0.05,3,5,"element, virtual, vem, consider, problem",5,0.1200505424180833,0.5972293798446401,-1.416127055334994,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,11
7,1.0,0.05,0.05,3,5,"model, couple, wave, propose, heart",5,-0.0471144630577466,0.5904167238910585,-2.5915239751406496,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,11
3396,1.0,0.05,0.05,3,5,"design, train, optimal, shape, optimization",5,0.1669600578716358,0.6245522162199848,-1.8433695722693264,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,15
1767,1.0,0.05,0.05,3,5,"contact, friction, formulation, crack, meshfree",5,-0.0186973779654893,0.3427896169655663,-4.30987311972976,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,14
1293,1.0,0.05,0.05,3,5,"element, parameter, st, dc, discretization",5,0.1383443219122441,0.6640594751594744,-2.6568332841891564,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,6
1411,1.0,0.05,0.05,3,5,"shell, outofplane, midsurface, present, surface",5,0.0620089253586829,0.5155857472823964,-1.2421526703601933,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,3
7464,1.0,0.05,0.05,3,5,"mechanical, microstructures, force, stress, phase",5,0.0703823404999824,0.5254019794316365,-2.0530147449219407,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,2,4
6638,1.0,0.05,0.05,3,5,"multiscale, macroscale, microscale, compression, macroscopic",5,0.0709990106385933,0.7596334354530309,-1.888975437628765,0.0497944565232715,0.5612719994443741,-2.666987980607223,245,1,6
