node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,eta_used,alpha_folder,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
0,4.92187452408975,728,1490,0.4885906040268456,0.05,1.0,2.0,265,970,0,,"[1,59,235,184,391,1149,1603,869,4058,808,7969,1126,8518,5589,6691,8712,12669,14265,114,10810,9224,3748,8600,13698,1476,53,7389,3775,97,21090,3,1608,988,21793,6175,20083,22484,350,12671,10366,9716,2071,21369,9056,24,145,7752,2255,10804,23309,128,14547,24196,23469,22598,9429,17331,16275,23639,24442,23460,22875,18239,24612]",64
2,5.089793808795397,547,1490,0.3671140939597315,0.05,1.0,2.0,265,127,2,1.0,,0
1,5.001059428311293,467,1490,0.3134228187919463,0.05,1.0,2.0,265,374,1,0.0,"[2,162,516,602,611,825,1303,1518,1645,2494,2922,3474,3589,7836,8027,8105,8916,9119,10335,11179,11230,11400,12495,13088,13381,17666,19597,21020,22774,23832,24011,24027,24115,24375,24396,24417,24435,24448,24478,24591,24605,24628]",42
869,4.584664532516934,107,1490,0.0718120805369127,0.05,1.0,2.0,265,17,1,0.0,"[4813,20682,24527,24609,24615]",5
3589,4.620739114573689,54,1490,0.036241610738255,0.05,1.0,2.0,265,3,2,1.0,,0
1603,4.16627495423201,85,1490,0.0570469798657718,0.05,1.0,2.0,265,12,1,0.0,[2969],1
1303,4.02125684688527,109,1490,0.0731543624161073,0.05,1.0,2.0,265,11,2,1.0,,0
8076,4.147114398351952,71,1490,0.0476510067114094,0.05,1.0,2.0,265,8,2,7969.0,,0
162,4.134731682906132,122,1490,0.0818791946308724,0.05,1.0,2.0,265,11,2,1.0,,0
24,4.652968788950781,45,1490,0.0302013422818791,0.05,1.0,2.0,265,3,1,0.0,[23722],1
617,4.7173318712023065,45,1490,0.0302013422818791,0.05,1.0,2.0,265,2,2,184.0,,0
3775,4.556186223055183,82,1490,0.0550335570469798,0.05,1.0,2.0,265,11,1,0.0,"[20914,23311,24610,24627]",4
8916,4.185601960731275,87,1490,0.0583892617449664,0.05,1.0,2.0,265,9,2,1.0,,0
2969,4.13656360443374,114,1490,0.0765100671140939,0.05,1.0,2.0,265,12,2,1603.0,,0
602,3.8553777262725526,136,1490,0.0912751677852349,0.05,1.0,2.0,265,13,2,1.0,,0
8712,4.811256972260299,73,1490,0.048993288590604,0.05,1.0,2.0,265,12,1,0.0,"[10781,24635,24636]",3
3,4.070345164577161,80,1490,0.0536912751677852,0.05,1.0,2.0,265,10,1,0.0,[21542],1
8027,4.031345010279117,80,1490,0.0536912751677852,0.05,1.0,2.0,265,10,2,1.0,,0
2922,4.718555308413313,134,1490,0.0899328859060402,0.05,1.0,2.0,265,14,2,1.0,,0
184,4.783274106837843,39,1490,0.0261744966442953,0.05,1.0,2.0,265,5,1,0.0,"[617,24267,24602]",3
9056,4.44961633407922,60,1490,0.0402684563758389,0.05,1.0,2.0,265,9,1,0.0,"[23669,24421,24496,24565]",4
808,4.501625518610664,92,1490,0.061744966442953,0.05,1.0,2.0,265,18,1,0.0,"[7940,12870,23386,24391,24477,24632]",6
128,4.273060396238402,113,1490,0.0758389261744966,0.05,1.0,2.0,265,13,1,0.0,"[24063,24412,24552,24640,24643]",5
350,4.494283913748375,62,1490,0.0416107382550335,0.05,1.0,2.0,265,6,1,0.0,"[22925,24309]",2
102,4.683487170544743,69,1490,0.0463087248322147,0.05,1.0,2.0,265,4,2,59.0,,0
391,4.208044203437864,109,1490,0.0731543624161073,0.05,1.0,2.0,265,15,1,0.0,"[1074,24136,24355,24384,24488]",5
1126,4.733027377526272,77,1490,0.0516778523489932,0.05,1.0,2.0,265,17,1,0.0,"[8279,13315,24363,24603,24604]",5
8279,4.136089013255621,72,1490,0.0483221476510067,0.05,1.0,2.0,265,5,2,1126.0,,0
7969,4.108731233287062,88,1490,0.0590604026845637,0.05,1.0,2.0,265,14,1,0.0,"[8076,22236,24430]",3
9087,4.097889278963053,73,1490,0.048993288590604,0.05,1.0,2.0,265,5,2,5589.0,,0
7836,3.8622158913942255,103,1490,0.0691275167785235,0.05,1.0,2.0,265,9,2,1.0,,0
4813,4.239624830372602,80,1490,0.0536912751677852,0.05,1.0,2.0,265,5,2,869.0,,0
988,3.9825164009382688,100,1490,0.0671140939597315,0.05,1.0,2.0,265,21,1,0.0,"[21649,23763,23876,23908,24076,24541,24620]",7
8600,4.446622025376263,83,1490,0.0557046979865771,0.05,1.0,2.0,265,9,1,0.0,"[16487,23779]",2
1476,4.296172947541998,76,1490,0.0510067114093959,0.05,1.0,2.0,265,13,1,0.0,"[20144,23477,23973,24399,24507,24593,24599]",7
8518,4.674528935562869,48,1490,0.0322147651006711,0.05,1.0,2.0,265,12,1,0.0,[8737],1
8737,3.92916523918363,106,1490,0.0711409395973154,0.05,1.0,2.0,265,12,2,8518.0,,0
7940,4.330706404622163,79,1490,0.0530201342281879,0.05,1.0,2.0,265,8,2,808.0,,0
1645,4.502073523241207,62,1490,0.0416107382550335,0.05,1.0,2.0,265,4,2,1.0,,0
3474,4.617251886545201,153,1490,0.1026845637583892,0.05,1.0,2.0,265,14,2,1.0,,0
425,4.369117527238692,91,1490,0.0610738255033557,0.05,1.0,2.0,265,6,2,235.0,,0
97,4.174977951511483,83,1490,0.0557046979865771,0.05,1.0,2.0,265,12,1,0.0,"[21075,24069,24572,24598]",4
2494,4.36254874939134,111,1490,0.074496644295302,0.05,1.0,2.0,265,6,2,1.0,,0
1074,4.491250292338791,66,1490,0.0442953020134228,0.05,1.0,2.0,265,6,2,391.0,,0
114,4.062151978245935,111,1490,0.074496644295302,0.05,1.0,2.0,265,22,1,0.0,"[14525,20065,23315,24505,24580,24594,24618,24637,24639]",9
6691,3.875785789026214,72,1490,0.0483221476510067,0.05,1.0,2.0,265,20,1,0.0,"[10072,21728,23433,24543,24641]",5
235,4.735637741889628,70,1490,0.046979865771812,0.05,1.0,2.0,265,9,1,0.0,"[425,24263]",2
145,3.843480652310985,75,1490,0.0503355704697986,0.05,1.0,2.0,265,8,1,0.0,"[23758,24036,24563]",3
3748,4.3760112036216485,87,1490,0.0583892617449664,0.05,1.0,2.0,265,14,1,0.0,"[15674,24504,24536,24575,24629]",5
1518,3.900654974788836,93,1490,0.0624161073825503,0.05,1.0,2.0,265,6,2,1.0,,0
825,4.535013240618467,129,1490,0.0865771812080536,0.05,1.0,2.0,265,9,2,1.0,,0
59,4.868686700011179,30,1490,0.0201342281879194,0.05,1.0,2.0,265,6,1,0.0,"[102,24328]",2
2255,4.5675187176970224,108,1490,0.07248322147651,0.05,1.0,2.0,265,8,1,0.0,"[24016,24215,24583]",3
8105,4.519448375482764,62,1490,0.0416107382550335,0.05,1.0,2.0,265,3,2,1.0,,0
516,4.381644635436676,74,1490,0.0496644295302013,0.05,1.0,2.0,265,4,2,1.0,,0
9429,4.32329636455238,61,1490,0.0409395973154362,0.05,1.0,2.0,265,3,1,0.0,"[24288,24614]",2
1149,4.199528829361341,68,1490,0.0456375838926174,0.05,1.0,2.0,265,8,1,0.0,"[2321,23466,24335]",3
6567,4.010876311668016,69,1490,0.0463087248322147,0.05,1.0,2.0,265,4,2,4058.0,,0
2071,4.082570621719786,93,1490,0.0624161073825503,0.05,1.0,2.0,265,12,1,0.0,"[23411,24388,24554,24587,24611,24621]",6
2321,3.803103822215604,43,1490,0.0288590604026845,0.05,1.0,2.0,265,2,2,1149.0,,0
6175,4.0427570679494345,89,1490,0.059731543624161,0.05,1.0,2.0,265,12,1,0.0,"[22077,24025,24257,24597]",4
9119,4.123991706142332,113,1490,0.0758389261744966,0.05,1.0,2.0,265,9,2,1.0,,0
4058,4.469139433956011,66,1490,0.0442953020134228,0.05,1.0,2.0,265,8,1,0.0,"[6567,24511,24595,24616]",4
611,4.523012676692972,190,1490,0.1275167785234899,0.05,1.0,2.0,265,13,2,1.0,,0
53,3.757260979263367,63,1490,0.0422818791946308,0.05,1.0,2.0,265,13,1,0.0,"[20704,23991,24168,24523,24606,24623]",6
1608,4.078030621314638,77,1490,0.0516778523489932,0.05,1.0,2.0,265,12,1,0.0,"[21621,23717,24601]",3
7752,4.390845764251913,48,1490,0.0322147651006711,0.05,1.0,2.0,265,6,1,0.0,[23951],1
5589,4.455559763710944,48,1490,0.0322147651006711,0.05,1.0,2.0,265,10,1,0.0,"[9087,22436,24040]",3
9224,4.664879857776331,74,1490,0.0496644295302013,0.05,1.0,2.0,265,8,1,0.0,"[14948,24592]",2
7389,4.333489572306687,78,1490,0.0523489932885906,0.05,1.0,2.0,265,20,1,0.0,"[20872,22160,24208,24305,24567,24589,24590]",7
9716,4.167671199260076,94,1490,0.0630872483221476,0.05,1.0,2.0,265,14,1,0.0,"[23399,24287,24475,24482,24631]",5
10072,4.040900644078614,123,1490,0.0825503355704698,0.05,1.0,2.0,265,9,2,6691.0,,0
10335,4.484002616434802,68,1490,0.0456375838926174,0.05,1.0,2.0,265,4,2,1.0,,0
10366,4.819980906215468,53,1490,0.0355704697986577,0.05,1.0,2.0,265,6,1,0.0,"[23313,24459]",2
10781,4.311789183331176,97,1490,0.0651006711409395,0.05,1.0,2.0,265,10,2,8712.0,,0
10804,4.552618534391208,65,1490,0.0436241610738255,0.05,1.0,2.0,265,7,1,0.0,"[24037,24503,24553,24588]",4
10810,4.971630319070177,35,1490,0.023489932885906,0.05,1.0,2.0,265,7,1,0.0,"[14616,24569,24619]",3
