iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,255,970,-429396.570470758,0,0,3.803921568627451,90,1
1,250,970,-429946.4726433454,254,50,3.88,100,1
2,252,970,-428009.6680898939,227,61,3.8492063492063493,93,1
3,258,970,-427924.54619881,231,58,3.75968992248062,96,1
4,256,970,-426851.13811835955,223,56,3.7890625,94,1
5,251,970,-426689.7511708503,212,49,3.864541832669323,98,1
6,251,970,-426940.28499093134,203,47,3.864541832669323,97,1
7,248,970,-426560.5676034408,210,53,3.911290322580645,92,1
8,255,970,-426554.9063555181,212,58,3.803921568627451,95,1
9,258,970,-425278.50553050224,210,51,3.75968992248062,89,1
10,260,970,-424040.1666962698,203,45,3.730769230769231,85,1
11,252,970,-424753.0111652558,202,44,3.8492063492063493,86,1
12,253,970,-424122.00377087743,191,41,3.83399209486166,86,1
13,261,970,-423698.88025505195,209,53,3.7164750957854404,85,1
14,245,970,-424892.81571609585,195,36,3.9591836734693877,87,1
15,252,970,-424335.4798336142,208,62,3.8492063492063493,84,1
16,253,970,-424500.30641161476,207,53,3.83399209486166,86,1
17,261,970,-423808.1691516855,214,60,3.7164750957854404,85,1
18,268,970,-423380.55125963665,210,64,3.6194029850746268,86,1
19,253,970,-424575.94455737,195,47,3.83399209486166,87,1
20,262,970,-423774.73090774094,194,55,3.7022900763358777,81,1
21,257,970,-422995.18429564306,196,45,3.77431906614786,83,1
22,256,970,-423320.932586883,194,46,3.7890625,82,1
23,258,970,-422533.46959210007,200,53,3.75968992248062,79,1
24,260,970,-423165.8355795768,199,61,3.730769230769231,84,1
25,255,970,-423111.7236736439,194,54,3.803921568627451,81,1
26,258,970,-422818.8267240106,206,52,3.75968992248062,80,1
27,254,970,-422877.52871259087,200,50,3.8188976377952755,83,1
28,263,970,-422617.74336632976,217,58,3.688212927756654,81,1
29,261,970,-421556.9125281379,214,58,3.7164750957854404,80,1
30,257,970,-422063.8703529453,198,57,3.77431906614786,79,1
31,254,970,-421760.1883449806,194,56,3.8188976377952755,84,1
32,260,970,-422687.30823937745,202,56,3.730769230769231,85,1
33,256,970,-422211.9285035117,193,55,3.7890625,82,1
34,252,970,-422712.8285724136,195,56,3.8492063492063493,85,1
35,254,970,-421458.4834004924,189,52,3.8188976377952755,78,1
36,266,970,-421979.0363727477,200,66,3.6466165413533833,80,1
37,264,970,-423015.5607977581,216,58,3.6742424242424243,82,1
38,258,970,-422136.8784473828,210,51,3.75968992248062,77,1
39,252,970,-423222.9444640815,198,52,3.8492063492063493,80,1
40,258,970,-422542.7780157113,181,52,3.75968992248062,78,1
41,267,970,-422494.8692752193,188,60,3.6329588014981273,74,1
42,252,970,-422806.4219224859,189,46,3.8492063492063493,75,1
43,257,970,-422080.1322789016,196,52,3.77431906614786,77,1
