iteration,total_paths,total_documents,log_likelihood,changed_docs_count,newly_created_paths,avg_path_size,max_path_size,min_path_size
0,212,970,-446345.0965182787,0,0,4.5754716981132075,300,1
1,215,970,-444373.90093261434,285,54,4.511627906976744,288,1
2,212,970,-442493.3891224762,257,49,4.5754716981132075,285,1
3,222,970,-441798.7370142044,221,53,4.36936936936937,289,1
4,221,970,-440104.9546072578,221,59,4.389140271493213,287,1
5,230,970,-440383.29588126513,231,62,4.217391304347826,292,1
6,230,970,-438477.6423032921,242,60,4.217391304347826,288,1
7,221,970,-440014.7268478655,220,50,4.389140271493213,289,1
8,224,970,-438585.0200748855,216,56,4.330357142857143,283,1
9,235,970,-438235.96944790636,223,63,4.127659574468085,285,1
10,225,970,-438468.3130611826,221,49,4.311111111111111,283,1
11,228,970,-437490.9751839741,221,55,4.254385964912281,279,1
12,229,970,-437829.6036274809,222,58,4.235807860262009,278,1
13,229,970,-437058.26711057656,218,64,4.235807860262009,274,1
14,226,970,-437198.39376760385,229,66,4.292035398230088,274,1
15,228,970,-437376.70345395966,215,58,4.254385964912281,275,1
16,225,970,-437133.4404196262,219,56,4.311111111111111,276,1
17,219,970,-438148.7404519169,222,49,4.429223744292237,274,1
18,230,970,-436058.1756388692,215,53,4.217391304347826,270,1
19,224,970,-436748.87006292306,219,53,4.330357142857143,269,1
20,231,970,-437216.4552979976,225,67,4.199134199134199,270,1
21,230,970,-437065.7457880023,220,58,4.217391304347826,268,1
22,226,970,-436857.4946276956,221,55,4.292035398230088,267,1
23,224,970,-436470.1432280128,211,51,4.330357142857143,268,1
24,234,970,-435735.9073732826,218,53,4.145299145299146,266,1
25,235,970,-433581.61223976384,206,61,4.127659574468085,260,1
26,230,970,-434887.1302891598,214,53,4.217391304347826,255,1
27,230,970,-435713.3726426773,203,46,4.217391304347826,258,1
28,224,970,-436182.9173346289,212,56,4.330357142857143,257,1
29,226,970,-435124.97207031667,214,56,4.292035398230088,254,1
30,229,970,-433750.63394283043,204,54,4.235807860262009,249,1
31,226,970,-434485.8175454434,211,47,4.292035398230088,251,1
32,231,970,-434274.39268826175,198,49,4.199134199134199,249,1
33,222,970,-435124.10147630103,208,44,4.36936936936937,244,1
34,229,970,-433157.6639587523,198,56,4.235807860262009,237,1
35,225,970,-435468.3455855654,211,55,4.311111111111111,239,1
36,229,970,-433517.7259226759,207,53,4.235807860262009,232,1
37,234,970,-434338.96358724195,217,56,4.145299145299146,234,1
38,233,970,-433160.4996133489,217,54,4.163090128755365,231,1
39,240,970,-433096.14870182506,202,61,4.041666666666667,233,1
40,231,970,-433654.97324871155,204,48,4.199134199134199,234,1
41,227,970,-433204.4594342665,200,52,4.273127753303965,231,1
42,231,970,-433804.1286931286,191,54,4.199134199134199,235,1
43,230,970,-433709.49389802385,189,52,4.217391304347826,236,1
44,223,970,-433694.06304781407,202,51,4.349775784753363,237,1
45,223,970,-433407.03186700225,194,56,4.349775784753363,233,1
46,222,970,-432615.4862049385,198,56,4.36936936936937,230,1
47,227,970,-432004.84471385466,193,59,4.273127753303965,224,1
48,224,970,-433159.5133668662,184,50,4.330357142857143,230,1
49,224,970,-431854.3546004054,198,49,4.330357142857143,224,1
50,225,970,-431823.2187430885,195,55,4.311111111111111,226,1
51,236,970,-432083.9479062838,200,62,4.110169491525424,225,1
52,227,970,-432783.2342191625,222,53,4.273127753303965,223,1
53,236,970,-431191.28698282805,210,66,4.110169491525424,222,1
54,241,970,-431948.46779705375,206,67,4.024896265560166,228,1
55,233,970,-431086.4740478868,192,60,4.163090128755365,223,1
56,223,970,-431865.0404738448,189,50,4.349775784753363,224,1
57,225,970,-431380.4307259298,202,51,4.311111111111111,218,1
58,222,970,-431781.277143481,210,57,4.36936936936937,224,1
59,226,970,-432317.6094693575,207,51,4.292035398230088,224,1
60,226,970,-431474.4794898136,206,53,4.292035398230088,220,1
61,242,970,-431389.0078980325,209,68,4.008264462809917,216,1
62,227,970,-431698.494293877,197,54,4.273127753303965,220,1
63,226,970,-432033.4574143358,204,60,4.292035398230088,222,1
64,237,970,-430324.85750808136,199,62,4.0928270042194095,214,1
65,224,970,-432766.9798490126,195,51,4.330357142857143,219,1
66,229,970,-431184.1743923675,211,60,4.235807860262009,211,1
67,229,970,-431498.1113009651,218,57,4.235807860262009,208,1
68,225,970,-431169.08455142,194,51,4.311111111111111,205,1
69,230,970,-430683.39002035884,203,63,4.217391304347826,207,1
70,225,970,-430401.42052561784,202,45,4.311111111111111,209,1
71,226,970,-430757.6070425102,186,51,4.292035398230088,208,1
72,240,970,-429886.7873239655,189,59,4.041666666666667,209,1
73,227,970,-430788.0454590021,197,56,4.273127753303965,212,1
74,228,970,-430441.44724834186,200,55,4.254385964912281,207,1
75,224,970,-430091.35404334316,185,50,4.330357142857143,207,1
76,236,970,-429338.0853146047,185,60,4.110169491525424,208,1
77,235,970,-430137.395384607,199,60,4.127659574468085,211,1
78,237,970,-428755.70842810615,180,53,4.0928270042194095,205,1
79,236,970,-428844.18911743845,182,61,4.110169491525424,208,1
80,221,970,-429578.8775944277,188,50,4.389140271493213,206,1
81,228,970,-429048.35592115554,192,50,4.254385964912281,205,1
82,217,970,-430455.8277987992,188,45,4.470046082949309,202,1
83,230,970,-429231.1989461963,191,60,4.217391304347826,199,1
84,234,970,-430515.31921293243,207,65,4.145299145299146,203,1
85,228,970,-430487.74577562464,205,54,4.254385964912281,203,1
86,228,970,-430058.75464786607,202,56,4.254385964912281,204,1
87,223,970,-430878.6434591484,196,47,4.349775784753363,206,1
88,232,970,-429529.2047206804,198,59,4.181034482758621,199,1
89,234,970,-428901.33281069255,194,51,4.145299145299146,200,1
90,233,970,-429487.19077508384,208,65,4.163090128755365,200,1
91,225,970,-429290.0615600683,191,57,4.311111111111111,198,1
92,227,970,-428936.02658062824,179,57,4.273127753303965,202,1
93,231,970,-428972.25932889053,188,56,4.199134199134199,203,1
94,225,970,-429213.7595513017,194,48,4.311111111111111,198,1
95,232,970,-429223.9928519369,208,67,4.181034482758621,194,1
96,226,970,-428346.25395378785,198,43,4.292035398230088,190,1
97,226,970,-429168.28281373205,182,49,4.292035398230088,194,1
98,225,970,-429142.383757284,194,51,4.311111111111111,190,1
99,219,970,-429893.58490692213,193,47,4.429223744292237,194,1
100,223,970,-429664.42254526983,198,48,4.349775784753363,194,1
101,224,970,-429387.54531146894,197,46,4.330357142857143,191,1
102,219,970,-430854.0501690814,192,36,4.429223744292237,193,1
103,212,970,-428906.0808649212,184,41,4.5754716981132075,185,1
104,224,970,-429853.06897844153,189,53,4.330357142857143,187,1
105,221,970,-429534.11154910934,205,48,4.389140271493213,189,1
106,226,970,-429798.4538132698,204,50,4.292035398230088,191,1
107,217,970,-429890.1611815757,189,45,4.470046082949309,190,1
108,223,970,-430298.79123717884,189,54,4.349775784753363,193,1
109,234,970,-429160.8113004439,202,58,4.145299145299146,187,1
110,222,970,-429435.8762744632,187,50,4.36936936936937,190,1
111,231,970,-428569.16791090975,189,59,4.199134199134199,189,1
112,235,970,-429099.8634653917,207,56,4.127659574468085,186,1
113,239,970,-429818.7534311966,206,55,4.058577405857741,191,1
114,223,970,-429633.9328341187,208,45,4.349775784753363,190,1
115,225,970,-430526.5987122412,190,47,4.311111111111111,189,1
116,232,970,-428911.0652276237,189,56,4.181034482758621,185,1
117,231,970,-428959.6995826163,207,51,4.199134199134199,186,1
118,222,970,-429992.6434746988,176,48,4.36936936936937,185,1
119,232,970,-429380.2083731035,186,51,4.181034482758621,187,1
120,236,970,-428285.4843605852,193,48,4.110169491525424,182,1
121,234,970,-428782.1816440305,200,51,4.145299145299146,187,1
122,233,970,-428094.2627470261,188,51,4.163090128755365,186,1
123,231,970,-428601.8720255009,197,53,4.199134199134199,185,1
124,242,970,-428240.3315860905,197,64,4.008264462809917,187,1
125,233,970,-428191.8807340045,189,53,4.163090128755365,189,1
126,232,970,-427678.6917755322,179,41,4.181034482758621,184,1
127,232,970,-428389.7055742728,196,47,4.181034482758621,187,1
128,240,970,-428162.32805892354,203,71,4.041666666666667,188,1
129,233,970,-428628.6099833189,214,61,4.163090128755365,182,1
130,233,970,-429749.42469049426,196,62,4.163090128755365,187,1
131,235,970,-429399.86312367965,208,59,4.127659574468085,185,1
132,232,970,-428269.89727364155,205,60,4.181034482758621,178,1
133,233,970,-429554.57584713015,214,57,4.163090128755365,187,1
134,240,970,-428331.91771090054,209,66,4.041666666666667,183,1
135,245,970,-428521.05604095955,208,66,3.9591836734693877,179,1
136,238,970,-429411.4232010048,194,60,4.07563025210084,179,1
137,241,970,-428973.17488495464,203,65,4.024896265560166,182,1
138,239,970,-427738.6428711232,200,61,4.058577405857741,176,1
139,243,970,-426979.14206478145,201,61,3.9917695473251027,175,1
140,236,970,-428346.9982807122,200,59,4.110169491525424,178,1
141,242,970,-427525.7098812939,208,58,4.008264462809917,177,1
142,235,970,-428045.40924343,205,48,4.127659574468085,174,1
143,245,970,-428840.6975976206,205,58,3.9591836734693877,178,1
144,246,970,-426745.2684753869,204,64,3.9430894308943087,174,1
145,235,970,-427343.4666397534,188,54,4.127659574468085,173,1
146,235,970,-427637.71119202947,195,57,4.127659574468085,177,1
147,230,970,-427757.804939359,194,53,4.217391304347826,175,1
148,232,970,-427257.4139552367,196,58,4.181034482758621,176,1
149,240,970,-427576.4310007834,199,55,4.041666666666667,180,1
150,238,970,-428631.7107661575,191,52,4.07563025210084,183,1
151,241,970,-427716.81536658335,185,51,4.024896265560166,178,1
152,244,970,-428014.9377324899,199,64,3.9754098360655736,179,1
153,248,970,-426920.69589927973,201,62,3.911290322580645,179,1
154,242,970,-426342.93566239363,211,68,4.008264462809917,175,1
155,235,970,-427480.0644372609,210,60,4.127659574468085,176,1
156,232,970,-427832.3793807183,204,53,4.181034482758621,175,1
157,241,970,-427338.4593336296,204,59,4.024896265560166,178,1
158,238,970,-426818.82057232095,201,59,4.07563025210084,173,1
159,237,970,-427394.4360881539,196,55,4.0928270042194095,175,1
160,240,970,-428068.5959547179,213,60,4.041666666666667,175,1
161,237,970,-426435.58955374826,195,54,4.0928270042194095,170,1
162,234,970,-427355.7691597653,200,56,4.145299145299146,175,1
163,242,970,-426339.6062331254,205,60,4.008264462809917,171,1
164,238,970,-427314.0668347771,209,56,4.07563025210084,174,1
165,248,970,-425411.8193726104,204,65,3.911290322580645,167,1
166,246,970,-426302.70284741867,199,58,3.9430894308943087,175,1
167,232,970,-427274.5919206026,192,42,4.181034482758621,174,1
168,232,970,-426315.65513224667,191,52,4.181034482758621,169,1
169,238,970,-426149.05859022617,196,60,4.07563025210084,166,1
170,240,970,-426002.5707864073,200,62,4.041666666666667,167,1
171,242,970,-426487.1672648847,213,63,4.008264462809917,169,1
172,235,970,-426804.89133347,204,62,4.127659574468085,171,1
173,246,970,-426070.0611767829,194,62,3.9430894308943087,168,1
174,232,970,-426981.16563826834,194,50,4.181034482758621,165,1
175,237,970,-426418.5105726435,194,62,4.0928270042194095,170,1
176,241,970,-427266.9538698942,205,55,4.024896265560166,167,1
177,237,970,-426046.9794890336,191,52,4.0928270042194095,164,1
