node_id,alpha,eta,gamma,depth,layer,document_count,top_k,top_words,word_count,node_npmi,node_c_v,node_u_mass,iteration
0,1.0,0.05,0.05,3,0,970,5,"method, use, element, model, propose",5,0.013885924146951546,0.48573015805465863,-0.5916976867410396,245
1,1.0,0.05,0.05,3,1,398,5,"model, material, approach, strain, simulation",5,-0.015783958636788734,0.6473270702373171,-1.2485406851319403,245
2904,1.0,0.05,0.05,3,2,5,5,"structure, structural, multilevel, vibration, reducedorder",5,0.062482836052812574,0.7435242219138007,-2.5978765708151776,245
4784,1.0,0.05,0.05,3,1,8,5,"beam, integrate, rod, constraint, enforce",5,-0.049098031630030584,0.47672950218760607,-2.6703051512414318,245
1503,1.0,0.05,0.05,3,2,7,5,"contact, body, formulation, rigid, interaction",5,0.18879889998650803,0.5870431708571269,-1.898069865374806,245
117,1.0,0.05,0.05,3,2,7,5,"process, manufacturing, material, additive, manufacture",5,0.2808989808977263,0.7031964403483639,-1.7531143636993938,245
2,1.0,0.05,0.05,3,2,45,5,"homogenization, macroscopic, composite, material, scale",5,0.13232166613213983,0.8294907705862746,-1.104446873525237,245
4214,1.0,0.05,0.05,3,1,12,5,"system, scheme, probability, energy, density",5,0.05461289637772075,0.5087333104348358,-4.403988306033223,245
5900,1.0,0.05,0.05,3,2,6,5,"kernel, approximation, reproduce, formulation, finescale",5,0.22633168394431186,0.7753578322907011,-2.0422825329590197,245
7160,1.0,0.05,0.05,3,1,9,5,"continuum, shear, stress, nodal, length",5,-0.1153923884976468,0.5926561743961172,-2.3443900544097005,245
8765,1.0,0.05,0.05,3,2,6,5,"model, material, standard, scheme, dual",5,0.004818424603503092,0.5416435209397523,-2.5731369319371886,245
582,1.0,0.05,0.05,3,1,18,5,"vector, matrix, present, micromorphic, formulation",5,-0.058935951642207704,0.4938896447736522,-3.980901601618329,245
968,1.0,0.05,0.05,3,2,10,5,"error, basis, reduce, reduction, snapshot",5,0.1370075733639028,0.5716565267946996,-2.2676925023892247,245
41,1.0,0.05,0.05,3,1,14,5,"wave, propagation, equation, pressure, structure",5,0.07959357853306205,0.44861183241588404,-1.8797104401463156,245
3240,1.0,0.05,0.05,3,2,9,5,"flow, fluid, framework, present, compressible",5,0.1041596649274729,0.5842399404066627,-1.7261824680962234,245
847,1.0,0.05,0.05,3,2,8,5,"mesh, cisamr, conform, structure, node",5,0.20492411774921843,0.6944973728984527,-1.570568193123686,245
13,1.0,0.05,0.05,3,1,13,5,"deformation, method, comput, mech, eng",5,0.29548766270070836,0.7562932334493752,-2.0606610113036052,245
2742,1.0,0.05,0.05,3,2,6,5,"fractional, derivative, equation, function, weight",5,0.24149584462121682,0.7990570252020611,-1.3418919523792063,245
3232,1.0,0.05,0.05,3,1,6,5,"smooth, distortion, incompressible, stabilization, present",5,-0.07482366605030807,0.33496356508258024,-3.807037268005975,245
5,1.0,0.05,0.05,3,1,20,5,"boundary, fracture, enrichment, body, analyse",5,-0.18252020255374457,0.43745692316577134,-5.303698106480349,245
34,1.0,0.05,0.05,3,1,18,5,"shock, point, process, temperature, correct",5,-0.10615177932157711,0.2541471180264789,-6.649252792723997,245
165,1.0,0.05,0.05,3,1,18,5,"stress, shell, element, displacement, boundary",5,0.06134745500866566,0.5771004780138868,-1.2479727359385735,245
