depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.05,1,0,0,,4.891553423300466,970,1462,38117,
3,0.05,0.05,1,1,5571,,3.2861795067643085,12,397,130,
3,0.05,0.05,1,1,34,,3.5160546448572383,18,531,115,
3,0.05,0.05,1,1,1,,4.438288045640913,398,1413,6922,
3,0.05,0.05,1,1,931,,3.7587700129352717,25,642,275,
3,0.05,0.05,1,1,19056,,3.1507483796576765,5,215,68,
3,0.05,0.05,1,1,1650,,3.8537540973041704,15,470,100,
3,0.05,0.05,1,1,422,,2.9075497076739003,9,299,160,
3,0.05,0.05,1,1,5,,4.015342979056974,20,532,186,
3,0.05,0.05,1,1,10284,,3.9603693093721177,11,408,121,
3,0.05,0.05,1,1,9349,,3.696469623380611,11,346,92,
3,0.05,0.05,1,1,4214,,3.3615272555469797,12,458,185,
3,0.05,0.05,1,1,582,,3.5294517171858337,18,486,144,
3,0.05,0.05,1,1,4972,,3.6999040858292456,10,385,115,
3,0.05,0.05,1,1,7160,,3.6689629589489186,9,331,109,
3,0.05,0.05,1,1,22632,,3.4882087586517856,3,164,60,
3,0.05,0.05,1,1,41,,4.056296494584573,14,412,152,
3,0.05,0.05,1,1,10121,,4.0513413904662485,9,315,161,
3,0.05,0.05,1,1,123,,2.7904569760706255,13,371,154,
3,0.05,0.05,1,1,13,,3.8071382271722483,13,451,145,
3,0.05,0.05,1,1,624,,3.7986093908247303,5,212,145,
3,0.05,0.05,1,1,1784,,3.4144426084121773,7,272,76,
3,0.05,0.05,1,1,2741,,3.3605609753432235,24,581,239,
3,0.05,0.05,1,1,8087,,3.397059568796059,7,295,129,
3,0.05,0.05,1,1,79,,3.4274196265574024,21,616,247,
3,0.05,0.05,1,1,572,,3.0441160781912404,12,422,243,
3,0.05,0.05,1,1,15643,,3.1908224309867457,8,312,51,
3,0.05,0.05,1,1,165,,3.86854751605525,18,565,266,
3,0.05,0.05,1,1,18429,,3.0789629277037154,1,65,48,
3,0.05,0.05,1,1,16189,,3.272624638584393,7,232,104,
3,0.05,0.05,1,1,20412,,2.802621009338656,5,225,52,
3,0.05,0.05,1,1,21693,,3.569736798941514,8,326,70,
3,0.05,0.05,1,1,18308,,3.562515123822725,6,281,71,
3,0.05,0.05,1,1,4784,,4.105114384406157,8,324,138,
3,0.05,0.05,1,1,7013,,3.670860948611259,12,398,165,
3,0.05,0.05,1,1,736,,3.7969102539604616,15,404,179,
3,0.05,0.05,1,1,2835,,3.96437183746965,21,570,221,
3,0.05,0.05,1,1,125,,3.9142301995102127,16,527,133,
3,0.05,0.05,1,1,2231,,3.868655776313015,10,377,190,
3,0.05,0.05,1,1,17657,,3.0929666409829877,4,227,102,
3,0.05,0.05,1,1,81,,3.7830005731360705,7,317,164,
3,0.05,0.05,1,1,1353,,3.423206523153947,9,349,210,
3,0.05,0.05,1,1,3232,,2.98568193770049,6,269,33,
3,0.05,0.05,1,1,8506,,3.2023660159043876,10,414,145,
3,0.05,0.05,1,1,1788,,3.5094109663023887,4,225,78,
3,0.05,0.05,1,1,11906,,3.924445525426702,6,329,90,
3,0.05,0.05,1,1,3776,,3.752633714512237,10,414,111,
3,0.05,0.05,1,1,1265,,3.2224515140176497,6,268,41,
3,0.05,0.05,1,1,9249,,3.803580823232911,8,311,108,
3,0.05,0.05,1,1,11797,,3.6999040858292456,3,152,115,
3,0.05,0.05,1,1,209,,3.8219479533603056,11,448,173,
3,0.05,0.05,1,1,19757,,3.180122083412004,6,289,88,
3,0.05,0.05,1,1,18491,,3.1464232864613395,4,195,92,
3,0.05,0.05,1,1,8871,,3.302257433807252,5,256,75,
3,0.05,0.05,1,1,2380,,3.660937956468658,7,311,73,
3,0.05,0.05,1,1,4765,,3.8119906964581434,11,359,133,
3,0.05,0.05,1,1,17877,,3.291391426365176,4,178,134,
3,0.05,0.05,1,1,16202,,3.3197901070268223,3,139,39,
3,0.05,0.05,1,1,204,,3.478473773628693,4,197,149,
3,0.05,0.05,1,1,7740,,2.9265748065601263,3,187,90,
3,0.05,0.05,1,1,22838,,3.1548539661032704,1,50,55,
3,0.05,0.05,1,1,22848,,3.1065948663658,2,141,36,
3,0.05,0.05,1,2,10069,,3.383986064426852,6,227,145,
3,0.05,0.05,1,2,22054,,3.2995371477471855,3,144,171,
3,0.05,0.05,1,2,22368,,3.405111280983291,3,126,96,
3,0.05,0.05,1,2,17804,,2.8404827990584445,2,105,94,
3,0.05,0.05,1,2,21709,,3.330015527177822,4,163,74,
3,0.05,0.05,1,2,16104,,4.111176932744894,6,241,199,
3,0.05,0.05,1,2,11363,,3.5204608024889725,6,218,104,
3,0.05,0.05,1,2,20938,,2.9284429036221313,4,156,61,
3,0.05,0.05,1,2,22687,,2.6219042503890084,2,113,68,
3,0.05,0.05,1,2,22726,,3.3863291251953163,3,141,88,
3,0.05,0.05,1,2,22789,,3.1517365220305718,1,91,60,
3,0.05,0.05,1,2,117,,4.066055414587467,7,265,249,
3,0.05,0.05,1,2,2,,4.506667758301324,45,806,1122,
3,0.05,0.05,1,2,7387,,4.128572091017076,9,273,230,
3,0.05,0.05,1,2,19880,,3.750916976209404,4,201,137,
3,0.05,0.05,1,2,22797,,4.001254139156088,2,152,164,
3,0.05,0.05,1,2,22716,,3.1186304098771442,2,109,42,
3,0.05,0.05,1,2,968,,3.8445053804447036,10,344,248,
3,0.05,0.05,1,2,5900,,3.639520162504962,6,231,182,
3,0.05,0.05,1,2,22740,,3.3823835126951374,1,84,74,
3,0.05,0.05,1,2,8765,,3.2612850067932957,6,207,85,
3,0.05,0.05,1,2,22729,,0.9808292530117262,1,82,4,
3,0.05,0.05,1,2,3240,,3.1628207289745216,9,280,230,
3,0.05,0.05,1,2,22616,,3.3239286008713447,4,179,57,
3,0.05,0.05,1,2,20673,,3.544497872593278,9,288,204,
3,0.05,0.05,1,2,847,,3.563655794956699,8,266,216,
3,0.05,0.05,1,2,15932,,3.9369966864109225,8,305,213,
3,0.05,0.05,1,2,14627,,3.255078873532162,2,98,75,
3,0.05,0.05,1,2,9790,,3.475719980197752,6,263,241,
3,0.05,0.05,1,2,22170,,4.217883167024077,7,289,203,
3,0.05,0.05,1,2,13783,,3.4086307697227713,6,249,137,
3,0.05,0.05,1,2,2742,,3.2197265267485147,6,225,168,
3,0.05,0.05,1,2,12054,,3.6207107811406316,3,139,119,
3,0.05,0.05,1,2,20860,,3.5204277451841333,4,160,110,
3,0.05,0.05,1,2,583,,3.3213308360793867,7,237,241,
3,0.05,0.05,1,2,21856,,3.74905148483869,4,169,94,
3,0.05,0.05,1,2,18780,,3.168275640366311,4,194,63,
3,0.05,0.05,1,2,1231,,3.3557837096747276,10,318,234,
3,0.05,0.05,1,2,22730,,3.2458342615934934,3,131,79,
3,0.05,0.05,1,2,18669,,3.5641328910451464,4,201,98,
3,0.05,0.05,1,2,17243,,3.4011973816621563,5,219,120,
3,0.05,0.05,1,2,22735,,3.3366588605245844,2,133,30,
3,0.05,0.05,1,2,14437,,3.7646970566168148,8,255,298,
3,0.05,0.05,1,2,22785,,0.0,1,64,0,
3,0.05,0.05,1,2,4114,,3.513042403599242,7,266,190,
3,0.05,0.05,1,2,7401,,3.430097975415913,5,230,122,
3,0.05,0.05,1,2,20110,,2.8356957615494705,4,154,110,
3,0.05,0.05,1,2,20413,,3.318995795766358,5,220,93,
3,0.05,0.05,1,2,22663,,4.214692702725551,4,260,201,
3,0.05,0.05,1,2,593,,3.8054573656957595,16,488,431,
3,0.05,0.05,1,2,22440,,3.0268228606240233,2,81,56,
3,0.05,0.05,1,2,22634,,2.991823936726075,2,128,53,
3,0.05,0.05,1,2,22655,,3.055469715066782,2,137,65,
3,0.05,0.05,1,2,19690,,3.2300236474347575,3,139,63,
3,0.05,0.05,1,2,15613,,3.1756063933714653,5,213,134,
3,0.05,0.05,1,2,22722,,3.4006435184522052,3,143,95,
3,0.05,0.05,1,2,22593,,3.2938856458730674,3,134,64,
3,0.05,0.05,1,2,21973,,3.732938963913996,4,167,137,
3,0.05,0.05,1,2,22798,,3.0710300138433007,1,82,58,
3,0.05,0.05,1,2,14318,,3.111350138432332,8,326,211,
3,0.05,0.05,1,2,1651,,3.4469744000119578,5,198,155,
3,0.05,0.05,1,2,5522,,4.157424502208493,9,354,313,
3,0.05,0.05,1,2,22537,,3.4439553890981682,3,166,71,
3,0.05,0.05,1,2,22799,,3.1055169504262645,1,56,91,
